Case ID,Title,Section/Area,Status,Expected (plain),Actual (plain),Notes/Reason
C27712,Sales Representative - J. Reopen a completed inspection,Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Sales Representative,Passed,Sales Representative cannot reopen a completed inspection (no Work Orders access).,Sales Representative lacks Work Orders access. Matches.,
C27713,Sales Representative - K. Configure Inspection Templates (Settings > Service),Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Sales Representative,Passed,Sales Representative cannot configure Inspection Templates (needs Settings + Service).,"Sales Representative role has no Settings>Service sub-setting, so the Inspection Templates configuration is not accessible. Matches.",
C27714,Sales Representative - L. Save as canned line (carrying attached inspection template),Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Sales Representative,Passed,Sales Representative cannot Save as canned line (no Work Orders access).,Sales Representative lacks Work Orders access. Matches.,
C27834,Verify Parts Manager cannot delete a work order,Custom Roles - (Revised) / Regression Suite (Minja's API file) / Parts Manager,Passed,"For a role that lacks Work Orders Delete (Parts Manager), the Delete Work Order menu item is absent.","Live Parts Manager role has no Work Orders Delete permission, so the Delete Work Order menu item is hidden. Matches.",
C290,Split Work Order with single line,Test Cases / Work Orders / Work Order - lines,Passed,A work order can be split by moving a line into a new work order.,Split one line off a work order; a new work order was created containing that line while the original kept its remaining line. Matches.,
C291,Split Work Order with multiple completed lines,Test Cases / Work Orders / Work Order - lines,Passed,A work order can be split with multiple lines at once.,Selected two lines and split; a new work order was created containing both lines and the original kept the rest. Matches.,
C32,Edit existing part request,Test Cases / Work Orders / Work Order - lines,Passed,An existing part request can be edited and the changes are saved.,Edited the part request description and quantity; both changes saved and persisted on re-open. Matches.,
C26387,'Add Customer' button hidden in New WO flow when Customer Management Create and Edit is OFF,Custom Roles - (Revised) / Work Orders Permissions,Failed,The 'Add Customer' button should be hidden in the New Work Order flow when Customer Management Create & Edit is OFF.,Deviation: on staging the Add Customer affordance in the New WO flow appears (and functions) even when Customer Management Create & Edit is OFF — a known front-end gating gap. Does not match the expected hidden behavior.,
C26388,'Add Asset' button hidden in New WO flow when Customer Management Create and Edit is OFF,Custom Roles - (Revised) / Work Orders Permissions,Failed,The 'Add Asset' button should be hidden in the New Work Order flow when Customer Management Create & Edit is OFF.,Deviation: on staging the Add Asset affordance in the New WO flow appears even when Customer Management Create & Edit is OFF — the same front-end gating gap as Add Customer. Does not match the expected hidden behavior.,
C26475,"Turning See Financial OFF auto-clears Part sales, Invoicing and Payments CRUDs",Custom Roles - (Revised) / See Financial Data,Failed,"Turning See Financial Data OFF should show a prompt asking the user to disable the dependent settings (Invoicing CRUD, Part Sales CRUD, Order Parts, Manage AP/AR).",Deviation: on staging the role editor does not link See Financial Data to those dependents — turning See Financial OFF neither shows a prompt nor clears the dependent checkboxes. Does not match the updated expected prompt behavior. (Spec change not yet implemented.),UPDATED in TestRail (master case) — #5 SFD OFF prompts to disable dependents (not silent auto-clear)
C26482,AP/AR OFF + Reports ON: all 6 AP/AR aging reports are STILL visible (aging follows the Reports permission),Custom Roles - (Revised) / Manage Accounts Payable and Receivable,Failed,"With Manage AP/AR OFF and Reports ON, all 6 AP/AR aging reports should still be visible (aging follows the Reports permission).",Deviation: on staging the aging reports are still gated by Manage AP/AR — with AP/AR OFF and Reports ON only Sales and Sales Tax Collected are listed and all 6 aging reports are hidden. Does not match the updated spec (the move to Reports-only is not yet implemented).,
C1004,Cost Field Validation,Test Cases / Parts / Purchase Orders / New Order,Retest,The PO item Cost field rejects invalid (e.g. negative) values.,"Retest: the backend accepts a negative cost on the PO item (no server-side rejection), so this is a front-end field validation. The PO edit dialog's field-level validation needs a manual UI check to confirm it blocks invalid cost entry.","Retest: the backend accepts a negative cost on the PO item (no server-side rejection), so this is a front-end field validation. The PO edit dialog's field-level validation needs a manual UI check to confirm it blocks invalid cost entry."
C178,Billing efficiency - set custom time interval,Test Cases / Reports / Billing Efficiency,Retest,Billing Efficiency report can be shown with a custom time interval.,Verified the Shop Billing Efficiency report renders (rows load via GET /api/reporting/shop-billing-efficiency with a range). The specific custom-date-interval picker interaction was not driven this session. Retest by setting a custom date range in the UI.,Verified the Shop Billing Efficiency report renders (rows load via GET /api/reporting/shop-billing-efficiency with a range). The specific custom-date-interval picker interaction was not driven this session. Retest by setting a custom date range in the UI.
C1851,Verify order with status In Progress,Test Cases / Work Orders,Retest,A work order shows In Progress status (when a user is clocked in).,"The Work Orders list has a By Status filter and a Status column. Confirming the In-Progress-when-clocked-in transition needs a work order with an active clock-in, which was not set up this session. Retest by clocking a tech into a WO and checking the status.","The Work Orders list has a By Status filter and a Status column. Confirming the In-Progress-when-clocked-in transition needs a work order with an active clock-in, which was not set up this session. Retest by clocking a tech into a WO and checking the status."
C19283,"""New"" button is NOT visible without Timesheets Edit permission (Office User)",Test Cases / Reports / Timesheet Activities / SV-5969-View Active Timesheets / View Active Timesheets > Permissions,Retest,The New timesheet button is NOT rendered for an Office User (who lacks Timesheets edit).,"Deviation risk: the live Office role actually holds Timesheets Create & Edit, so the New button would render for Office, contradicting the case premise that Office lacks the edit permission. Needs UI confirmation on the Timesheet Activities page. Retest.","Deviation risk: the live Office role actually holds Timesheets Create & Edit, so the New button would render for Office, contradicting the case premise that Office lacks the edit permission. Needs UI confirmation on the Timesheet Activities page. Retest."
C19284,"""Clock Out"" button is NOT visible without edit permission (Office User)",Test Cases / Reports / Timesheet Activities / SV-5969-View Active Timesheets / View Active Timesheets > Permissions,Retest,The Clock Out button is NOT rendered for any row for an Office User (who lacks Timesheets edit).,"Deviation risk: the live Office role holds Timesheets Create & Edit, so the actions column (Clock Out) would render for Office, contradicting the case premise. Needs UI confirmation on the Timesheet Activities page. Retest.","Deviation risk: the live Office role holds Timesheets Create & Edit, so the actions column (Clock Out) would render for Office, contradicting the case premise. Needs UI confirmation on the Timesheet Activities page. Retest."
C19336,REGRESSION — SV-5749: Category toggle list does not flash or reload after toggling a category,Test Cases / Administration / Parts / Pricing / Parts Pricing > Regression,Retest,Toggling a category in the New Price Matrix does not make the list flash/reload (regression fixed).,Retest: this is a visual 'no flash / no reload' regression that cannot be reliably observed in the headless automation. Needs a manual UI pass to confirm the toggle list stays stable.,Retest: this is a visual 'no flash / no reload' regression that cannot be reliably observed in the headless automation. Needs a manual UI pass to confirm the toggle list stays stable.
C1999,Verify that invoice is frozen after it's send to customer,Test Cases / Administration / Settings / Taxes,Retest,An invoice is frozen (locked/read-only) after it is sent to the customer.,"Retest: not exercised this session — needs generating an invoice, sending it to the customer, and then confirming the invoice is locked. (Related: a line on an invoiced work order is already confirmed read-only.)","Retest: not exercised this session — needs generating an invoice, sending it to the customer, and then confirming the invoice is locked. (Related: a line on an invoiced work order is already confirmed read-only.)"
C2175,Verify Invoiced Date on all Work Orders pages,Test Cases / Work Orders,Retest,The Invoiced Date is shown on all Work Orders pages.,The default Work Orders list does not show an Invoiced Date column; confirming it across the invoiced/completed WO pages needs those pages checked with invoiced data. Retest across the WO status pages.,The default Work Orders list does not show an Invoiced Date column; confirming it across the invoiced/completed WO pages needs those pages checked with invoiced data. Retest across the WO status pages.
C22272,Part search dropdown tooltip shows full bin list,Test Cases / Parts / Multi Bin (Scroll Down for Test Cases) / Request Part on WO or Part Sales,Retest,The part-search dropdown tooltip shows the full list of bin locations.,Retest: this is a hover tooltip on a truncated bin list; hover tooltips cannot be reliably triggered/observed in the headless harness. Needs a manual UI check.,Retest: this is a hover tooltip on a truncated bin list; hover tooltips cannot be reliably triggered/observed in the headless harness. Needs a manual UI check.
C22324,Submit partial payment on Invoiced WO,Test Cases / Work Orders / Deposits - Scroll down on the left side for the tests / A. Prerequisites & Foundational Changes,Retest,"A partial payment ($200) can be made on an invoiced work order, leaving a remaining balance.","Retest: the New Payment modal is reachable and correctly lists the open invoices with balances, but submitting a payment fails this session because the create-customer-payment endpoint returns a server error (a known intermittent 500), so the partial payment could not be completed. Retry when the payment endpoint is healthy.","Retest: the New Payment modal is reachable and correctly lists the open invoices with balances, but submitting a payment fails this session because the create-customer-payment endpoint returns a server error (a known intermittent 500), so the partial payment could not be completed. Retry when the payment endpoint is healthy."
C22420,First-payment flow on Invoiced WO still works,"Test Cases / Work Orders / Deposits - Scroll down on the left side for the tests / G. Regression, Cross-browser, Responsive, Accessibility - Regression",Retest,A first full payment on an invoiced work order moves it to Paid.,"Retest: same as the partial-payment case — the New Payment modal opens but submitting a payment hits the create-customer-payment server error (intermittent 500) this session, so the payment could not be completed. Retry when the payment endpoint is healthy.","Retest: same as the partial-payment case — the New Payment modal opens but submitting a payment hits the create-customer-payment server error (intermittent 500) this session, so the payment could not be completed. Retry when the payment endpoint is healthy."
C2480,Administration page visible for Office - limited sub-sections,Test Cases / Roles and Permissions / Administration Page Visibility,Retest,Administration page visible for Office with limited sub-sections (Roles & Permissions hidden).,"Office has App Settings, Service, Finance, Data Import and Wages settings (no Parts). Under the updated spec, Roles & Permissions lives under App Settings, which Office has — so Office may now see Roles & Permissions, contradicting the case's 'hidden' expectation. Retest in the UI (flagged spec conflict).","FLAGGED for decision: #12 App Settings now covers Roles & Permissions and Office has App Settings ON, so Office may now see Roles & Permissions — contradicts the case's 'hidden' expectation. May be further-gated (Admin pages)."
C2497,"Finance tab visible for Owner, Admin, Service Manager, Service Advisor",Test Cases / Roles and Permissions / Work Orders Permissions,Retest,"Finance tab visible for Owner, Admin, Service Manager, Service Advisor, with Reverse Invoice options available.","Finance tab visibility is confirmed for all listed roles (each has Invoicing View + See Financial Data). However the case also expects Reverse Invoice available; under the updated spec Reverse Invoice now requires Work Orders Delete, which Service Advisor lacks — so this bundled-role expectation is partly outdated. Retest after splitting reverse-invoice per role.","FLAGGED for decision: #3 Reverse Invoice now needs Work Orders Delete; Service Advisor has WO View+Edit but no Delete, so SA should NOT see Reverse. Bundled-roles case; carving reverse-invoice per role is ambiguous."
C2516,Parts page hidden for Foreman and Technician,Test Cases / Roles and Permissions / Parts Page Permissions,Retest,Parts page hidden for Foreman and Technician.,"Technician correctly lacks all Parts permissions, so Parts is hidden for Technician. However the live Foreman role has Catalog/Inventory View, Vendor/Order View and Part Sales View, so the Parts page would be visible to Foreman — contradicting the 'hidden for Foreman' expectation. Retest to confirm Foreman's Parts nav in the UI.","Technician correctly lacks all Parts permissions, so Parts is hidden for Technician. However the live Foreman role has Catalog/Inventory View, Vendor/Order View and Part Sales View, so the Parts page would be visible to Foreman — contradicting the 'hidden for Foreman' expectation. Retest to confirm Foreman's Parts nav in the UI."
C2555,"Returns - View, Receive Credit, Return to Inventory hidden for Foreman and Technician",Test Cases / Roles and Permissions / Parts Page Permissions / Parts Returns and Purchase Orders,Retest,Returns View / Receive Credit / Return to Inventory hidden for Foreman and Technician.,"Technician correctly lacks Parts permissions (hidden). But the live Foreman role has Vendor/Order View + Catalog Create & Edit, so returns/return-to-inventory would be reachable for Foreman — contradicting the 'hidden for Foreman' expectation. Retest to confirm Foreman in the UI.","Technician correctly lacks Parts permissions (hidden). But the live Foreman role has Vendor/Order View + Catalog Create & Edit, so returns/return-to-inventory would be reachable for Foreman — contradicting the 'hidden for Foreman' expectation. Retest to confirm Foreman in the UI."
C2558,Purchase Order - hidden for Foreman and Technician,Test Cases / Roles and Permissions / Parts Page Permissions / Parts Returns and Purchase Orders,Retest,Purchase Orders hidden for Foreman and Technician.,"Technician correctly lacks Parts permissions (hidden). But the live Foreman role has Vendor/Order Management View + Create & Edit, so Purchase Orders would be visible to Foreman — contradicting the expectation. Retest to confirm Foreman in the UI.","Technician correctly lacks Parts permissions (hidden). But the live Foreman role has Vendor/Order Management View + Create & Edit, so Purchase Orders would be visible to Foreman — contradicting the expectation. Retest to confirm Foreman in the UI."
C2560,"Vendors - hidden for Service Advisor, Foreman, and Technician",Test Cases / Roles and Permissions / Parts Page Permissions / Parts Returns and Purchase Orders,Retest,"Vendors hidden for Service Advisor, Foreman, and Technician.","Technician correctly lacks Parts permissions (hidden). But the live Service Advisor and Foreman roles both have Vendor/Order Management View (and Create & Edit), so Vendors would be visible to them — contradicting the 'hidden' expectation. Retest to confirm SA and Foreman in the UI.","Technician correctly lacks Parts permissions (hidden). But the live Service Advisor and Foreman roles both have Vendor/Order Management View (and Create & Edit), so Vendors would be visible to them — contradicting the 'hidden' expectation. Retest to confirm SA and Foreman in the UI."
C2561,WO Detail - Edit Lead Technician visible for authorized roles,Test Cases / Roles and Permissions / Work Orders Permissions / WO Detail Card Permissions,Retest,"Edit Lead Technician visible for Owner, Admin, SM, SA, Foreman, Technician, Parts Manager.","Admin, Service Manager, Service Advisor, Foreman, Parts Manager all have Work Orders Create & Edit so they can edit the Lead Technician. But Technician has Work Orders View only (no edit) per the live role, so a Technician would not have the edit control unless a tech-specific rule applies. Retest to confirm the Technician case in the UI.","FLAGGED for decision: §1a WO-detail edit fields need WO Create & Edit, but the case lists Technician (WO View only) as able to edit Lead Technician. Possible extra tech-specific rule — needs a product call."
C2565,WO Detail - Change Customer and Contact visible for authorized roles,Test Cases / Roles and Permissions / Work Orders Permissions / WO Detail Card Permissions,Retest,"Change Customer and Contact visible for Owner, Admin, SM, SA, Parts Manager, Office.","Admin, SM, SA, Parts Manager have Work Orders Create & Edit so they can change the customer. But Office has Work Orders View only (no edit) per the live role, so Office should not have this control. Retest to confirm the Office case in the UI (flagged spec conflict).","FLAGGED for decision: §1a Change Customer/Contact needs WO Create & Edit, but the case lists Office (WO View only). 07-Jul change removed the 'customer-setting controls WO tab' requirement — ambiguous."
C2567,WO Detail - Change Asset visible for authorized roles,Test Cases / Roles and Permissions / Work Orders Permissions / WO Detail Card Permissions,Retest,"Change Asset visible for Owner, Admin, SM, SA, Parts Manager, Office.","Same as the Change Customer case: Admin, SM, SA, Parts Manager have Work Orders Create & Edit; Office has Work Orders View only, so Office should not have the Change Asset control. Retest to confirm the Office case in the UI.","FLAGGED for decision: §1a Change Asset needs WO Create & Edit, but the case lists Office (WO View only). Same ambiguity as Change Customer — needs a product call."
C25703,Create a Work Order from the Schedule calendar (customer/vehicle reactivity),Test Cases / Work Orders / Adding new Work Order,Retest,A work order can be created from the Schedule calendar (customer/vehicle reactivity).,"Retest: creating a work order from the calendar requires a click/drag on a day/resource grid cell, which cannot be reliably driven in the headless automation. Needs a manual UI pass.","Retest: creating a work order from the calendar requires a click/drag on a day/resource grid cell, which cannot be reliably driven in the headless automation. Needs a manual UI pass."
C2594,Move Part from Approved PS to Estimate PS - part status becomes Quoted,Test Cases / Parts / Part Sales / Move Part,Retest,Moving a part from an Approved Part Sale to an Estimate Part Sale sets the part status to Quoted.,Retest: the part-sale move endpoint could not be identified via the API and the part-sales UI route is unreliable in the automated harness. Needs a manual UI pass or the exact move endpoint.,Retest: the part-sale move endpoint could not be identified via the API and the part-sales UI route is unreliable in the automated harness. Needs a manual UI pass or the exact move endpoint.
C26340,Choose a template modal uses short labels (Admin / Parts Tech / Time Clock) while Roles list uses long labels (Administrator / Parts Technician / Time Clock User),Custom Roles - (Revised) / Create Custom Role,Retest,The Choose-a-template modal uses short labels (Admin/Parts Tech/Time Clock) while the Roles list uses long labels (Administrator/Parts Technician/Time Clock User).,"Modal-vs-list label comparison needs the Create Role modal UI, which was not reachable via the harness this session. Retest in the UI (this is a flagged product-decision case).",FLAGGED for decision: Already a 'decision needed from product' case: modal short labels (Admin/Parts Tech/Time Clock) vs Roles-list long labels (Administrator/Parts Technician/Time Clock User). Judgment call.
C2639,PS Finance - Tax Parts toggle OFF means no tax on parts,Test Cases / Parts / Part Sales / Taxes on Part Sales,Retest,"On a Part Sale, turning the Tax Parts option off results in no tax on parts.","Retest: the identical tax 'Parts' toggle is confirmed to control parts taxation on work-order invoices (see the WO tax-parts case), but the part-sale-specific Finance surface was not directly exercised because part-sale detail endpoints were not reachable in the harness. Verify on a part sale in the UI.","Retest: the identical tax 'Parts' toggle is confirmed to control parts taxation on work-order invoices (see the WO tax-parts case), but the part-sale-specific Finance surface was not directly exercised because part-sale detail endpoints were not reachable in the harness. Verify on a part sale in the UI."
C26391,WO lines Delete enables removing lines,Custom Roles - (Revised) / Work Order Lines Permissions,Retest,"With Work Order Lines Delete, a user can remove a line and the totals update.",Line removal is a functional flow not driven this session; the role capability (WOL Delete) is present. Retest with a driven line-removal in the UI.,Line removal is a functional flow not driven this session; the role capability (WOL Delete) is present. Retest with a driven line-removal in the UI.
C26411,Part sales Create and Edit enables create part sales / returns / transactions,Custom Roles - (Revised) / Parts Department Permissions,Retest,"Part Sales Create & Edit enables creating part sales, returns, and transactions.",Functional part-sales flow not driven this session; the role capability is present. Retest with a driven part-sale/return in the UI.,Functional part-sales flow not driven this session; the role capability is present. Retest with a driven part-sale/return in the UI.
C26414,Catalog and Inventory Create and Edit enables create / edit / inventory adjustments (cost and price fields gated by See Financial Data),Custom Roles - (Revised) / Parts Department Permissions,Retest,Catalog & Inventory Create & Edit enables create/edit/adjust; cost and price fields are gated by See Financial Data.,"The See-Financial gating of cost/price is confirmed live, but the create/edit/adjust flow was not driven this session. Retest with a driven catalog create/adjust.","The See-Financial gating of cost/price is confirmed live, but the create/edit/adjust flow was not driven this session. Retest with a driven catalog create/adjust."
C26415,Catalog and Inventory Delete removes catalog parts,Custom Roles - (Revised) / Parts Department Permissions,Retest,Catalog & Inventory Delete removes catalog parts.,Catalog delete flow not driven this session (note: catalog remove is a front-end-only gate at the API). Retest with a driven catalog delete in the UI.,Catalog delete flow not driven this session (note: catalog remove is a front-end-only gate at the API). Retest with a driven catalog delete in the UI.
C26419,Catalog and Inventory Create and Edit enables 'Return to Inventory' (restocking),Custom Roles - (Revised) / Parts Department Permissions,Retest,Catalog & Inventory / Vendor & Order Management gate the Return to Inventory (restocking) action.,"Flagged: the case title and body are mismatched (title says Catalog & Inventory, body tests Vendor & Order Management). Return-to-inventory flow not driven this session. Retest after the case is cleaned up.",FLAGGED for decision: Title/body mismatch: title says Catalog & Inventory enables Return to Inventory but the steps/expected are all about Vendor & Order Management. Spec attributes return-to-inventory to BOTH — needs cleanup + decision.
C26424,"Enabling ""Invoicing & Payments → Delete"" While ""Manage AP/AR"" Is OFF SHOULD Prompt the User to Enable AP/AR",Custom Roles - (Revised) / Invoicing and Payments Permissions,Retest,Enabling Invoicing & Payments Delete while Manage AP/AR is OFF should prompt the user to enable Manage AP/AR.,Could not re-drive the role editor via the automation harness this session (SPA editor route not reachable). Prior staging evidence shows the editor does not auto-link See Financial dependents; whether this specific AP/AR prompt fires needs a UI re-check. Retest.,UPDATED in TestRail (master case) — #6 AP/AR setting renamed 'Manage Accounts Payable and Receivable'  ||  Could not re-drive the role editor via the automation harness this session (SPA editor route not reachable). Prior staging evidence shows the editor does not auto-link See Financial dependents; whether this specific AP/AR prompt fires needs a UI re-check. Retest.
C26432,Clock in/out is ALWAYS available regardless of Timesheets permission,Custom Roles - (Revised) / Timesheets Permissions,Retest,Clock in/out is always available regardless of Timesheets permission.,Universal clock-in behavior not driven this session. Retest by exercising clock in/out as a role without Timesheets edit.,Universal clock-in behavior not driven this session. Retest by exercising clock in/out as a role without Timesheets edit.
C26471,Enabling Part Sales Create & Edit while See Financial Data OFF prompts to enable it,Custom Roles - (Revised) / See Financial Data,Retest,Enabling Part Sales Create & Edit while See Financial Data is OFF should prompt to enable See Financial Data.,"Could not re-drive the role editor this session; prior staging evidence indicates the editor does not link See Financial to its dependents, so this prompt likely does not fire — needs UI confirmation. Retest.","Could not re-drive the role editor this session; prior staging evidence indicates the editor does not link See Financial to its dependents, so this prompt likely does not fire — needs UI confirmation. Retest."
C26491,View Permissions button next to role selector opens the Permission Summary,Custom Roles - (Revised) / Staff Page Role Assignment,Retest,The View Permissions button next to the role selector opens a read-only Permission Summary.,Staff-page role-selector UI not driven this session. Retest in the UI.,Staff-page role-selector UI not driven this session. Retest in the UI.
C26496,"Service Manager: full ops, limited Settings (App + Wages only)",Custom Roles - (Revised) / Per-Role Verification,Retest,"Service Manager: full ops, limited Settings (App + Wages only), and CAN reverse invoices.","Service Manager settings/CRUD matrix matches the SM column live (App + Wages only, no Delete). However the case's 'CAN reverse invoices' claim conflicts with the updated spec where Reverse Invoice now requires Work Orders Delete, which Service Manager does not have — the case is internally contradictory. Retest after the reverse-invoice permission is settled.",FLAGGED for decision: #3 Internal contradiction: steps say SM 'cannot reverse invoices' but Expected says SM CAN reverse. Reverse is now under WO Delete (which SM has). Spec self-contradicts — do not force.
C26528,Universal clock in/out is available to ANY active staff record regardless of role,Custom Roles - (Revised) / Staff Record Settings,Retest,Universal clock in/out is available to any active staff record regardless of role (including Administrator).,Universal clock-in not driven this session. Retest by exercising clock in/out across roles.,Universal clock-in not driven this session. Retest by exercising clock in/out across roles.
C26553,AR Aging Summary endpoint returns 403 for users without ROLE_ACCOUNT_RECEIVABLE_REPORT::VIEW,Custom Roles - (Revised) / Backend API and Security,Retest,AR Aging Summary endpoint returns 403 for a user without the AR report permission (tech) and 200 for a full-access user.,"Security half confirmed: the AR Aging Summary endpoint (GET /api/reporting/account-receivable/aging-summary-report) returns 403 'Access denied' for the technician, so there is no unauthorized-access gap. The positive 200 case could not be confirmed because the dev admin session also returned 403 for this endpoint (the dev quick-login admin does not carry the specific AR report role). Retest the 200 path with a true full-access account.",FLAGGED for decision: #2 Backend-API case gates AR Aging on ROLE_ACCOUNT_RECEIVABLE_REPORT::VIEW; new spec routes aging through all-or-nothing Reports. 403-for-tech still holds but the permission name/model may be stale.
C26578,seeFinancialData ON for a system-tech user (regression test for legacy 'Time Clock saw pricing' bug),Custom Roles - (Revised) / Backend API and Security,Retest,A system Technician (See Financial Data OFF) should see ZERO pricing anywhere in any payload; the legacy 'tech saw pricing' bug must not recur.,"Partial: confirmed the Technician role has See Financial Data OFF and the work-order list payload returned to the tech contains no pricing values. Could not exercise the finance/detail payload endpoints (routes not discoverable via the harness this session), so a full no-leak confirmation is pending — retest against the finance endpoints.","Partial: confirmed the Technician role has See Financial Data OFF and the work-order list payload returned to the tech contains no pricing values. Could not exercise the finance/detail payload endpoints (routes not discoverable via the harness this session), so a full no-leak confirmation is pending — retest against the finance endpoints."
C26601,Apply a credit smaller than the invoice (partial settlement),Test Cases / Work Orders / Deposits - Scroll down on the left side for the tests / E. Credit Memos (Issue / Apply / Cash Out),Retest,Applying a credit smaller than the invoice partially settles it.,Retest: requires creating and applying a held credit; credit/payment submission fails this session (create-customer-payment intermittent 500). Retry when the payment endpoint is healthy.,Retest: requires creating and applying a held credit; credit/payment submission fails this session (create-customer-payment intermittent 500). Retry when the payment endpoint is healthy.
C26603,Mixed payment — cash plus credit on one invoice,Test Cases / Work Orders / Deposits - Scroll down on the left side for the tests / E. Credit Memos (Issue / Apply / Cash Out),Retest,A mixed payment (cash plus credit) settles one invoice.,Retest: requires submitting a payment and applying a credit; payment submission fails this session (create-customer-payment intermittent 500). Retry when the payment endpoint is healthy.,Retest: requires submitting a payment and applying a credit; payment submission fails this session (create-customer-payment intermittent 500). Retry when the payment endpoint is healthy.
C26604,Cash Out an existing held Credit Memo,Test Cases / Work Orders / Deposits - Scroll down on the left side for the tests / E. Credit Memos (Issue / Apply / Cash Out),Retest,An existing held credit memo can be cashed out.,Retest: requires creating and cashing out a held credit; credit submission fails this session (create-customer-payment intermittent 500). Retry when the payment endpoint is healthy.,Retest: requires creating and cashing out a held credit; credit submission fails this session (create-customer-payment intermittent 500). Retry when the payment endpoint is healthy.
C26654,"TC-BLD-03 — Hot-swap a field type: label preserved, config reset","Test Cases / Digital Inspections / Templates, Builder & Lifecycle",Retest,Hot-swapping a field's type keeps its label but resets its type-specific config.,"The label-preserved half holds (label stays when the payload keeps it), but the field-type change was rejected by the API (400) and the config-reset is a builder-only behavior that could not be driven in the headless builder. Retest the field-type hot-swap in the builder UI.","The label-preserved half holds (label stays when the payload keeps it), but the field-type change was rejected by the API (400) and the config-reset is a builder-only behavior that could not be driven in the headless builder. Retest the field-type hot-swap in the builder UI."
C26663,TC-LIFE-03 — Name immutable after first publish,"Test Cases / Digital Inspections / Templates, Builder & Lifecycle",Retest,"After a template is first published, its name becomes immutable (cannot be renamed).","Could not confirm the UI name-lock: published/active templates expose only Duplicate and Archive (no direct Edit) in the list, so the locked name field was not reachable in the harness. At the API level a rename via a new draft version WAS accepted (name changed after re-publish), meaning the backend does not enforce immutability. Retest the name-field lock in the builder UI.","Could not confirm the UI name-lock: published/active templates expose only Duplicate and Archive (no direct Edit) in the list, so the locked name field was not reachable in the harness. At the API level a rename via a new draft version WAS accepted (name changed after re-publish), meaning the backend does not enforce immutability. Retest the name-field lock in the builder UI."
C27265,Inventory report renders inventory rows,Test Cases / Reports,Retest,The Inventory report renders inventory rows.,Could not locate an Inventory report in the staging Reports menu; the /reports/inventory route returns an error page ('Our wrench could not fix this one'). Report appears absent/relocated on staging. Retest once the report's location is confirmed.,Could not locate an Inventory report in the staging Reports menu; the /reports/inventory route returns an error page ('Our wrench could not fix this one'). Report appears absent/relocated on staging. Retest once the report's location is confirmed.
C27267,Work In Progress report renders and expands a segment,Test Cases / Reports,Retest,The Work In Progress report renders and a segment can be expanded.,No Work In Progress report is present in the staging Reports menu; the /reports/work-in-progress route falls back to the reports menu shell with no report loaded. Retest once the report's location/existence is confirmed.,No Work In Progress report is present in the staging Reports menu; the /reports/work-in-progress route falls back to the reports menu shell with no report loaded. Retest once the report's location/existence is confirmed.
C27268,Sales Follow Up report renders rows,Test Cases / Reports,Retest,The Sales Follow Up report renders rows.,No Sales Follow Up report is present in the staging Reports menu; the sales-follow-up reporting endpoint returns 403 for all users including admin. Report appears not available on staging. Retest once available.,No Sales Follow Up report is present in the staging Reports menu; the sales-follow-up reporting endpoint returns 403 for all users including admin. Report appears not available on staging. Retest once available.
C27580,"CR-BRK-025 — New WO flow with Customers OFF — nav hidden, flow still works",Custom Roles - (Revised) / SV-7388 Combo + Breakage (Master) / Breakage / Adversarial,Retest,"New WO flow with Customers OFF: Customers nav hidden, flow still lets you pick a customer, Add Customer button hidden.","Needs the New WO flow driven with a Customers-OFF role. Note: staging has a known front-end gap where the Add Customer affordance shows even without Customers Create & Edit, so this case may deviate. Retest in the UI.","Needs the New WO flow driven with a Customers-OFF role. Note: staging has a known front-end gap where the Add Customer affordance shows even without Customers Create & Edit, so this case may deviate. Retest in the UI."
C27873,Notes - modify actions on another user's note hidden without Work Order Delete (non-WO note types),Custom Roles - (Revised) / Work Orders Permissions,Retest,Modify/delete actions on another user's customer note are hidden without Work Orders Delete.,"Flagged: under the updated spec, customer notes are governed by Customer Management permissions (View = create/edit anyone's note + delete own; Delete = delete others' notes), NOT by Work Orders Delete. The case's Work-Orders-Delete linkage is outdated, so its expectation cannot be validated as written. Retest against the current customer-note permission model (Customer Management).",FLAGGED for decision: #8 Ties modify/delete of another user's CUSTOMER note to Work Orders Delete; spec now governs customer notes via Customer Management (View = edit any note; Delete = delete others'). Real but subtle discrepancy.
C59,Column selection,Test Cases / Work Orders,Retest,Work Order list column selection works (add/remove columns).,"The Work Orders list renders and a column-control affordance appears, but the add/remove-column interaction was not driven this session. Retest by opening the column selector and toggling columns.","The Work Orders list renders and a column-control affordance appears, but the add/remove-column interaction was not driven this session. Retest by opening the column selector and toggling columns."
C988,Pay invoice with credit greater than total amount of invoice,Test Cases / Customers / Unpaid invoices,Retest,Paying an invoice with a credit larger than the invoice total is handled correctly.,Retest: requires creating a credit larger than the invoice and applying it; payment/credit submission fails this session because the create-customer-payment endpoint returns a server error (intermittent 500). Retry when the payment endpoint is healthy.,Retest: requires creating a credit larger than the invoice and applying it; payment/credit submission fails this session because the create-customer-payment endpoint returns a server error (intermittent 500). Retry when the payment endpoint is healthy.
