"Date Range: Jan 1, 2026 - Aug 4, 2026"
"As of: 2026-08-04"
"Locations: All locations"
"Part #",Description,Category,Vendor,Location,Qty,"Unit Cost","Unit Sell","Total Cost","Total Sell",Margin,"Margin %"
156.1003,"DUST SHIELD","HD-Heavy Duty Brake Comp",—,"Staging Lethbridge - 4310",4.00,$44.79,$79.98,$179.16,$319.92,$140.76,44.0%
4--N66-HYD003," #04 - #12 STEEL NPT JUMP SIZE HYD ADAPTER ASSORTMENT ","HD-Equipment & Hydraulics","Humoor Energy","Staging Heavy Duty - 9919",57.00,$3.14,$6.28,$178.98,$357.96,$178.98,50.0%
307-2935,"ONAN GENERATOR SHUT OFF SOLENOID ASSEMBLY","HD-Equipment & Hydraulics",—,"Staging Heavy Duty - 9919",1.00,$178.35,$283.09,$178.35,$283.09,$104.74,37.0%
170.K021558,"SR7 TYPE SPRING BRAKE MOD VALVE","HD-Air Brakes & Air Suspension",—,"Staging Lethbridge - 4310",1.00,$178.32,$287.61,$178.32,$287.61,$109.29,38.0%
GC3036CW,"BRAKE CHAMBER - GOLD SEAL 3036GC","HD-Air Brakes & Air Suspension","Ruridge Mining","Staging Heavy Duty - 9919",1.00,$178.26,$287.52,$178.26,$287.52,$109.26,38.0%
ARW-9845321,"SPOOL SUPPORT W/O EAR","HD-Equipment & Hydraulics","Iuboro Transport","Staging Heavy Duty - 9919",2.00,$89.09,$148.49,$178.18,$296.98,$118.80,40.0%
93721DX,"BRAKE DRUM, 15x4 (CM10081828, GUN 3721X, 61527B)",Uncategorized,"Weriver Electrical","Staging Heavy Duty - 9919",1.00,$178.14,$323.89,$178.14,$323.89,$145.75,45.0%
A17-21050-000,"INNER GRILLE BUGSCREEN","HD-Equipment & Hydraulics",—,"Staging Heavy Duty - 9919",1.00,$178.08,$282.67,$178.08,$282.67,$104.59,37.0%
BAT-2/0-BK,"2/0 BATTERY CABLE, BLACK","HD-Lighting & Electrical",—,"Staging Lethbridge - 4310",21.00,$8.48,$16.63,$178.08,$349.23,$171.15,49.0%
A04-27207-000,FILTER-DEF,HD-Emissions,—,"Staging Heavy Duty - 9919",1.00,$178.06,$261.86,$178.06,$261.86,$83.80,32.0%
FS19763,"Fuel/Water Separator Cartridge, Cummins/Caterpillar, Fuel Pro 382, -2008, 7 Micron",HD-Filters,"Enson Forestry","Staging Lethbridge - 4310",6.00,$29.64,$50.67,$177.84,$304.02,$126.18,41.5%
3566160C1,"Axle Shaft Flange Gasket, IHC","HD-Heavy Duty Brake Comp",—,"Staging Heavy Duty - 9919",14.00,$12.70,$26.46,$177.80,$370.44,$192.64,52.0%
FF5786,"Fuel Filter Cartridge, Excavator w/ Isuzu Engine",HD-Filters,"Enson Forestry","Staging Heavy Duty - 9919",5.00,$35.52,$59.20,$177.60,$296.00,$118.40,40.0%
A83128,"GABRIEL SHOCK ABSORBER","HD-Steering & Suspension","Iview Commercial","Staging Lethbridge - 4310",5.00,$35.47,$63.34,$177.35,$316.70,$139.35,44.0%
T1903595,"12V-24V, 6"" Oval, White Backup Light Kit, PVC Grommet and Harness, PL-3","HD-Lighting & Electrical",—,"Staging Heavy Duty - 9919",3.00,$59.04,$98.40,$177.12,$295.20,$118.08,40.0%
5190,"BATTERY TERMINAL FUSE 300AMP (3687480C1)","HD-Lighting & Electrical","Braman Consulting","Staging Heavy Duty - 9919",6.00,$29.47,$53.58,$176.82,$321.48,$144.66,45.0%
2--SILCOL-200,"2"" BLUE SILICONE COOLANT HOSE","HD-Hose & Fittings","Uivale Consulting","Staging Heavy Duty - 9919",8.00,$22.10,$40.93,$176.80,$327.44,$150.64,46.0%
MINP40061,"HALF BUSHING MID ROD","HD-Trailer Comp",—,"Staging Lethbridge - 4310",68.00,$2.60,$5.65,$176.80,$384.20,$207.40,54.0%
MT47HH5,BATTERY,HD-Batteries,"Baplains Solutions","Staging Heavy Duty - 9919",1.00,$176.50,$245.14,$176.50,$245.14,$68.64,28.0%
RB-291,BUSHING,"HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",4.00,$44.09,$78.73,$176.36,$314.92,$138.56,44.0%
5304600,"V BAND CLAMP",HD-Exhaust,"Keman Electrical","Staging Heavy Duty - 9919",2.00,$88.07,$142.05,$176.14,$284.10,$107.96,38.0%
564.55203,"Headlamp Assembly LH IHC","HD-Lighting & Electrical",—,"Staging Lethbridge - 4310",1.00,$175.98,$266.64,$175.98,$266.64,$90.66,34.0%
BW-800477,"R12 RELAY VALVE, DBL CHK VALVE","HD-Air Brakes & Air Suspension",—,"Staging Lethbridge - 4310",1.00,$175.82,$283.58,$175.82,$283.58,$107.76,38.0%
LF17499,"Engine Oil Filter, Navistar",HD-Filters,"Enson Forestry","Staging Heavy Duty - 9919",2.00,$87.91,$134.21,$175.82,$268.42,$92.60,34.5%
830.52301R-10,"AC COMPRESSOR STAT SEAL",HD-Fasteners,"Iview Commercial","Staging Lethbridge - 4310",47.00,$3.74,$7.48,$175.78,$351.56,$175.78,50.0%
FLTEF42,"FLASHER EF42","HD-Lighting & Electrical",—,"Staging Lethbridge - 4310",10.00,$17.57,$33.15,$175.70,$331.50,$155.80,47.0%
CS-12-1217,"12""x2"" LH BRAKE BACKING PLATE ASSY (FP12-1219B)","HD-Trailer Brake Comp","Wuboro Farms","Staging Heavy Duty - 9919",5.00,$35.12,$62.71,$175.60,$313.55,$137.95,44.0%
N63532-10-10,"#10 BW CRIMP COUPLING X #10 FEMALE JIC SWIVEL 45","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",9.00,$19.51,$36.81,$175.59,$331.29,$155.70,47.0%
RA020-1,"CONTROL VALVE W/EXTRNL PILOT","HD-Air Brakes & Air Suspension",—,"Staging Heavy Duty - 9919",1.00,$175.55,$283.14,$175.55,$283.14,$107.59,38.0%
181.A35058,"OIL SEAL CR TYPE WHEEL SEAL","HD-Wheel Comp",—,"Staging Lethbridge - 4310",8.00,$21.94,$40.63,$175.52,$325.04,$149.52,46.0%
TP-395S,"10,12,15K BEARING CONE 395S (394A/ TP-394A)","HD-Trailer Brake Comp","Wuboro Farms","Staging Lethbridge - 4310",6.00,$29.24,$52.21,$175.44,$313.26,$137.82,44.0%
"TDA 2210H7678","RH Camshaft","HD-Heavy Duty Brake Comp","Enson Forestry","Staging Lethbridge - 4310",2.00,$87.68,$141.41,$175.36,$282.82,$107.46,38.0%
NFE495-3-1/2," Flushface 4350-5075# ISO16028 3/8"" Coupler X 1/2"" Female NPT","HD-Hose & Fittings",—,"Staging Heavy Duty - 9919",4.00,$43.76,$75.45,$175.04,$301.80,$126.76,42.0%
1612-189007S,"#1612 18X9 RIM","AUTO-Tires & Wheels",—,"Staging Lethbridge - 4310",1.00,$175.00,$318.19,$175.00,$318.19,$143.19,45.0%
571.LD984WL16TS,"DUAL FUNCTION WORK LAMP, AMBER","HD-Lighting & Electrical","Iview Commercial","Staging Heavy Duty - 9919",2.00,$87.50,$138.89,$175.00,$277.78,$102.78,37.0%
ATFO17HD,"ANTENNA  FENDER MOUNT PASS. SIDE","HD-Lighting & Electrical","Kumarket Supply","Staging Lethbridge - 4310",5.00,$35.00,$63.64,$175.00,$318.20,$143.20,45.0%
CL1030,"CUMMINS 13.5"" V-BAND CLAMP   ",HD-Exhaust,—,"Staging Lethbridge - 4310",3.00,$58.21,$100.36,$174.63,$301.08,$126.45,42.0%
219157,"Optima 1500- 5W40 (5L)","HD-Misc / Other","Zocrest Maintenance","Staging Lethbridge - 4310",4.00,$43.65,$77.95,$174.60,$311.80,$137.20,44.0%
80001429,"LIFTGATE TOGGLE SWITCH KIT","HD-Lighting & Electrical",—,"Staging Heavy Duty - 9919",1.00,$174.60,$268.62,$174.60,$268.62,$94.02,35.0%
TP-23-450-ST,"LH 9-10K BRAKE BACKING PLATE ASSY","HD-Trailer Brake Comp","Wuboro Farms","Staging Lethbridge - 4310",2.00,$87.18,$140.61,$174.36,$281.22,$106.86,38.0%
GAC-3/16,"3/16"" AIRCRAFT CABLE",HD-Fasteners,"Aiboro Rentals","Staging Heavy Duty - 9919",484.00,$0.36,$1.03,$174.24,$498.52,$324.28,65.1%
"DDE A0004700892","FILTER, DEF PUMP",HD-Emissions,"Enson Forestry","Staging Lethbridge - 4310",1.00,$173.76,$255.53,$173.76,$255.53,$81.77,32.0%
TP-394A,"10,12,15K HD BEARING CUP 394A (395S? TP-395S)","HD-Trailer Brake Comp","Wuboro Farms","Staging Lethbridge - 4310",7.00,$24.81,$45.11,$173.67,$315.77,$142.10,45.0%
CS-12-1218,"12""x2"" RH BRAKE BACKING PLATE ASSY (FP12-1220B)","HD-Trailer Brake Comp","Wuboro Farms","Staging Heavy Duty - 9919",5.00,$34.69,$61.95,$173.45,$309.75,$136.30,44.0%
LTARP,"MESH LOAD TARP 15' x 7.4'",Uncategorized,"Luwick Commercial","Staging Heavy Duty - 9919",1.00,$173.33,$315.15,$173.33,$315.15,$141.82,45.0%
3931446,"SCREW ,HEX HEAD CAP",HD-Fasteners,"Enson Forestry","Staging Heavy Duty - 9919",12.00,$14.43,$27.75,$173.16,$333.00,$159.84,48.0%
PA32007,"Engine Air FIlter",HD-Filters,"Zoburg Maintenance","Staging Heavy Duty - 9919",1.00,$172.70,$246.72,$172.70,$246.72,$74.02,30.0%
121-8384,"TXV- EXPANSION VALVE 1.5 TON","HD-Equipment & Hydraulics",—,"Staging Lethbridge - 4310",1.00,$172.62,$274.00,$172.62,$274.00,$101.38,37.0%
2103-C,"3/8"" FEMALE NPT BRASS SPRING B","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",10.00,$17.26,$32.57,$172.60,$325.70,$153.10,47.0%
8-98165-375-0,"Fuel/Water Separator Cartridge Filter, Isuzu",HD-Filters,"Baview Ventures","Staging Heavy Duty - 9919",4.00,$43.15,$71.92,$172.60,$287.68,$115.08,40.0%
2597036C91,"TUBE KIT HOSE ASSY-PRESSURE","HD-Engine Comp",—,"Staging Heavy Duty - 9919",1.00,$172.54,$253.74,$172.54,$253.74,$81.20,32.0%
8T124,"THREADED UBOLT ROD 1X24""","HD-Steering & Suspension",—,"Staging Lethbridge - 4310",10.00,$17.23,$32.51,$172.30,$325.10,$152.80,47.0%
091417,"RUBBER BUSHING","HD-Trailer Comp","Hofalls Landscaping","Staging Heavy Duty - 9919",9.00,$19.11,$36.06,$171.99,$324.54,$152.55,47.0%
3966283,"REPAIR SEAL KIT","HD-Equipment & Hydraulics",—,"Staging Heavy Duty - 9919",6.00,$28.62,$52.04,$171.72,$312.24,$140.52,45.0%
85154365,"U JOINT","HD-Drive Train",—,"Staging Heavy Duty - 9919",1.00,$171.53,$281.19,$171.53,$281.19,$109.66,39.0%
15619586,"AXLE STUD","HD-Wheel Comp",—,"Staging Lethbridge - 4310",8.00,$21.41,$39.65,$171.28,$317.20,$145.92,46.0%
345-661,"ROD ULTRA","HD-Steering & Suspension",—,"Staging Lethbridge - 4310",2.00,$85.50,$137.90,$171.00,$275.80,$104.80,38.0%
"WW 3015","29"" Wiper Blade",AUTO-Body,"Uitown Industries","Staging Lethbridge - 4310",6.00,$28.38,$40.54,$170.28,$243.24,$72.96,30.0%
AS4x4x3/8,"ANGLE STEEL 4""x4""x3/8""","HD-Fabrication & Building","Faburg Concrete","Staging Heavy Duty - 9919",14.00,$12.15,$23.37,$170.10,$327.18,$157.08,48.0%
330-102,SHACKLE,"HD-Steering & Suspension",—,"Staging Lethbridge - 4310",8.00,$21.25,$38.64,$170.00,$309.12,$139.12,45.0%
109991PGX,"MODEL SP COALESCING DRYER 12V (REPLACES 109991X)","HD-Air Brakes & Air Suspension","Toshore Electrical","Staging Heavy Duty - 9919",1.00,$169.90,$278.52,$169.90,$278.52,$108.62,39.0%
109991PGX,"MODEL SP COALESCING DRYER 12V (REPLACES 109991X)","HD-Air Brakes & Air Suspension","Toshore Electrical","Staging Lethbridge - 4310",1.00,$169.90,$278.52,$169.90,$278.52,$108.62,39.0%
VLV21363872,DIPSTICK,"HD-Engine Comp",—,"Staging Lethbridge - 4310",1.00,$169.77,$249.66,$169.77,$249.66,$79.89,32.0%
"RDH RD3 8821 0","DUST FILTER KIT",HD-Filters,"Enson Forestry","Staging Lethbridge - 4310",4.00,$42.44,$70.73,$169.76,$282.92,$113.16,40.0%
180.T46311K,"HUB  ODOMETER HUB ODOMETER 311 RPK, DISPLAYS IN KILOMETER","HD-Body Interior","Iview Commercial","Staging Lethbridge - 4310",3.00,$56.55,$97.50,$169.65,$292.50,$122.85,42.0%
KRY00929,"ENAMEL GLOSS WHITE PAINT",HD-Fluids,"Cuview Management","Staging Heavy Duty - 9919",11.00,$15.41,$23.71,$169.51,$260.81,$91.30,35.0%
GAT-G25170-1212,"12G-12FJX HYD HOSE END, STR FJIC","HD-Hose & Fittings","Uushore Mining","Staging Lethbridge - 4310",10.00,$16.94,$31.96,$169.40,$319.60,$150.20,47.0%
182.430,"WHEEL BEARING PREADJUST","HD-Wheel Comp","Iview Commercial","Staging Heavy Duty - 9919",3.00,$56.41,$94.02,$169.23,$282.06,$112.83,40.0%
4C-14,"4 WIRE 14 GUAGE TRAILER WIRE","HD-Lighting & Electrical","Aiboro Rentals","Staging Lethbridge - 4310",88.00,$1.91,$4.06,$168.08,$357.28,$189.20,53.0%
904702,"ENGINE CRANKCASE BREATHER ELEMENT 6.7 FORD 17' & UP","AUTO-Oil, Lube & Maintenance","Zocrest Maintenance","Staging Lethbridge - 4310",1.00,$168.04,$305.53,$168.04,$305.53,$137.49,45.0%
A83396,"SHOCK ABSORBER","HD-Steering & Suspension","Iview Commercial","Staging Lethbridge - 4310",4.00,$42.01,$75.02,$168.04,$300.08,$132.04,44.0%
RB-295,"BUSHING KW (B65-1006)","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",6.00,$27.94,$49.89,$167.64,$299.34,$131.70,44.0%
182.430,"WHEEL BEARING PREADJUST","HD-Wheel Comp","Iview Commercial","Staging Lethbridge - 4310",4.00,$41.88,$72.21,$167.52,$288.84,$121.32,42.0%
TB-79,"BUSHING THREADED W/S METRIC","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",8.00,$20.93,$38.05,$167.44,$304.40,$136.96,45.0%
PA32000,"ENGINE AIR FILTER",HD-Filters,"Hibridge Supply","Staging Lethbridge - 4310",1.00,$167.16,$238.80,$167.16,$238.80,$71.64,30.0%
571.LD5AL24,"LED AMBER WARNING LIGHT","HD-Lighting & Electrical","Iview Commercial","Staging Heavy Duty - 9919",2.00,$83.48,$132.51,$166.96,$265.02,$98.06,37.0%
GSK1080,"Cummins 13.25"" ID X 14.188"" OD DOC/DPF/SCR Gasket",HD-Emissions,"Eagate Mechanical","Staging Heavy Duty - 9919",8.00,$20.84,$34.73,$166.72,$277.84,$111.12,40.0%
SPL140X,"U JOINT KIT","HD-Drive Train","Enson Forestry","Staging Heavy Duty - 9919",1.00,$166.58,$273.07,$166.58,$273.07,$106.49,39.0%
GREASEBULK,"RED TACKY MP EP2 GREASE","HD-Shop Supply",—,"Staging Heavy Duty - 9919",38.00,$4.38,$9.99,$166.44,$379.62,$213.18,56.2%
49035,"Flexible Exhaust Pipe, 5"", Stainless",HD-Exhaust,"Mefield Supply","Staging Heavy Duty - 9919",8.00,$20.80,$37.82,$166.40,$302.56,$136.16,45.0%
GAT-G25175-0608,"3/8"" Hose X 1/2"" Female JIC 45 Hyd Crimp","HD-Hose & Fittings","Uushore Mining","Staging Lethbridge - 4310",8.00,$20.80,$38.52,$166.40,$308.16,$141.76,46.0%
TP-553,"KIT, U-BOLT 1/2"" X 3"" X 6-3/4 ""FOR S60 AXLES 3"" TUBE""","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",6.00,$27.73,$49.52,$166.38,$297.12,$130.74,44.0%
182.404,"WHEEL BEARING KIT 592A/598A","HD-Wheel Comp","Iview Commercial","Staging Lethbridge - 4310",6.00,$27.71,$50.38,$166.26,$302.28,$136.02,45.0%
47024,"24"" WIPER BLADE","HD-Truck Accessories","Cuview Management","Staging Heavy Duty - 9919",17.00,$9.78,$21.26,$166.26,$361.42,$195.16,54.0%
4089544,"Rear Main Seal Kit, L10/M11, REPTO","HD-Engine Comp",—,"Staging Heavy Duty - 9919",1.00,$165.96,$244.06,$165.96,$244.06,$78.10,32.0%
PA32000,"ENGINE AIR FILTER",HD-Filters,"Zoburg Maintenance","Staging Heavy Duty - 9919",1.00,$165.95,$237.08,$165.95,$237.08,$71.13,30.0%
182.424,"WHEEL BEARING KIT 552A/555S","HD-Wheel Comp","Iview Commercial","Staging Heavy Duty - 9919",4.00,$41.45,$71.46,$165.80,$285.84,$120.04,42.0%
571.LD8CAL6,"WARNING LIGHT MINI STROBE LED AMBER 6 DI","HD-Lighting & Electrical","Iview Commercial","Staging Lethbridge - 4310",4.00,$41.44,$71.45,$165.76,$285.80,$120.04,42.0%
RB-341,"VOLVO BUSHING","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",6.00,$27.62,$49.32,$165.72,$295.92,$130.20,44.0%
RB-341,"VOLVO BUSHING","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",6.00,$27.62,$49.32,$165.72,$295.92,$130.20,44.0%
85301,"Shock Absorber, Ford","HD-Steering & Suspension","Iview Commercial","Staging Heavy Duty - 9919",1.00,$165.57,$271.42,$165.57,$271.42,$105.85,39.0%
RB-268,"Airliner Bushing, Freightliner","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",8.00,$20.69,$37.62,$165.52,$300.96,$135.44,45.0%
N63532-08-10,"#08 BW CRIMP COUPLING X #10 FEMALE JIC SWIVEL 45","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",11.00,$15.04,$28.38,$165.44,$312.18,$146.74,47.0%
SR2000037,Actuator,Uncategorized,"Keman Electrical","Staging Heavy Duty - 9919",1.00,$165.40,$300.73,$165.40,$300.73,$135.33,45.0%
626845,"Upper Rad Hose",AUTO-Engine,"Zocrest Maintenance","Staging Lethbridge - 4310",1.00,$165.30,$236.14,$165.30,$236.14,$70.84,30.0%
SQT3x3x1/4,"SQUARE TUBING 3""x3""x1/4""","HD-Fabrication & Building","Faburg Concrete","Staging Heavy Duty - 9919",10.00,$16.53,$31.19,$165.30,$311.90,$146.60,47.0%
AF26154,"Engine Air Filter - NON-FR Media - Use With AF27706 (P616400)",HD-Filters,"Enson Forestry","Staging Heavy Duty - 9919",2.00,$82.55,$127.00,$165.10,$254.00,$88.90,35.0%
RDT71R6266,"SENSOR THERMISTER FREON SENSOR","HD-Cooling & HVAC",—,"Staging Heavy Duty - 9919",1.00,$164.85,$270.24,$164.85,$270.24,$105.39,39.0%
23539605,"SENSOR BOSS M12","HD-Engine Comp",—,"Staging Heavy Duty - 9919",17.00,$9.69,$17.94,$164.73,$304.98,$140.25,46.0%
DDE-J-49107,"DETROIT CONNECTOR REPAIR","HD-Lighting & Electrical","Enson Forestry","Staging Heavy Duty - 9919",23.00,$7.15,$17.02,$164.45,$391.46,$227.01,58.0%
BHT-W8274002,"RAD FITTING KIT","HD-Cooling & HVAC",—,"Staging Lethbridge - 4310",2.00,$82.21,$132.60,$164.42,$265.20,$100.78,38.0%
SPL170-4X,"Universal Joint","HD-Drive Train",—,"Staging Heavy Duty - 9919",1.00,$164.31,$269.35,$164.31,$269.35,$105.04,39.0%
B-080-2-3N,"VALVE ASSY TAIL GATE","HD-Equipment & Hydraulics",—,"Staging Heavy Duty - 9919",4.00,$41.06,$73.32,$164.24,$293.28,$129.04,44.0%
33-18431,"WHALE TAIL CHROME","HD-Trailer Comp","Iview Commercial","Staging Lethbridge - 4310",2.00,$82.00,$132.26,$164.00,$264.52,$100.52,38.0%
33-18903,"WHALE TAIL CHROME LEFT","HD-Trailer Comp","Iview Commercial","Staging Lethbridge - 4310",2.00,$82.00,$132.26,$164.00,$264.52,$100.52,38.0%
DDE-A9062002070,"Belt Tensioner, Detroit (Replaced by A9902000170) (Dayco APV1055, Gates T38559)","HD-Belts, Pulleys & Tensioners",—,"Staging Heavy Duty - 9919",1.00,$163.90,$268.68,$163.90,$268.68,$104.78,39.0%
571.LD508R42,"S/T/T BOX LIGHT LED DOUBLE MET","HD-Lighting & Electrical","Iview Commercial","Staging Lethbridge - 4310",3.00,$54.62,$92.58,$163.86,$277.74,$113.88,41.0%
GAT-G25225-1010,"10G-10MFFOR HYD HOSE END, STR MALE FLATFACE O-RING","HD-Hose & Fittings","Uushore Mining","Staging Lethbridge - 4310",8.00,$20.46,$37.89,$163.68,$303.12,$139.44,46.0%
3683144,"V-Band Clamp, EGR Cooler Inlet/Outlet, X15",HD-Exhaust,—,"Staging Heavy Duty - 9919",2.00,$81.81,$131.95,$163.62,$263.90,$100.28,38.0%
HIB3536556,PIN/CP,"HD-Equipment & Hydraulics","Iuboro Transport","Staging Heavy Duty - 9919",1.00,$163.56,$259.62,$163.56,$259.62,$96.06,37.0%
170.V230202,"Push Pull Valve 3 Way","HD-Air Brakes & Air Suspension","Iview Commercial","Staging Lethbridge - 4310",2.00,$81.77,$131.89,$163.54,$263.78,$100.24,38.0%
R950015-G3,"WABCO HEATER ASSY REPAIR KIT (12V),","HD-Air Brakes & Air Suspension","Toshore Electrical","Staging Lethbridge - 4310",3.00,$54.45,$93.88,$163.35,$281.64,$118.29,42.0%
FR1044,"BATTERY DISCONNECT SWITCH","HD-Lighting & Electrical",—,"Staging Lethbridge - 4310",1.00,$163.32,$251.27,$163.32,$251.27,$87.95,35.0%
GH781-32,"2"" HYDRAULIC HOSE SAE100R16","HD-Hose & Fittings",—,"Staging Heavy Duty - 9919",4.00,$40.82,$70.38,$163.28,$281.52,$118.24,42.0%
TP-23-451-ST,"RH 9-10K BRAKE BACKING PLATE ASSY","HD-Trailer Brake Comp","Wuboro Farms","Staging Lethbridge - 4310",2.00,$81.58,$131.58,$163.16,$263.16,$100.00,38.0%
A6809950202,"10.5"" V-Band Clamp, DPF Inlet, EPA10/GHG14",HD-Emissions,"Enson Forestry","Staging Lethbridge - 4310",2.00,$81.52,$125.42,$163.04,$250.84,$87.80,35.0%
550045390,"Shell Rotella T6, 5W40 Engine Oil, 5L",HD-Fluids,"Baplains Solutions","Staging Heavy Duty - 9919",3.00,$54.33,$77.62,$162.99,$232.86,$69.87,30.0%
ARW-9895841,"GREASE HOSE","HD-Equipment & Hydraulics","Iuboro Transport","Staging Heavy Duty - 9919",1.00,$162.91,$258.59,$162.91,$258.59,$95.68,37.0%
GAT-G25225-0808,"8G-8MFFOR HYD HOSE END, STR MALE FLATFACE O-RING","HD-Hose & Fittings","Uushore Mining","Staging Lethbridge - 4310",15.00,$10.85,$20.87,$162.75,$313.05,$150.30,48.0%
N63533-12-12,"#12 BW CRIMP COUPLING X #12 FEMALE JIC SWIVEL 90","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",9.00,$18.07,$34.09,$162.63,$306.81,$144.18,47.0%
RTHI-08-TEFLON,"#08 STEEL BRAIDED TEFLON HOSE, 1750 PSI","HD-Hose & Fittings","Uivale Consulting","Staging Heavy Duty - 9919",16.00,$10.16,$19.54,$162.56,$312.64,$150.08,48.0%
29558331,"Allison Internal Suction Filter, 3000/4000 Series",HD-Filters,"Enson Forestry","Staging Heavy Duty - 9919",2.00,$81.27,$125.03,$162.54,$250.06,$87.52,35.0%
UF101,"DEF (UREA) Filter",HD-Emissions,"Enson Forestry","Staging Heavy Duty - 9919",2.00,$81.15,$121.12,$162.30,$242.24,$79.94,33.0%
334-344,"KIT BUSH","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",12.00,$13.51,$28.15,$162.12,$337.80,$175.68,52.0%
5407X,"UNIVERSAL U JOINT","HD-Drive Train","Enson Forestry","Staging Heavy Duty - 9919",2.00,$80.95,$130.56,$161.90,$261.12,$99.22,38.0%
2--N66-SK1410,"TRANSMISSION AIR SHIFT FITTING","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",70.00,$2.31,$4.91,$161.70,$343.70,$182.00,53.0%
575.1082,"Coolant Reservoir Volvo","HD-Cooling & HVAC","Iview Commercial","Staging Lethbridge - 4310",1.00,$161.65,$264.99,$161.65,$264.99,$103.34,39.0%
"BRBCR 273","Caliper Mounting Bracket w/ Pins",AUTO-Brakes,"Uitown Industries","Staging Lethbridge - 4310",1.00,$161.35,$210.40,$161.35,$210.40,$49.05,23.3%
DDE-A4721530728,"PRESR SENSOR",HD-Exhaust,—,"Staging Heavy Duty - 9919",1.00,$161.34,$264.48,$161.34,$264.48,$103.14,39.0%
564.46537,"PLASTIC BATTERY COVER 15.25Wx 11.125Hx 23.375L","HD-Lighting & Electrical",—,"Staging Lethbridge - 4310",2.00,$80.50,$127.78,$161.00,$255.56,$94.56,37.0%
82-5521RL,"4 WIRE, 14GA WIRE","HD-Lighting & Electrical","Aiboro Rentals","Staging Lethbridge - 4310",100.00,$1.61,$3.43,$161.00,$343.00,$182.00,53.1%
85656,"Shock Absorber, Drive, Navistar/Ford","HD-Steering & Suspension","Iview Commercial","Staging Heavy Duty - 9919",2.00,$80.48,$129.81,$160.96,$259.62,$98.66,38.0%
334-1695,"3/4"" SPHERICAL WASHER, HENDRICKSON (WA58)","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",82.00,$1.96,$4.26,$160.72,$349.32,$188.60,54.0%
768571,"3 WIRE, 14GA, GREY JACKET CABLE","HD-Lighting & Electrical",—,"Staging Heavy Duty - 9919",136.00,$1.18,$2.51,$160.48,$341.36,$180.88,53.0%
2494,"STANLEY HH HANDLE GRIP","HD-Equipment & Hydraulics",—,"Staging Lethbridge - 4310",12.00,$13.35,$25.67,$160.20,$308.04,$147.84,48.0%
334-1574,"CONCENTRIC COLLAR HENDRICKSON","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",8.00,$20.01,$36.38,$160.08,$291.04,$130.96,45.0%
223080P,"Delo Syn-Trans 75W80 Transmission Fluid, I-Shift/M-Drive Only, /L",HD-Fluids,"Xawick Consulting","Staging Heavy Duty - 9919",15.00,$10.67,$16.42,$160.05,$246.30,$86.25,35.0%
03-07421,"Shock Absorber, Rear, Air Trac","HD-Steering & Suspension",—,"Staging Heavy Duty - 9919",4.00,$40.00,$71.43,$160.00,$285.72,$125.72,44.0%
55372853AB,"LH DOOR LATCH/ACTUATOR",AUTO-Body,"Quboro Concrete","Staging Lethbridge - 4310",1.00,$160.00,$290.91,$160.00,$290.91,$130.91,45.0%
XPB2410,"V-BELT / 10316.00","HD-Belts, Pulleys & Tensioners",—,"Staging Heavy Duty - 9919",1.00,$159.97,$262.24,$159.97,$262.24,$102.27,39.0%
109493PGX,"ADIP, MODEL IP COALESCING DESICCANT CARTRIDGE","HD-Air Brakes & Air Suspension","Toshore Electrical","Staging Heavy Duty - 9919",2.00,$79.95,$128.95,$159.90,$257.90,$98.00,38.0%
135.S2816,"Haldex Type S/Setting Slack Ad","HD-Air Brakes & Air Suspension","Iview Commercial","Staging Lethbridge - 4310",2.00,$79.95,$128.95,$159.90,$257.90,$98.00,38.0%
CC2602B,"FLEETGUARD COOLANT/ANTIFREEZE TEST STRIP",HD-Fluids,"Enson Forestry","Staging Heavy Duty - 9919",82.00,$1.95,$4.15,$159.90,$340.30,$180.40,53.0%
S2225,"CONTROL SWITCH LIFT GATE","HD-Equipment & Hydraulics",—,"Staging Lethbridge - 4310",1.00,$159.85,$253.73,$159.85,$253.73,$93.88,37.0%
8102-PK,"2GA BLACK BATTERY CABLE","HD-Lighting & Electrical","Baplains Solutions","Staging Heavy Duty - 9919",25.00,$6.39,$12.53,$159.75,$313.25,$153.50,49.0%
