Ticket,Area,Release,Verdict,Confidence,What The Bug Is,Steps To Reproduce,What Should Happen,What Actually Happens Now,Screenshot,Notes
SV-4722,invoicing / accounting,v0.44 Bug Fixes,NOT-TESTABLE,medium,"When downloading an invoice that includes a long technician story, the first page of the PDF is blank and the actual invoice content begins on page 2. Occurs consistently with lengthy tech-story text.",Logged in as admin. Located the invoice PDF generation path: button_download_invoice and endpoint /api/invoices/preview?invoice_id=<id>&type=pdf. | Fetched and analyzed the PDF byte streams (zlib-inflate of content streams + text-operator counting) for 10 real invoices on staging. | Attempted to construct the exact repro: add a long (~2500 char) technician story to a line and generate its PDF. | Attempted estimate-preview PDF generation via WO id to bypass invoice creation.,The invoice PDF renders its content starting on page 1 (no blank leading page) even when a long technician story is present.,"General PDF pipeline check: all 10 invoices analyzed render their content on the FIRST page (first content stream carries the primary text, ~13 BT / ~80 Tj operators); none exhibited a blank leading page. However, the exact reported trigger (a long technician story spanning multiple pages) could NOT be constructed in this harness: (1) the rich-text tech-story editor did not persist programmatic input, (2) creating a new invoice requires the review->invoice flow which is gated (the 'Reviewed' button was disabled on available test WOs), and (3) the estimate-preview PDF endpoint rejects a WO id and requires an existing invoice_id. No existing invoice on staging had a long/multi-page tech story to test against.",build/bugfix-regression/screenshots/SV-4722.png,"Partial positive evidence: the invoice PDF renderer places content on page 1 for all 10 real invoices tested (no blank first page). But the specific long-tech-story multi-page condition that triggers the reported bug could not be created in the automated harness (tech-story editor + gated invoice generation), so a definitive FIXED/STILL-REPRODUCES verdict for the exact scenario is not possible here."
SV-4768,work orders,"v0.43 Bug Fixes, SV-4796 Epic (V0.43 Regression Testing Bugs)",FIXED,high,"After marking a work-order line as Complete, the user could not uncomplete it (revert its status).","Logged in as admin, opened work order S9-24917 (/workorders/7a6b0b7f.../lines). | Located line 2 (WOL-NEW-24917-1) whose status badge read 'Complete'. | Selected the line's checkbox and opened the line bulk-action menu. | Chose 'Set line status' -> submenu offered 'Authorization required / Declined / Authorized / Complete'. | Selected 'Authorized' to revert (uncomplete) the completed line.",A completed line can be uncompleted (its status reverted) without error.,"The line status changed from 'Complete' to 'Approved' immediately, with no error message. The uncomplete/revert action succeeded.",build/bugfix-regression/screenshots/SV-4768.png,There is no literal 'Uncomplete' button; reverting a completed line is done via bulk action -> Set line status -> a pre-complete status (Authorized). This worked cleanly. Line left in 'Approved' state on disposable staging.
SV-4771,work orders,"v0.43 Bug Fixes, SV-4796 Epic (V0.43 Regression Testing Bugs)",FIXED,medium,"The 'Create Invoice' button was entirely missing from both Work Orders (WO) and Part Sales (PS), blocking users from invoicing.",Logged in as admin. Opened Work Orders and Part Sales (/parts/part-sales). | Opened a WO in the pre-invoice 'Review' state (S9-24916) and confirmed the header carries the 'Reviewed' control (data-test-id button_reviewed) that gates Create Invoice per the documented precondition. | Verified via API the distribution of WO/PS statuses to confirm the invoicing pipeline produces invoices. | Explored Part Sales list and detail; confirmed part-sale invoicing states exist.,The Create Invoice action/button is present and usable on WOs and Part Sales that have reached the invoiceable (reviewed) state.,"The invoicing pipeline is present and functional on current staging. Work Orders reach 'invoiced' (15) and 'paid' (25) states, and Part Sales reach 'invoiced' (10) and 'paid' (43) states — these are only reachable via a working Create Invoice action, so the button is not missing. The WO detail header contains the 'Reviewed' button that gates Create Invoice. The literal 'Create Invoice' button renders only in the transient post-review state; on the specific test WO the 'Reviewed' button was disabled (line-level review / assignment gating), so the button text was not forced into view, but the total-absence bug does not reproduce.",build/bugfix-regression/screenshots/SV-4771.png,"Vague ticket (has_usable_repro=false). Verdict rests on: (a) presence of the review->invoice controls on WO detail, and (b) existence of invoiced+paid WO and PS records on current staging, which cannot occur if Create Invoice were missing. Confidence medium because the literal button was not rendered on-screen due to the transient state gating on the available test records."
SV-4772,parts / inventory,"v0.43 Bug Fixes, SV-4796 Epic (V0.43 Regression Testing Bugs)",FIXED,high,"On a Work Order's Parts tab, the part-request data was not appearing under the correct headers/columns (misalignment).","Logged in as admin, opened work order S9-24011 which has many requested parts. | Clicked the WO Parts sub-tab (link_part_requests_tab), landing on /workorders/<id>/part-requests. | Read the table header row and the first data rows cell-by-cell to check header/value alignment.",Each part-request value is displayed under its correct column header on the WO Parts tab.,"The Parts tab renders 13 headers: Description, Part Number, Quantity, Cost, Core, Sell Price, Margin, Category, Vendor, Requested At, Status, Actions (plus expand). The part-request row values map correctly to their headers: Description='Engine Oil Filter', Category='Uncategorized', Requested At='Jun 25, 2026', Status='Requested', with Cost/Core/Sell Price/Margin inputs under their respective columns. Data appears under the correct columns.",build/bugfix-regression/screenshots/SV-4772.png,Column-to-value alignment is correct on current staging; the misalignment described in the ticket does not reproduce.
SV-4776,parts / inventory,v0.54 Bug Fixes,FIXED,high,"On Part Sales, after requesting a Special Order part and changing the Margin value, the automatically calculated Sell Price was wrong.","Logged in as admin, opened Part Sale P9-1051 Parts tab (/workorders/<psid>/part-requests). | Selected a part line with a real cost (cost=10.00, original margin=54, sell=21.74). | Edited the Margin input to 40 and blurred (Tab). | Read back the recalculated Sell Price and checked it against the expected formula.",Editing the Margin on a Part Sale part recalculates the Sell Price correctly (sell = cost / (1 - margin/100)).,"After setting Margin=40 on a part with cost=10.00, the Sell Price recalculated to 16.67. Expected = 10.00/(1-0.40) = 16.67. Implied margin from the resulting sell price = 40.01%. Calculation is correct.",build/bugfix-regression/screenshots/SV-4776.png,Part Sales Margin->Sell Price recalculation is accurate on current staging; the wrong-sell-price behavior does not reproduce. Part Sales share the WO part-requests UI.
SV-4777,work orders,v0.54 Bug Fixes,FIXED,high,"Filtering Work Orders by Status (By Status tab) and then switching to another tab and back resets the status filter to default, forcing the user to reapply it.","Logged in as admin, opened /workorders. | Clicked the 'By Status' tab which reveals the status multi-select (default label 'All Statuses'). | Opened the multi-select and selected 'Approved' and 'Complete' — label changed to 'Selected Statuses'. | Switched to the 'Work Orders' sub-tab, then back to 'By Status' — checked the select value. | Navigated fully away to /schedule, then back to /workorders — checked active tab and select value.",The selected Status filters should remain applied even after navigating away from the page and returning.,"After selecting statuses the By Status select shows 'Selected Statuses'. After a sub-tab roundtrip (Work Orders -> By Status) the value is still 'Selected Statuses'. After full navigation to /schedule and back to /workorders, the active tab is still 'By Status' and the select still shows 'Selected Statuses'. The filter selection persists.",build/bugfix-regression/screenshots/SV-4777.png,"Verified both the sub-tab switch (Estimates/Work Orders/By Status) and a full route navigation away and back. Filter state is retained in both cases, matching expected_after_fix."
SV-4778,parts / inventory,"v0.43 Bug Fixes, SV-4796 Epic (V0.43 Regression Testing Bugs)",FIXED,high,"On the Work Order Parts tab, editing the Margin (%) value caused the automatically calculated Sell Price to be wrong.","Logged in as admin, opened work order S9-24011 Parts tab (/workorders/<id>/part-requests). | Confirmed the existing calc convention from live rows (e.g. cost 12.50 / margin 48 / sell 24.04 -> (24.04-12.50)/24.04 = 48%). | On a part request (cost=12.50, original margin=48, sell=24.04) I edited the Margin input to 50 and blurred (Tab). | Read back the recalculated Sell Price.",Editing the Margin recalculates the Sell Price correctly (sell = cost / (1 - margin/100)).,"After setting Margin=50 on a part with cost=12.50, the Sell Price recalculated to 25.00. Expected = 12.50/(1-0.50) = 25.00. Implied margin from the resulting sell price = 50.00%. The calculation is correct.",build/bugfix-regression/screenshots/SV-4778.png,Margin->Sell Price recalculation is accurate on current staging; the wrong-sell-price behavior does not reproduce.
SV-4779,parts / inventory,"v0.43 Bug Fixes, SV-4796 Epic (V0.43 Regression Testing Bugs)",FIXED,medium,"On staging, a WO/line could not be marked complete when a part with a core had been returned (OK/Not OK not pressed for the core). Completion was blocked with: 'Line cant be completed with unfulfilled Core part. Please try to resolve this.' (Not reproducible on Production.)","Logged in as admin. Identified approved WOs that have part return requests. | Opened WO S9-24171 (approved, 1 line, 3 part returns). Confirmed on the Parts tab it has a received part (2a339025) with a Core charge of 1.00. | Went to the Lines tab (line a07f785a status 'Approved'), selected the line, used bulk action -> Set line status -> Complete. | Observed the resulting line status and any error notification/dialog mentioning 'core'.",The Work Order / line can be marked as complete even when a part with a core has been returned.,"The line was successfully set to 'Complete' with no error. No 'unfulfilled Core part' notification or dialog appeared (only an unrelated 'Build Lines' element was present). Completion of a line whose part carries a core, on a WO that has returns, succeeded. Corroborating: WOs S9-24176 (17 returns) and S9-24168 (14 returns) are already in 'ready_for_review', i.e. they were completed despite returned parts.",build/bugfix-regression/screenshots/SV-4779.png,"The reported core-related completion block does not reproduce: a line with a core-bearing part completed cleanly on a WO with returns. Confidence is medium rather than high because I could not deterministically force the exact 'core OK/Not OK unpressed immediately after returning the main part' substate through the harness (the per-part receive/return/core-acknowledge controls are not fully drivable headless), but the completion path that the bug blocked now works with a core part + returns present."
SV-4800,invoicing / accounting,"v0.43 Bug Fixes, SV-4796 Epic (V0.43 Regression Testing Bugs)",FIXED,medium,"Taxes did not add up: GST (5%) found 878.36 vs expected 873.36 (+$5) and PST (7%) found 1229.71 vs expected 1222.71 (+$7). The overage was exactly one rate-percent of $100, i.e. an extra ~$100 was being included in the taxable base.","Attempted to open the exact invoice referenced in the ticket (WO 9930a4e7-4e39-43e5-a0b9-7a2b0c60c70d) via GET /api/work-orders/view/{id} — it returned 'workOrderId: Not found' (the Nov-2025 test WO no longer exists on staging). | Since the original record is gone, verified the tax engine directly: pulled 12 live WOs and, for each, recomputed the expected tax as rate% * taxable base, where the base sums total_labour_cost / total_parts_cost / shop_supplies_cost according to the tax's isEnabledLabor/Parts/ShopSupplies flags, then compared against the tax.rates[].amount actually returned.","Each tax line equals its rate percentage applied to the correct taxable base (labour + parts + shop supplies per the tax's enabled flags), with no extra amount included.","On all 12 sampled WOs the returned tax amount equals rate% * taxable base within a penny of rounding (e.g. S9-24917 GST 5% base 727.96 -> 36.40 found 36.40; S9-24662 base 1541.01 -> 77.05 found 77.05). No WO showed a systematic overage. The specific failure signature from the ticket (tax inflated by exactly one rate-percent of $100, meaning ~$100 wrongly added to the taxable base) does not appear.",,"The exact invoice from the ticket no longer exists on staging, so the original numbers can't be re-asserted. Verdict rests on the tax engine now computing rate*base correctly across a broad sample with no over-taxation. Sampled WOs carry a single GST rate; a GST+PST combo like the original was not available, but the per-rate math is identical. Confidence medium due to inability to reproduce the exact triggering data."
SV-4802,parts / inventory,"v0.43 Bug Fixes, SV-4796 Epic (V0.43 Regression Testing Bugs)",FIXED,high,"When a line status is changed from Needs Approval/Authorization Required to Approved/Authorized, a requested Inventory Part incorrectly stayed in Quoted status instead of updating to 'In stock' with a Pick action.","Located an existing fixture matching the precondition: WO S9-24011, line a93ad8f1 in status 'authorization_required' with an inventory-source part request (375f3eb3, inventory_part_id 794a9962) sitting in status 'quoted'. | Captured the before state via GET /api/work-orders/lines/{wo}: line=authorization_required, part=quoted / 'Quoted', src=inventory. | Changed the line status to authorized via POST /api/work-orders/lines/change-status {line_id, status:'authorized'} (HTTP 200). | Re-read the line and inspected the same inventory part request; captured the parts tab screenshot.",The inventory part status should automatically update from Quoted to In stock (action Pick) when the line is authorized.,"After authorizing the line, the inventory part request automatically transitioned from 'Quoted' to status 'in_stock' (label 'In stock'). It no longer remains in Quoted. This matches the expected 'In stock / Pick' behavior.",build/bugfix-regression/screenshots/SV-4802.png,"Tested on real fixture WO S9-24011 (disposable staging). The part moved to 'In stock' which is the Pick-able state, exactly as expected_after_fix."
SV-4803,parts / inventory,SV-4796 Epic (V0.43 Regression Testing Bugs),FIXED,high,"When a line status is changed from Needs Approval/Authorization Required to Approved/Authorized, a requested Special Order Part with all data incorrectly stayed in Quoted status instead of updating to 'Auth to order' with an Order action.","Ticket is marked OBSOLETE; confirmed it is still testable and in scope, then verified the behavior. | Used fixture WO S9-24917, line 3d37443f in status 'authorization_required' carrying two special-order (vendor-source) part requests: PR 199ff75e in 'Quoted' with full data (part# ZZAUTOTEST-1699 + vendor + cost 16.99), and PR 8b8152c1 in 'Requested' with no part#/vendor. | Changed the line status to authorized via POST /api/work-orders/lines/change-status (HTTP 200). | Re-read the line and inspected both part requests.",A Special Order Part with all data should auto-update from Quoted to 'Auth to order' (action Order); if missing data (vendor or cost) it should update to 'Requested' status.,"After authorizing the line, the special-order part with full data transitioned from 'Quoted' to 'authorized_to_order' (label 'Auth to order'), i.e. the Order-able state. The other special-order part that is missing data remained in 'Requested'. Both outcomes exactly match expected_after_fix.",,"Ticket status OBSOLETE with no fixVersion, but the described bug does not reproduce: the auth-time promotion for special-order parts works, including the 'missing data -> Requested' branch."
SV-4816,work orders,"v0.43 Bug Fixes, SV-4796 Epic (V0.43 Regression Testing Bugs)",FIXED,high,"On Staging a WO line could NOT be declined when it had staged/received parts, whereas Production allowed declining such a line. Repro: request+receive parts on a line, then set status to Declined via Edit Line > Status or via Line Options > Set line status.","Scanned WOs for a line carrying a staged/received part; found WO S9-24011 line a93ad8f1 in status 'authorized' with an inventory part in 'in_stock' (staged) status. | Attempted to decline it using the exact endpoint the Edit-Line status dropdown uses: POST /api/work-orders/lines/change-status {line_id, status:'authorization_declined'}. | Re-read the line to confirm the resulting status. | Also loaded the WO lines UI (S9-15819) and confirmed the decline control (button_action_authorization_declined_line_*) is rendered on lines.",A line that has staged/received parts can be declined (parity with Production).,The decline succeeded: the endpoint returned HTTP 200 and the line with a staged part transitioned to 'authorization_declined' (and its parts reverted from in_stock back to quoted/requested). The line is no longer blocked from being declined. The UI exposes the decline action on lines.,build/bugfix-regression/screenshots/SV-4816.png,Verified via the same change-status endpoint the UI's Edit Line > Status > Declined path invokes. The staging block on declining staged-parts lines does not reproduce; behavior now matches the expected Production parity.
SV-4821,parts / inventory,"v0.43 Bug Fixes, SV-4796 Epic (V0.43 Regression Testing Bugs)",FIXED,medium,"On a line configured as a Fixed line total, adding a part incorrectly increased the line/total price by $0.01 (a rounding artifact) instead of leaving the fixed total unchanged.","Note: creating a fresh fixed line + part in-session was blocked (work-orders/create and parts/create return 500 this session, the documented create-endpoint quirk; the New Line dialog was intermittent). | Instead located a real fixture matching the exact precondition: WO S9-24715 line 6162a6b2 is a 'Fixed line total' (labour_type_id=fixed_line_total, fixed_line_total=300) that HAS two parts added to it (a vendor part qty 2 and an inventory part). | Read the line via GET /api/work-orders/lines/{wo} and the WO via GET /api/work-orders/view/{id} to check the persisted total against the configured fixed amount. | Also scanned 13 other fixed-line-total lines across staging to confirm none carry a fractional-cent residue.",Adding a part to a Fixed line total does not change the fixed total; the line total stays exactly the configured fixed amount.,"The fixed line with parts added shows total_cost = 300.00, exactly equal to fixed_line_total = 300 (no $0.01 inflation). total_parts_sell_price is 0.00 (the fixed total absorbs the parts), and total_labour_cost is 300. The WO total (348.08) equals its finance total. All 13 other fixed-line-total lines likewise show exact totals (e.g. 500=500, 200=200, 3000=3000).",build/bugfix-regression/screenshots/SV-4821.png,"Verdict is based on the persisted state of a fixed line that already has parts added: no +1 cent residue survives on the fixed total. I could not watch the live add action this session (create-* APIs 500, New Line UI intermittent), hence medium confidence, but a per-part $0.01 inflation would have left a 300.01/300.02 residue and the total is exactly 300.00."
SV-4829,parts / inventory,v0.54 Bug Fixes,NOT-TESTABLE,low,"On a Purchase Order, adding an Inventory Part without a core and then editing that part to assign a core produced an incorrect Core Description (it showed the part number '$PartNumber' instead of 'Core for $PartDescription'). Also reproducible by adding a part with a core, removing the core before save, then re-assigning it.","Located the PO API (GET /api/inventory/orders, detail GET /api/inventory/orders/{id}); PO items expose is_core / core_item_id / parent_part_number and a description field. | Scanned 60 purchase orders looking for an existing core line item to read its Core Description text. | Attempted to set up the exact scenario (add inventory part to a non-received PO, then assign a core) but PO item create/edit goes through the create-* endpoints that return HTTP 500 this session (documented session quirk), and the PO-editor UI was not reliably drivable in this harness.",The Core Description is displayed as 'Core for $PartDescription'.,"No purchase order among the 60 scanned currently carries a core line item, so there was no fixture whose Core Description could be read, and the add-part-then-assign-core flow could not be executed this session (create/edit endpoints 500). The specific behavior could not be exercised.",,"Blocked by the create-endpoint 500 quirk plus lack of an existing core-item fixture. Strong external signal that it is fixed: the ticket is labeled QAcomplete, Staging_Verified, and Verified_on_prod (fixVersion v0.54), i.e. QA already confirmed the fix on both staging and production. Re-run when the create-PO-item endpoint is healthy to directly assert the 'Core for {description}' text."
SV-4845,work orders,"v0.43 Regressions, SV-4796 Epic (V0.43 Regression Testing Bugs)",NOT-TESTABLE,low,"For a line configured as a Fixed line total, changing the Estimated Time caused the Labor Portion / Parts Portion (and related values) to be reset to 0 in the line editor. Not reproducible on Production.","Identified the fixed-line-total configuration and its portion fields via the API (labour_type_id=fixed_line_total; portions reflected in total_labour_cost / total_parts_sell_price / labor_margin). | Attempted to open the 'Edit Financial Info' / line editor on an editable WO (S9-24917) to change the Estimated Time and watch the portions live — the button_edit_financial_info control was present in the DOM but not reliably actionable, and the New Line / line-editor dialog was intermittent in this harness. | As a supporting check, inspected an existing fixed-line-total line that already has a large Estimated Time set (S9-24715 line 6162a6b2: time_estimate=222).",Changing the Estimated Time on a fixed-line-total line keeps the Labor/Parts portions intact (does not zero them).,"The interactive glitch is a frontend recalculation that only manifests while editing Estimated Time in the line editor, which could not be driven reliably this session. Supporting observation: the existing fixed line S9-24715 has a non-zero Estimated Time (222) together with an intact labor portion (total_labour_cost=300, labor_margin=100, fixed_line_total=300), i.e. no persistent zeroing of portions is visible.",,"Ticket is OBSOLETE with no fixVersion. The bug is a live frontend calc behavior that requires driving the Edit Financial Info editor, which was not reliably operable in this harness this session. Supporting evidence (a fixed line with a set Estimated Time retaining non-zero portions) leans toward fixed, but the exact live edit could not be performed."
SV-4847,work orders,SV-4796 Epic (V0.43 Regression Testing Bugs),FIXED,low,"Immediately after creating a WO (create WO -> create line -> request inventory part 'reteststage' qty 1 $19 -> Save & Close -> Finance tab), the total in the Finance tab differed from the total under the Financial Info section / Work Orders list; the totals only became correct after the WO was reopened or refreshed.","Attempted to reproduce the exact flow (create WO + line + inventory part, then compare Finance vs Financial Info without refreshing) — blocked because work-orders/create and parts/create return HTTP 500 this session (documented create-endpoint quirk) and the New Line UI was intermittent, so a fresh WO could not be built to observe the pre-refresh transient. | Verified the underlying invariant instead: compared the Work Orders list total against the WO finance total across 43 WOs of all statuses (GET /api/work-orders vs GET /api/work-orders/view/{id}).","The Work Orders list, Financial Info section, and Finance tab all show the same total immediately, without needing a refresh.",All 43 sampled WOs show the list total exactly equal to the finance/financial-info total (0 mismatches). The persisted totals are fully consistent. The transient 'wrong-until-refresh' state right after creation could not be directly observed this session because fresh WOs/parts could not be created in the harness.,,"Ticket is OBSOLETE, no fixVersion, and labeled Rejected_Staging (QA rejected the report as not valid/reproducible on staging). Combined with the fully consistent list-vs-finance totals observed here, the evidence points to not-reproducing; confidence is low only because the exact immediate-after-creation transient could not be exercised (create-* endpoints 500 this session)."
SV-4849,work orders,SV-4796 Epic (V0.43 Regression Testing Bugs),FIXED,high,"The Work Order total price shown in the Work Orders list appeared incorrect after a specific flow: request an inventory part 'reteststage' with Quantity 336563, save/close, change the price to $19, pick the part, then check the Work Orders list total vs the WO's finance total (not reproducible on Production).","Located the exact ticket scenario already present on staging: WO S9-24715 carries an inventory part with quantity 336563 (the large-quantity case from the ticket) on a fixed-line-total line. | Compared the Work Orders list total (GET /api/work-orders totalPrice, the value the list renders) with the WO finance total (GET /api/work-orders/view/{id} total_cost). | Also ran a broad sweep comparing list vs finance totals across 43 WOs of all statuses.","The Work Orders list Price Total matches the WO's Finance/Financial-Info total, even for very large part quantities.","For the large-quantity WO S9-24715 the list total (348.08) equals the finance total (348.08) exactly. Across the 43-WO sweep there were 0 list-vs-finance mismatches. The 'total appears off in the list' symptom does not reproduce, including with the huge 336563 quantity from the ticket.",build/bugfix-regression/screenshots/SV-4849.png,"The ticket's exact large-quantity data (qty 336563) is present in S9-24715 and its list total matches finance, which is the precise invariant the bug violated. No fixVersion on the ticket, but the reported symptom is gone."
SV-4871,work orders,"v0.43 Bug Fixes, SV-4796 Epic (V0.43 Regression Testing Bugs)",FIXED,high,"When filtering Work Orders by status = Paid, the Price Total shown in the Work Orders list did not match the total shown under the Financial Info section / Finance tab of the same WO (reported on a WO with no parts).","Loaded the Work Orders list (GET /api/work-orders?limit=100) which returns the same totalPrice the list UI renders. | Filtered to status = paid (25 Paid WOs present). | For 12 Paid WOs, opened each via GET /api/work-orders/view/{id} and compared the list totalPrice (cents/100) against the WO detail total_cost (the value shown in Financial Info / Finance tab), including several no-parts WOs (S9-24656, S2-23635, S9-23525, S2-23459, S9-24604, S9-24354).","The Price Total in the Work Orders list matches the WO's Finance/Financial-Info total for Paid work orders, including WOs with no parts.","For every Paid WO checked the list Price Total equals the WO Finance total exactly (0 mismatches / 12), including no-parts WOs: e.g. S9-24656 list 1348.39 = view 1348.39, S9-24604 list 2696.77 = view 2696.77, S2-23635 list 130.48 = view 130.48. A broader all-status sweep of 18 more WOs also showed 0 mismatches.",,"The list totalPrice is exactly the figure the Work Orders list renders, so an API-level match is authoritative for this display-consistency bug. No-parts Paid WOs (the ticket's specific case) match."
SV-4880,work orders,"v0.43 Bug Fixes, SV-4796 Epic (V0.43 Regression Testing Bugs)",FIXED,high,"In the 'Move part to line' modal, the Target Line dropdown listed the available lines in the wrong order.","Logged in as admin and opened a 4-line Work Order (S9-24073) on its Lines tab. | Confirmed the line order: 1-Brake Pads, 2-Engine Oil Filter, 3-Air Filter, 4-Engine Oil Change. | Opened the context menu on a part that sits on line 2 (Engine Oil Filter) and chose Move. | Opened the Target Line dropdown in the 'Move part to line' modal and read the option order.","Target Line dropdown shows only the other lines (current line excluded), in correct positional order.","The Target Line dropdown lists exactly 3 options in correct positional order: '1 - Brake Pads', '3 - Air Filter', '4 - Engine Oil Change'. The part's own line (2 - Engine Oil Filter) is correctly excluded, and the remaining lines appear in ascending position order.",build/bugfix-regression/screenshots/SV-4880.png,Used an existing 4-line WO rather than creating one named 111/222/333/444; the ordering behavior tested is identical. Dropdown excludes the source line and preserves positional order.
SV-4881,invoicing / accounting,"v0.43 Bug Fixes, SV-4796 Epic (V0.43 Regression Testing Bugs)",FIXED,high,Inferred (no explicit STR): the invoice could not be sent by email when the customer/contact had no email address on file - sending was blocked or failed.,"Logged in as admin, opened an invoiced Work Order Finance tab and clicked Send Email. | In the 'Sending invoice' dialog, UNCHECKED the customer/contact recipient so that no customer email would be used. | Entered a manual address in the 'Optional Emails (Comma Separated)' field only. | Verified the Send Email button state and clicked it, capturing the response.",User can send the invoice email even when the customer email is missing (e.g. by entering a recipient manually); sending is not blocked.,"With the contact recipient unchecked (simulating a missing customer email) and only a manually entered optional email, the Send Email button remained ENABLED and the send succeeded: POST /api/work-order/invoice/send-email returned HTTP 201 with a 'Successfully sent invoice to email.' toast and the dialog closed. The dialog also exposes an 'Optional Emails' field so a recipient can always be provided.",build/bugfix-regression/screenshots/SV-4881.png,"Ticket had no usable repro; inferred from summary. A missing customer email no longer blocks sending - the invoice can be emailed to a manually supplied address. All existing invoiced test WOs happened to have contact emails, so the missing-email condition was reproduced by unchecking the contact and relying solely on the Optional Emails field."
SV-4910,work orders,SV-4796 Epic (V0.43 Regression Testing Bugs),STILL-REPRODUCES,medium,"On the Work Order screen the 'New Line' button appears with a solid blue background. On production it appears with a white background, blue text, and a blue outline.","Logged in as admin, opened a Work Order and navigated to its Lines tab (/workorders/{id}/lines). | Located the New Line button (data-test-id=button_new_line) and read its computed styles. | Captured a screenshot of the button.","New Line button rendered with white background, blue text color, and a blue outline (matching production).","The New Line button still renders with a SOLID BLUE background: background-color rgb(56,116,255) (class bg-blue-10), text color rgb(255,255,255) (white), border-width 0px (no outline). This is the buggy appearance described in the ticket, not the expected white-background / blue-text / blue-outline styling.",build/bugfix-regression/screenshots/SV-4910.png,"Ticket has no fixVersion and no Staging_Verified label. The button is a filled blue primary button, matching exactly what the bug reports as wrong. Could not compare against current production styling, so it is possible the design was intentionally standardized to a filled blue primary (which would make this OBSOLETE); however, purely against the ticket's expected state the bug still reproduces."
SV-4917,invoicing / accounting,v0.43 Regressions,FIXED,medium,"On the invoice screen within a Work Order, changing the invoice date and then trying to send the invoice by email caused the system to keep spinning; the email was never sent.","Logged in as admin, opened an invoiced Work Order (S9-24669) Finance tab. | Clicked Send Email (button_send_email); the 'Sending invoice' dialog opened pre-populated with the customer contact and email content. | Clicked Send Email in the dialog and timed the request. | Exercised the invoice lifecycle (reverse -> re-create invoice) to look for an invoice-date-change control in the create flow.","After Email -> Send, the invoice email should be sent immediately without any delay or loading issue.","Sending the invoice email works correctly: POST /api/work-order/invoice/send-email returns HTTP 201 in ~1-2 seconds, a 'Successfully sent invoice to email.' success toast appears, and the dialog closes cleanly with no hanging spinner. Creating the invoice auto-assigns the invoice date; no perpetual-spinner / email-never-sent behavior was observed at any point.",build/bugfix-regression/screenshots/SV-4917.png,"Could not locate a standalone 'edit invoice date' control on an already-invoiced WO (Create Invoice auto-dates the invoice), so the exact date-change-then-email sequence could not be isolated. However, the reported failure symptom (spinner hangs, email never sent) does not reproduce: the send-email endpoint is healthy and responds quickly with success. Reversed and re-created the invoice on S9-24669 during testing (staging is disposable); it was left in the Invoiced state."
SV-4928,work orders,v0.43 Regressions,FIXED,high,"In phone view, users cannot add a new line to a work order - the 'Add New Line' option does not appear, and Line/Part/Notes/Stat/Finance are not visible.","Launched a Chromium mobile context (390x844, iPhone UA, isMobile+touch) authenticated as admin. | Opened a Work Order's Lines tab (/workorders/{id}/lines) in the phone viewport. | Checked for the New Line button and for the Lines/Parts/Notes/Stats/Finance tabs, and confirmed visibility. | Captured a full-page mobile screenshot.",In phone view users can see and select an 'Add New Line' option and the Lines/Parts/Notes/Stats/Finance tabs.,"In the phone viewport the New Line button (data-test-id=button_new_line) is present and visible (offsetParent not null), and all tabs render: Lines (4), Parts (5), Notes, Timesheets, History, Stats, Finance. Users can see the Add New Line control and the full tab set in mobile view.",build/bugfix-regression/screenshots/SV-4928.png,"Emulated an iPhone-sized viewport with touch. The reported missing controls (Add New Line, Line/Part/Notes/Stat/Finance) are all present and visible now."
SV-4963,invoicing / accounting,v0.43 Regressions,FIXED,high,"A tax that is actively used (assigned to a WO/workplace) could be deleted. The Delete Tax icon was active and deletion succeeded, later breaking WO info loading.","Logged in as admin, opened /administration/taxes. | Read isDeletable flag per tax from GET /api/taxes: used/default taxes (Exempt, GST, HST, HST BC, Zero Tax Rate) have isDeletable=false; the unused 'New Tax' has isDeletable=true. | In the UI, inspected the delete button (data-test-id=button_delete_tax) per row: it is disabled (q-btn--disable) for every used tax and enabled only for the unused 'New Tax'. | Attempted backend DELETE /api/taxes/{GST id} for a used tax.",The Delete Tax icon is not clickable for a used tax and hover shows an error; deletion of a used tax is blocked.,"The Delete button is disabled for all in-use taxes and enabled only for the unused tax. The backend DELETE on a used tax returns HTTP 400 with {""error"":""Tax is not deletable as it is used by one or more workplaces or companies""}, and the tax remains present. A used tax can no longer be deleted.",build/bugfix-regression/screenshots/SV-4963.png,Backend now computes isDeletable and rejects deletion of used taxes; FE disables the delete icon accordingly. Tooltip message wording differs slightly from ticket ('Cannot delete currently used tax') but the gating and backend enforcement are in place. No test tax was actually deleted.
