ID,sf_id,title,section,refs,trace_note
29467,SF-AUTO-07,"Verify the work order status transitions on the backend when the last open line is resolved (auto-Complete when review off, Ready for Review when review on)",API — Auto-Complete Trigger (Story 16),SV-7870 (S16-R12 backend status transition),
29892,SF-CORE-11,"Verify the Resolve cores screen lists every un-received vendor core with part info, core charge and OK / Not OK, plus an invoice-accuracy message",Core parts — Pre-Resolve (Story 18),SV-8353 (S18 C-R1),
29893,SF-CORE-12,"Verify marking a core Not OK immediately adds the core charge to the work order total and customer invoice, while OK adds no charge",Core parts — Pre-Resolve (Story 18),SV-8353 (S18 C-R3),
29894,SF-CORE-13,Verify completion and invoice creation are blocked only while a core is undecided — a decided core does not block,Core parts — Pre-Resolve (Story 18),SV-8353 (S18 C-R4),
29895,SF-CORE-14,"Verify receiving a pre-resolved core auto-applies the saved decision: OK creates exactly one vendor return, Not OK creates none, the invoice never changes, retries create no duplicates",Core parts — Pre-Resolve (Story 18),SV-8353 (S18 C-R5),
29896,SF-CORE-15,"Verify the receive dialog locks quantity to the full remaining amount once the work order is invoiced/paid, with the core auto-selected and an explanatory tooltip",Core parts — Pre-Resolve (Story 18),SV-8353 (S18 C-R8),
29897,SF-CORE-16,"Verify the Lines tab shows the core decision state before and after receive: 'Core decision pending', 'Core OK — return to vendor, no charge', 'Core Not OK — customer charged'",Core parts — Pre-Resolve (Story 18),SV-8353 (S18 C-R9),
29898,SF-CORE-17,Verify a core decision cannot be changed once the work order has an active invoice,Core parts — Pre-Resolve (Story 18),SV-8353 (S18 AC (resolution immutable with an active invoice)),
29899,SF-CORE-18,API: Verify POST /api/work-orders/{id}/pre-resolve-cores persists the core decision on the part request with no side-effect records,API — Core Pre-Resolve (Story 18),SV-8353 (S18 C-R2 / technical plan),
29900,SF-CORE-19,API: Verify resolving a received core via the existing handle-core endpoints also writes the decision back to the linked core part request,API — Core Pre-Resolve (Story 18),SV-8353 (S18 C-R10),
29901,SF-RCV-11,"Verify returning from receiving lands on the exact work order line the receive started from, not the top of the work order",Receive Button on WO POs (Story 11),"SV-7698,SV-7706 (S11-R4 (+ S3-R5 amendment))",
29902,SF-RCV-12,Verify clicking Receive on a single work order part opens Accept Delivery showing all of that vendor's to-receive parts plus the vendorless group,Accept Delivery (Story 12),SV-7707 (S12-R6),
29903,SF-RCV-13,"Verify a vendorless part can be assigned a vendor / merged into the single-part receive on the spot, reusing the same invoice number",Accept Delivery (Story 12),SV-7707 (S12-R6),
29904,SF-VEND-07,Verify an assigned vendor stays changeable via the same dropdown until the part is received or the work order is invoiced/paid,Assign Vendor + Merge (Story 13),SV-7708 (S13-R8 (SV-8343)),
29905,SF-VEND-08,Verify the part number stays editable via the edit icon after entry until the part is received or the work order is invoiced/paid,Assign Vendor + Merge (Story 13),SV-7708 (S13-R8 (SV-8343)),
29906,SF-POSEL-07,Verify part-sale-originated POs appear in the PO list and are selectable like work-order POs,PO Multi-Select (Story 7),SV-7702 (S7 AC (part-sale POs) + §8 Part Sales — confirmed),
29907,SF-BULK-11,Verify a part-sale-originated PO can be received on the Bulk Receive page like a work-order PO,PO Bulk Receive Page (Story 8),SV-7703 (S8 AC (part-sale POs) + §8 Part Sales — confirmed),
29908,SF-WOP-04,Verify part-sale orders behave with the Waiting on Parts column — unreceived count and receive shortcut work without errors,Waiting on Parts Column (Story 14),SV-7709 (§8 Part Sales — confirmed (remaining check)),
29909,SF-QB-09,Verify part-sale order status transitions are not regressed by the shared order/status logic (requested to waiting-to-receive to received),QuickBooks / Inventory Integrity,"SV-7702,SV-7703 (§8 Part Sales — confirmed (Jul 14) + S7/S8 part-sale AC)",
