ID,Area,Story Ref,Title,Priority,Type,Permissions,Preconditions,Steps,Expected Result,Design Ref,VIU Status,Notes,TestRail Case ID,TestRail Link
SF-CORE-02,Core parts — Completion modal,S3-C1 (skipped if none),Verify a work order with no cores completes with no core sub-lines and no Resolve-Cores wizard step,Low,Functional,Work Order edit access.,"1. Signed in as Admin.
2. A work order has no core parts.","1. Click Complete Work Order.
2. Step through the completion wizard.
3. Watch for a Resolve Cores step.","1. No core sub-lines appear (the work order has no cores).
2. There is no distinct Resolve Cores wizard step; completion proceeds directly Details -> Success.",Resolve Cores Flow - Handoff.md,VIU-Verified,Wording+VIU 2026-07-13: a work order with no cores shows no core sub-lines and no Resolve Cores step; completion goes Details -> Success (confirmed live on labor-only WOs S2-15795/S2-15825/S2-15823 this run).,29314,https://shopview.testrail.io/index.php?/cases/view/29314
SF-CORE-03,Core parts — Completion modal,S18 C-R1/C-R4,Verify a Resolve cores screen appears before the Receive parts / Complete without receiving choice and only an undecided core blocks completing,Medium,Functional,Work Order edit access.,"1. Signed in as Admin.
2. Require Vendor Invoice Number is OFF (Optional).
3. A work order has a special-order (vendor) cored part that has not been received yet.","1. Click Complete Work Order.
2. Observe the screen shown right before the Receive parts / Complete without receiving choice.
3. Leave the core undecided and try Complete Without Receiving.
4. Mark the core OK or Not OK on the resolve screen and try again.","1. A separate Resolve cores screen lists the un-received vendor core with its part info, core charge and an OK / Not OK choice, and explains that resolving now keeps the invoice accurate.
2. While the core is still undecided, completing is blocked.
3. Once every core is decided (OK or Not OK), Complete Without Receiving works — a decided core no longer blocks completing without receiving (no receive needed first).",Resolve Cores Flow.html + Handoff; requirements-v4 S18 C-R1/C-R4,Blocked-Env,"REWORDED 2026-07-17 to spec `_4` (V2.6) Story 18 C-R1/C-R4 (SV-8353, pre-resolve-before-receive): replaces the 2026-07-14 design-#4 'Complete Without Receiving DISABLED while a core waits' model — completion is now gated ONLY on undecided (NULL) cores; a DECIDED core does not block Complete Without Receiving. Screen labels from the Resolve Cores Flow design (wizard step 'Resolve cores'; Inventory / Special order groups; 'OK / Not OK'; 'N / M resolved' progress; '+$X to invoice' running total) — design-sourced, pending live confirm; state labels 'Core decision pending' / 'Core OK — return to vendor, no charge' / 'Core Not OK — customer charged' are spec-quoted (C-R9) — confirm exact on-screen text live. Blocked-Env: a special-order (vendor-sourced) core is still not seedable in this build (P550848 is_core=0; a vendor-sourced part request drops the core attribute) — needs a dev-seeded special-order core. ALSO: Story 18 / SV-8353 is a new dev plan, so the pre-resolve build is likely NOT deployed on sv7301 yet — probe the completion wizard for the resolve step + the pre-resolve endpoint before any re-VIU.",29315,https://shopview.testrail.io/index.php?/cases/view/29315
SF-CORE-04,Core parts — Invoice gate,S18 C-R4,Verify the 'Cores pending' indication reflects only undecided special-order cores (a decided core clears it),Medium,Functional,Work Order edit access + Finance access.,"1. Signed in as Admin.
2. A completed (optional-invoice) work order has an un-received special-order core.","1. With the core still undecided (no OK / Not OK yet), open the work order's invoice / Finance view and look for a cores indication.
2. Decide the core (OK or Not OK) and check again.","1. While the core is undecided, a 'Cores pending' indication shows and invoice creation is blocked.
2. Once every core is decided (OK or Not OK), the 'Cores pending' indication clears and invoicing is no longer blocked — even though the core part has not been received yet.",requirements-v4 S18 C-R4,Blocked-Env,"REWORDED 2026-07-17 to spec `_4` (V2.6) Story 18 C-R4: 'Cores pending' now reflects UNDECIDED (NULL) cores only — the old invoice-gate model (flag while cores unresolved until received) is replaced by the pre-resolve model; a decided-but-unreceived core no longer flags. Blocked-Env: a special-order (vendor-sourced) core is still not seedable in this build (P550848 is_core=0; a vendor-sourced part request drops the core attribute) — needs a dev-seeded special-order core. ALSO: Story 18 / SV-8353 is a new dev plan, so the pre-resolve build is likely NOT deployed on sv7301 yet — probe the completion wizard for the resolve step + the pre-resolve endpoint before any re-VIU.",29316,https://shopview.testrail.io/index.php?/cases/view/29316
SF-CORE-05,Core parts — Invoice gate,S3-C4,Verify resolving cores at the Create Invoice gate routes to receive the cored line then lets invoicing proceed,High,Functional,Work Order edit access + Finance access + receive access.,"1. Signed in as Admin.
2. A completed (optional-invoice) work order has an unresolved special-order core.","1. Click Create Invoice.
2. In the resolve module, route to receive the cored line (core-only partial receive).
3. Resolve each core Ok / Not OK.
4. Continue to invoice.","1. The Create Invoice gate opens a resolve module for the unresolved cores.
2. It routes to receive the cored line(s) (core-only partial receive supported).
3. After resolving Ok/Not OK the invoice proceeds.
4. Because a waiting core cannot be skipped, the core line must be received before completion; receiving it settles the core so invoicing can proceed.",Resolve Cores to Invoice.html,Blocked-Env,"RETIRE-PROPOSED (spec `_4` Δ8 — invoice-gate core model removed, 2026-07-17): the Create-Invoice-gate resolve module (route-to-receive, core-only partial receive at the gate) no longer exists in spec `_4` — Story 18 pre-resolves before receiving. Kept in TestRail UNTOUCHED pending the user's / QA-lead's explicit keep-vs-retire ruling (per the Δ7 precedent of never silently dropping). | Aligned 2026-07-14 to design #4 un-skippable core: the cored line must be received first (Complete Without Receiving / Skip is disabled while the core is waiting). Blocked-Env (reconfirmed live 2026-07-14): a SPECIAL-ORDER (vendor-sourced) core cannot be created in this build — the genuine cored catalog part P550848 (core_charge=1) is stored is_core=0 and a vendor-sourced part request for it drops the core attribute, so a core that must be ORDERED and RECEIVED is not seedable. Needs a hand-seeded (dev/data) special-order core to drive the un-skippable-core completion behavior. Wording updated to the design #4 core-block behavior. design4 tooltip ""Receive the core part first — its core charge must be settled before you can complete.""; waiting-card ""N parts waiting to receive — includes a core charge."" + ""Receive it to settle the core (OK / Not OK) before completing this work order."" (WO Review Flow.html). Copy is per design #4 — not yet live-confirmed because a special-order (vendor-sourced) core is not seedable in this build.",29317,https://shopview.testrail.io/index.php?/cases/view/29317
SF-CORE-06,Core parts — Invoice gate,S3-C4 (cancel path),"Verify cancelling the invoice-gate core resolution leaves the WO completed, un-invoiced and cores-pending",Medium,Negative,Work Order edit access + Finance access.,"1. Signed in as Admin.
2. A completed work order has an unresolved special-order core and you are in the invoice-gate resolve module.","1. Cancel the resolve module.
2. Inspect the work order and invoice state.","1. The work order remains Completed.
2. It remains un-invoiced.
3. Cores remain pending.
4. Note: because the core cannot be skipped at completion, this cancel path applies after completion at the Create Invoice gate; the core stays pending and the work order stays un-invoiced until it is received and resolved.",Resolve Cores to Invoice.html; requirements S3-C4,Blocked-Env,"RETIRE-PROPOSED (spec `_4` Δ8 — invoice-gate core model removed, 2026-07-17): the invoice-gate resolve module's cancel path no longer exists in spec `_4` — Story 18 pre-resolves before receiving. Kept in TestRail UNTOUCHED pending the user's / QA-lead's explicit keep-vs-retire ruling (per the Δ7 precedent of never silently dropping). | Aligned 2026-07-14 to design #4 un-skippable core. Blocked-Env (reconfirmed live 2026-07-14): a SPECIAL-ORDER (vendor-sourced) core cannot be created in this build — the genuine cored catalog part P550848 (core_charge=1) is stored is_core=0 and a vendor-sourced part request for it drops the core attribute, so a core that must be ORDERED and RECEIVED is not seedable. Needs a hand-seeded (dev/data) special-order core to drive the un-skippable-core completion behavior. Wording updated to the design #4 core-block behavior. design4 tooltip ""Receive the core part first — its core charge must be settled before you can complete.""; waiting-card ""N parts waiting to receive — includes a core charge."" + ""Receive it to settle the core (OK / Not OK) before completing this work order."" (WO Review Flow.html). Copy is per design #4 — not yet live-confirmed because a special-order (vendor-sourced) core is not seedable in this build.",29318,https://shopview.testrail.io/index.php?/cases/view/29318
SF-CORE-07,Core parts — Required invoice (Story 4),S18 C-R6,Verify the required-invoice flow asks to resolve special-order cores FIRST and then to receive them,High,Functional,Work Order edit access + receive access.,"1. Signed in as Admin.
2. Require Vendor Invoice Number is ON (Required).
3. A work order has a special-order cored part.","1. Click Complete Work Order.
2. Observe the order of the core steps in the wizard.
3. Decide the core OK / Not OK on the resolve screen, then Receive Parts and receive it, then Complete.","1. The wizard asks to resolve the core FIRST (same resolve screen as the optional flow) and then to receive — not resolve-after-receive.
2. At receive the saved decision is applied automatically; the user is not asked OK / Not OK again.
3. After all parts are received, Complete succeeds to the Success screen.",requirements-v4 S18 C-R6 (2026-07-16 change-log: both flows resolve-before-receive),Blocked-Env,"REWORDED 2026-07-17 to spec `_4` (V2.6) Story 18 C-R6: the required-invoice flow FLIPS from resolve-AFTER-the-receive-round-trip (old S4-C2) to resolve-FIRST-then-receive (unified with the optional flow, change-log 2026-07-16). NOTE the Resolve Cores Flow design still codes the required-flow branch as resolve-after-receive — spec (2026-07-16) wins; design flagged for cleanup. Blocked-Env: a special-order (vendor-sourced) core is still not seedable in this build (P550848 is_core=0; a vendor-sourced part request drops the core attribute) — needs a dev-seeded special-order core. ALSO: Story 18 / SV-8353 is a new dev plan, so the pre-resolve build is likely NOT deployed on sv7301 yet — probe the completion wizard for the resolve step + the pre-resolve endpoint before any re-VIU.",29319,https://shopview.testrail.io/index.php?/cases/view/29319
SF-CORE-08,Core parts — Guardrail,S18 C-R2/C-R4 (guardrail),Verify the completion and invoice gates detect an undecided special-order core that exists only as a requested part,Medium,Functional,Work Order edit access + Finance access.,"1. Signed in as Admin.
2. A work order has a special-order cored part that exists only as a part request (not received, no work-order part yet) and is still undecided.","1. Try to complete the work order and to create the invoice.
2. Decide the core OK / Not OK and try again.","1. The undecided core is detected even though it exists only as a requested (un-received) part — completing and invoicing are blocked.
2. Once the core is decided, the gates clear (no receive needed first).",requirements-v4 S18 C-R2/C-R4,Blocked-Env,"REWORDED 2026-07-17 to spec `_4` (V2.6) Story 18 C-R2/C-R4: detection now works off the decision saved on the core work_order_part_request (core_resolution = ok | not_ok | NULL; NULL = undecided blocks) instead of the old invoice-gate PartRequest scan — no WorkOrderPart needed. Blocked-Env: a special-order (vendor-sourced) core is still not seedable in this build (P550848 is_core=0; a vendor-sourced part request drops the core attribute) — needs a dev-seeded special-order core. ALSO: Story 18 / SV-8353 is a new dev plan, so the pre-resolve build is likely NOT deployed on sv7301 yet — probe the completion wizard for the resolve step + the pre-resolve endpoint before any re-VIU.",29320,https://shopview.testrail.io/index.php?/cases/view/29320
SF-CORE-09,Core parts — Guardrail,S3 Guardrail (part-sale vs service WO),Verify part-sale work orders auto-resolve cores at receive while service work orders require manual Ok/Not OK,Medium,Functional,Work Order edit access + receive access.,"1. Signed in as Admin.
2. A part-sale work order and a service work order, each with a cored part, exist.","1. Receive the cored part on the part-sale work order and check core status.
2. Receive the cored part on the service work order and check core status.","1. On the part-sale WO the core auto-resolves at receive.
2. On the service WO the core requires manual Ok / Not OK.",requirements S3 Guardrail,Blocked-Env,"RETIRE-PROPOSED (spec `_4` Δ8 — invoice-gate core model removed, 2026-07-17): the 'part-sale WOs auto-resolve at receive; service WOs need manual Ok/Not OK' guardrail sentence was DELETED and Story 18 is silent on it (spec silent — flagged, not silently dropped). Kept in TestRail UNTOUCHED pending the user's / QA-lead's explicit keep-vs-retire ruling (per the Δ7 precedent of never silently dropping). | Blocked-Env (precise, reconfirmed live 2026-07-14): a SPECIAL-ORDER (vendor-sourced) core cannot be created in this build. The genuine cored catalog part P550848 (core_charge=1, catalogue_part_id 4b4753e0) carries its core attribute ONLY when added via the inventory-source catalog path (select_part forces Source=Inventory). A vendor-sourced part request for the SAME part (POST /api/work-orders/part/make-request with part_source_type='vendor' + inventory_part_id of P550848) returns 201 but the resulting part request has is_core=false and core_charge=0 — the core charge is dropped. Because a core that must be ORDERED and RECEIVED (special-order) is not seedable, the invoice-gate / receive-time core-resolution scenarios (Cores-pending flag, Resolve-at-Create-Invoice, receive-round-trip core resolution, PartRequest-only core, part-sale-vs-service auto-resolve, bulk-receive Ok/Not-OK once received, review-flow core resolution) cannot be driven. NOTE: the INVENTORY-core resolution path (line-level Ok/Not-OK, live +$ to invoice, no distinct Resolve-Cores wizard step) IS verified — see SF-CORE-01/02/10. Needs a hand-seeded special-order/vendor core part (dev/data).",29321,https://shopview.testrail.io/index.php?/cases/view/29321
SF-CORE-10,Core parts — Resolve step UI,Resolve Cores handoff (live +$ total),Verify the core '+$ to invoice' amount is shown at the line level as a core is marked Not-OK (no Resolve-Cores wizard total),Low,Functional,Work Order edit access.,"1. Signed in as Admin.
2. You are in the Resolve Cores step with multiple cores.","1. On the line's Parts view, mark a Core sub-line Not-OK (keep + charge).
2. Observe the $ amount on that Core sub-line.
3. Mark the core Ok and observe the $ amount again.","1. The Core sub-line shows a $ amount on the line's Parts view ($0 until it is marked Not-OK).
2. Marking the core Not-OK sets the +$ to invoice on that line.
3. There is no distinct Resolve Cores wizard step with a running total; the core $ is a line-level control.",Resolve Cores Flow.html; Resolve Cores Flow - Handoff.md,VIU-Verified,Wording+VIU 2026-07-13: the Core sub-line shows a '+$ to invoice' amount at the line level ($0 until Not-OK); no Resolve Cores wizard total - verified prior (CORE screenshots); line-level control confirmed.,29322,https://shopview.testrail.io/index.php?/cases/view/29322
SF-CORE-11,Core parts — Pre-Resolve (Story 18),S18 C-R1,"Verify the Resolve cores screen lists every un-received vendor core with part info, core charge and OK / Not OK, plus an invoice-accuracy message",High,Functional,Work Order edit access (WO Lines: Create & Edit resolves cores per SV-8183).,"1. Signed in as Admin.
2. Require Vendor Invoice Number is OFF (Optional).
3. A work order has two special-order (vendor) cored parts that have not been received yet.","1. Click Complete Work Order.
2. Observe the screen shown right before the Receive parts / Complete without receiving choice.
3. Read the message on the screen.","1. A separate, consolidated Resolve cores screen appears, listing EVERY un-received vendor core (both parts).
2. Each core shows its part info, its core charge and an OK / Not OK choice.
3. A message explains that resolving now is for invoice accuracy.",Resolve Cores Flow.html + Handoff; requirements-v4 S18 C-R1,VIU-Pending,"NEW 2026-07-17 per spec `_4` (V2.6) Δ8 — Story 18 Core Parts (SV-8353), pre-resolve-before-receive model. Not yet observed — expected Blocked-Env at re-VIU until (a) a special-order vendor-sourced core is seedable (P550848 is_core=0; a vendor-sourced part request drops the core attribute — needs a dev-seeded core) and (b) the SV-8353 pre-resolve build is deployed on sv7301 (probe the completion wizard for the resolve step + the pre-resolve endpoint first). Screen labels from the Resolve Cores Flow design (wizard step 'Resolve cores'; Inventory / Special order groups; OK / Not OK) are design-sourced pending live confirm; the C-R9 state texts are spec-quoted — confirm exact on-screen wording live, never invent.",29892,https://shopview.testrail.io/index.php?/cases/view/29892
SF-CORE-12,Core parts — Pre-Resolve (Story 18),S18 C-R3,"Verify marking a core Not OK immediately adds the core charge to the work order total and customer invoice, while OK adds no charge",High,Functional,Work Order edit access + Finance access.,"1. Signed in as Admin.
2. A work order has two un-received vendor cores shown on the Resolve cores screen.","1. Mark one core Not OK and note the work order total.
2. Mark the other core OK and note the total again.
3. Create the customer invoice and check its amounts.","1. Not OK: the core charge is priced into the work order total right away and flows to the customer invoice.
2. OK: no charge is added (the vendor core return is created automatically later, at receive).
3. The invoice matches the decisions even though no core part has been received.",requirements-v4 S18 C-R3,VIU-Pending,"NEW 2026-07-17 per spec `_4` (V2.6) Δ8 — Story 18 Core Parts (SV-8353), pre-resolve-before-receive model. Not yet observed — expected Blocked-Env at re-VIU until (a) a special-order vendor-sourced core is seedable (P550848 is_core=0; a vendor-sourced part request drops the core attribute — needs a dev-seeded core) and (b) the SV-8353 pre-resolve build is deployed on sv7301 (probe the completion wizard for the resolve step + the pre-resolve endpoint first).",29893,https://shopview.testrail.io/index.php?/cases/view/29893
SF-CORE-13,Core parts — Pre-Resolve (Story 18),S18 C-R4,Verify completion and invoice creation are blocked only while a core is undecided — a decided core does not block,High,Functional,Work Order edit access + Finance access.,"1. Signed in as Admin.
2. A work order has two un-received vendor cores.","1. Decide one core (OK or Not OK), leave the other undecided; try to complete the work order and to create the invoice.
2. Decide the remaining core and try again.","1. With any core still undecided, completing and invoice creation are blocked and a cores-pending indication shows.
2. Once every core is decided, completion and invoice creation proceed — no receive is required first.",requirements-v4 S18 C-R4,VIU-Pending,"NEW 2026-07-17 per spec `_4` (V2.6) Δ8 — Story 18 Core Parts (SV-8353), pre-resolve-before-receive model. Not yet observed — expected Blocked-Env at re-VIU until (a) a special-order vendor-sourced core is seedable (P550848 is_core=0; a vendor-sourced part request drops the core attribute — needs a dev-seeded core) and (b) the SV-8353 pre-resolve build is deployed on sv7301 (probe the completion wizard for the resolve step + the pre-resolve endpoint first).",29894,https://shopview.testrail.io/index.php?/cases/view/29894
SF-CORE-14,Core parts — Pre-Resolve (Story 18),S18 C-R5,"Verify receiving a pre-resolved core auto-applies the saved decision: OK creates exactly one vendor return, Not OK creates none, the invoice never changes, retries create no duplicates",High,Functional,Work Order edit access + receive access.,"1. Signed in as Admin.
2. A work order has one core pre-resolved OK and another pre-resolved Not OK, both not yet received; the customer invoice is created.","1. Receive the OK core; check vendor returns and the customer invoice.
2. Receive the Not OK core; check again.
3. Retry / re-submit the receive and re-check for duplicates.","1. The OK core is received already resolved, with exactly ONE vendor core return created automatically.
2. The Not OK core is received already resolved, with NO return created.
3. The user is never asked OK / Not OK again, the customer invoice does not change at receive, and retries create no duplicate cores or returns.",requirements-v4 S18 C-R5 + AC (idempotency),VIU-Pending,"NEW 2026-07-17 per spec `_4` (V2.6) Δ8 — Story 18 Core Parts (SV-8353), pre-resolve-before-receive model. Not yet observed — expected Blocked-Env at re-VIU until (a) a special-order vendor-sourced core is seedable (P550848 is_core=0; a vendor-sourced part request drops the core attribute — needs a dev-seeded core) and (b) the SV-8353 pre-resolve build is deployed on sv7301 (probe the completion wizard for the resolve step + the pre-resolve endpoint first).",29895,https://shopview.testrail.io/index.php?/cases/view/29895
SF-CORE-15,Core parts — Pre-Resolve (Story 18),S18 C-R8,"Verify the receive dialog locks quantity to the full remaining amount once the work order is invoiced/paid, with the core auto-selected and an explanatory tooltip",Medium,Functional,receive access.,"1. Signed in as Admin.
2. An invoiced/paid work order has an un-received cored part; another (not yet invoiced) work order also has one.","1. Open the receive dialog for the invoiced/paid work order's part, try to change the quantity, and hover the field.
2. Open the receive dialog for the not-yet-invoiced work order's part and change the quantity.","1. On the invoiced/paid work order the quantity is locked to the full remaining amount, the core is auto-selected, and the tooltip reads 'This part is on a customer invoice and should be received in full'.
2. Before invoicing, the quantity stays editable (partial receive allowed).
3. The lock is on the screen only — the customer invoice itself never changes at receive.",requirements-v4 S18 C-R8 (FE-only lock),VIU-Pending,"NEW 2026-07-17 per spec `_4` (V2.6) Δ8 — Story 18 Core Parts (SV-8353), pre-resolve-before-receive model. Not yet observed — expected Blocked-Env at re-VIU until (a) a special-order vendor-sourced core is seedable (P550848 is_core=0; a vendor-sourced part request drops the core attribute — needs a dev-seeded core) and (b) the SV-8353 pre-resolve build is deployed on sv7301 (probe the completion wizard for the resolve step + the pre-resolve endpoint first). Tooltip text is spec-quoted (C-R8) — confirm exact on-screen wording live.",29896,https://shopview.testrail.io/index.php?/cases/view/29896
SF-CORE-16,Core parts — Pre-Resolve (Story 18),S18 C-R9,"Verify the Lines tab shows the core decision state before and after receive: 'Core decision pending', 'Core OK — return to vendor, no charge', 'Core Not OK — customer charged'",Medium,Functional,Work Order view access.,"1. Signed in as Admin.
2. A work order has three vendor cores: one undecided, one decided OK, one decided Not OK.","1. Open the work order's Lines tab before receiving and read each core's state.
2. Receive the two decided cores and re-check the Lines tab.","1. Before receive: the undecided core shows 'Core decision pending'; the OK core shows 'Core OK — return to vendor, no charge'; the Not OK core shows 'Core Not OK — customer charged'.
2. After receive, a pre-resolved core shows its resolved state with NO OK / Not OK buttons.
3. No duplicate core prompts appear anywhere.",requirements-v4 S18 C-R9,VIU-Pending,"NEW 2026-07-17 per spec `_4` (V2.6) Δ8 — Story 18 Core Parts (SV-8353), pre-resolve-before-receive model. Not yet observed — expected Blocked-Env at re-VIU until (a) a special-order vendor-sourced core is seedable (P550848 is_core=0; a vendor-sourced part request drops the core attribute — needs a dev-seeded core) and (b) the SV-8353 pre-resolve build is deployed on sv7301 (probe the completion wizard for the resolve step + the pre-resolve endpoint first). The three state texts are spec-quoted (C-R9) — confirm exact on-screen wording live.",29897,https://shopview.testrail.io/index.php?/cases/view/29897
SF-CORE-17,Core parts — Pre-Resolve (Story 18),S18 AC (resolution immutable with an active invoice),Verify a core decision cannot be changed once the work order has an active invoice,Medium,Negative,Work Order edit access + Finance access.,"1. Signed in as Admin.
2. A work order has a decided core and an active customer invoice.",1. Try to change the core's OK / Not OK decision (on the resolve screen or the Lines tab).,1. The decision cannot be changed while the work order has an active invoice.,requirements-v4 S18 AC,VIU-Pending,"NEW 2026-07-17 per spec `_4` (V2.6) Δ8 — Story 18 Core Parts (SV-8353), pre-resolve-before-receive model. Not yet observed — expected Blocked-Env at re-VIU until (a) a special-order vendor-sourced core is seedable (P550848 is_core=0; a vendor-sourced part request drops the core attribute — needs a dev-seeded core) and (b) the SV-8353 pre-resolve build is deployed on sv7301 (probe the completion wizard for the resolve step + the pre-resolve endpoint first).",29898,https://shopview.testrail.io/index.php?/cases/view/29898
SF-CORE-18,Core Pre-Resolve (Story 18),S18 C-R2 / technical plan,API: Verify POST /api/work-orders/{id}/pre-resolve-cores persists the core decision on the part request with no side-effect records,High,Functional,Valid Admin API session (WO Lines: Create & Edit).,"1. A valid Admin session (API).
2. A work order with an un-received special-order cored part request exists.","1. POST /api/work-orders/{id}/pre-resolve-cores with the core decision (ok / not_ok).
2. Re-read the work order's lines / receive-view read models.
3. Inspect for side-effect records (work-order part, statement item, vendor return).","1. The request succeeds (2xx) and core_resolution is persisted on the core work_order_part_request (ok | not_ok; NULL = undecided).
2. NO WorkOrderPart, statement item, or vendor return is created at this point.
3. cores_pending reflects only undecided (NULL) cores after the call.",requirements-v4 S18 C-R2 + technical plan (mirrors handle-cores),VIU-Pending,"NEW 2026-07-17 per spec `_4` (V2.6) Δ8 — Story 18 Core Parts (SV-8353), pre-resolve-before-receive model. Not yet observed — expected Blocked-Env at re-VIU until (a) a special-order vendor-sourced core is seedable (P550848 is_core=0; a vendor-sourced part request drops the core attribute — needs a dev-seeded core) and (b) the SV-8353 pre-resolve build is deployed on sv7301 (probe the completion wizard for the resolve step + the pre-resolve endpoint first). Endpoint from the SV-8353 technical plan — existence on sv7301 unconfirmed; probe before re-VIU.",29899,https://shopview.testrail.io/index.php?/cases/view/29899
SF-CORE-19,Core Pre-Resolve (Story 18),S18 C-R10,API: Verify resolving a received core via the existing handle-core endpoints also writes the decision back to the linked core part request,Medium,Functional,Valid Admin API session (WO Lines: Create & Edit).,"1. A valid Admin session (API).
2. A received cored part exists that can be resolved via the existing handle-core(s) endpoints.","1. Resolve the received core Ok / Not OK via the existing handle-core(s) endpoint.
2. Read the linked core part request and its core_resolution value.","1. The call succeeds and the decision is ALSO written to the linked core PartRequest (core_resolution matches the handle-core decision), keeping core_resolution the single source of history.",requirements-v4 S18 C-R10 (sync-back),VIU-Pending,"NEW 2026-07-17 per spec `_4` (V2.6) Δ8 — Story 18 Core Parts (SV-8353), pre-resolve-before-receive model. Not yet observed — expected Blocked-Env at re-VIU until (a) a special-order vendor-sourced core is seedable (P550848 is_core=0; a vendor-sourced part request drops the core attribute — needs a dev-seeded core) and (b) the SV-8353 pre-resolve build is deployed on sv7301 (probe the completion wizard for the resolve step + the pre-resolve endpoint first).",29900,https://shopview.testrail.io/index.php?/cases/view/29900
SF-TECH-01,Tech Story Flow (Story 17),TS-R1,Verify each work order line shows a Story sub-row with an 'Add tech story for this line' link when empty,High,Functional,Work Order edit access.,"1. Signed in as Admin.
2. Require Tech Story is ON.
3. A work order has a line with no tech story yet.","1. Open the work order Lines tab.
2. Look under the line for a Story sub-row.","1. The line has a Story sub-row.
2. When empty, it shows an 'Add tech story for this line' link.",WO Review Flow.html (tech-story modal),VIU-Verified,Wording+VIU 2026-07-13: tech-story inline sub-row 'Story' + 'Add tech story for this line' confirmed live on WO lines this run; the empty line shows the 'Add tech story for this line' link.,29323,https://shopview.testrail.io/index.php?/cases/view/29323
SF-TECH-02,Tech Story Flow (Story 17),TS-R2,Verify with Require tech story ON every line needs a story before the work order can complete,High,Functional,Work Order edit access.,"1. Signed in as Admin.
2. Require Tech Story is ON.
3. A work order has at least one line missing a story.","1. Click Complete Work Order.
2. Observe whether completion proceeds without stories.","1. Completion cannot proceed while any line is missing a tech story.
2. The user is routed to enter the missing stories first.",WO Review Flow.html,VIU-Verified,"Run-325 re-verify 2026-07-14 (Ayesha's Fail RESOLVED = FALSE/STALE failure): with Require Tech Stories ON, a story-less line blocks completion both server-side and in the UI. API: POST /api/work-orders/{id}/simple-complete -> 400 'Line can not be completed without a tech story. id: <lineId>'. UI: clicking 'Complete Work Order' routes to a 'Tech story' modal ('Line 1 of 1', a 'Tech Story' field, 'Continue') forcing the missing story before completion can proceed. Matches expected; VIU-Verified reaffirmed. Ayesha's fail most likely reflects Require Tech Story OFF on the shared env at her run. Evidence: screenshots/run325-reverify-2026-07-13/TECH02-01-storygate.png. Prior: Wording+VIU 2026-07-13: tech-story inline sub-row 'Story' + 'Add tech story for this line' confirmed live on WO lines this run; with Require Tech Story ON, completion is blocked until every line has a story (Require Tech Story gate; toggle confirmed SF-SET-15).",29324,https://shopview.testrail.io/index.php?/cases/view/29324
SF-TECH-03,Tech Story Flow (Story 17),TS-R3,Verify Complete opens the tech-story modal first and then chains into completion (order: tech story → parts → complete),Critical,Functional,Work Order edit access.,"1. Signed in as Admin.
2. Require Tech Story is ON.
3. A work order has a line missing a story.","1. Click Complete Work Order.
2. Observe the first modal that appears.
3. Enter a story and click Continue.
4. Observe the next step.","1. The tech-story modal opens FIRST (before the completion wizard).
2. After Continue, the flow chains into the completion wizard (parts/pick → complete).
3. Gate order is tech story → parts → complete/send-to-review.",WO Review Flow.html,VIU-Verified,"Wording+VIU 2026-07-13: tech-story inline sub-row 'Story' + 'Add tech story for this line' confirmed live on WO lines this run; Complete opens the tech-story modal first, then chains into completion (tech story -> parts -> complete) - verified prior VIU.",29325,https://shopview.testrail.io/index.php?/cases/view/29325
SF-TECH-04,Tech Story Flow (Story 17),TS-R4,"Verify the tech-story modal structure (header, per-line card, Line X of N, required textarea, disabled Next)",High,Functional,Work Order edit access.,"1. Signed in as Admin.
2. The tech-story modal is open during completion.","1. Read the modal header.
2. Read the per-line card (line #, name, technician).
3. Read the 'Line X of N' indicator.
4. Leave the textarea empty and check the Next/Continue button.","1. The header reads 'Tech story' with 'WO# · Customer'.
2. A per-line card shows the line number, name and technician; a 'Line X of N' indicator is shown.
3. The Next/Continue button is disabled until the textarea is non-empty.",WO Review Flow.html,VIU-Verified,"Wording+VIU 2026-07-13: tech-story inline sub-row 'Story' + 'Add tech story for this line' confirmed live on WO lines this run; tech-story modal header 'Tech story' with 'WO# · Customer', per-line card + 'Line X of N', Next disabled until textarea non-empty - verified prior VIU.",29326,https://shopview.testrail.io/index.php?/cases/view/29326
SF-TECH-05,Tech Story Flow (Story 17),TS-R4 (multi-line navigation),"Verify multi-line tech-story navigation (Back after line 1, Continue/Save on the last line)",Medium,Functional,Work Order edit access.,"1. Signed in as Admin.
2. A work order has two or more lines all missing stories, and Require Tech Story is ON.","1. Start completion so the tech-story modal opens on Line 1 of N.
2. Enter a story and click Next.
3. On line 2, check for a Back button.
4. On the last line, check the final button.","1. On line 1 there is no Back button; after line 1, a Back button appears.
2. Each line requires a non-empty story to advance.
3. The last line shows Continue (chained into completion) or Save.",WO Review Flow.html,VIU-Verified,Wording+VIU 2026-07-13: tech-story inline sub-row 'Story' + 'Add tech story for this line' confirmed live on WO lines this run; multi-line navigation (no Back on line 1; Back after; Continue/Save on last) - verified prior VIU.,29327,https://shopview.testrail.io/index.php?/cases/view/29327
