Test ID,Title,Feature/Area,Priority,Preconditions,Steps to Reproduce (Manual),Expected Result,Actual Result (Observed),Reason / Root Cause,Severity/Status,References (Jira),Spec / Requirement Reference
SP-INV-008,Cross-dep: reversing an invoice needs WO Delete even with Invoicing Edit,Single Permission > Invoicing & Payments,High,Admin account with access to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) and Administration > Staff. A test staff user exists to receive the custom role. Sample records exist in the environment as described in test_data.,"1. As admin, follow the admin flow to create the custom role. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Enable See Financial Data, Work Orders View (Delete OFF), Invoicing Edit.
3. Set the toggles exactly as specified in role_setup, then Create.
4. Administration > Staff: assign the new role to the test user and confirm the forced-logout notice.
5. Log in as the test user in a separate browser/incognito window.
6. Open WO #WO-2002 and attempt to reverse the invoice.",Invoice reversal requires WO Delete; Invoicing Edit alone is insufficient.,"Cross-dependency (invoice reversal needs WO Delete) requires a throwaway invoiced WO. Could not provision the WO invoice flow via API this run (throwaway WO created, but line creation and invoicing need the full UI payload). Per safety, no pre-existing invoice was touched.",could not provision a throwaway invoiced WO via API; pre-existing invoices not touched,High · BLOCKED,SV-7388,"SV-7388 · Invoicing & Payments → Edit (invoicingPayments) vs Work Orders Delete · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-PDEPT-004,Parts Department PRESERVES child settings — OFF then back ON restores prior CRUD,Single Permission > Parts Department,High,A role with Parts Department ON and specific child CRUD configured exists.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. Configure Parts Department ON with Part Sales View+Edit, Catalog & Inventory View, Vendor & Order Management View. Save. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Edit the role, turn Parts Department OFF, and Save.
3. Edit the role again and turn Parts Department back ON.","Turning Parts Department OFF preserves child settings, which are restored intact when it is turned back ON.","Parts-Department parent/child preservation is a role-EDITOR virtualized-grid behavior. Via API the child perms (settingsParts + Catalog/Vendor/PartSales CRUD) store and hydrate independently, but the parent-toggle-preserves-children behavior lives in the editor UI grid, which is not automatable here.",role-editor virtualized-grid behavior; not observable via API,High · BLOCKED,SV-7388,"SV-7388 · Parts Department (partsDepartment) · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-PS-005,Part Sales Delete grants delete sales and reverse part-sale invoices,Single Permission > Part Sales,Medium,Admin account with access to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) and Administration > Staff. A test staff user exists to receive the custom role. Sample records exist in the environment as described in test_data.,"1. As admin, follow the admin flow to create the custom role. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Enable Parts Department, See Financial Data, then Part Sales Delete.
3. Set the toggles exactly as specified in role_setup, then Create.
4. Administration > Staff: assign the new role to the test user and confirm the forced-logout notice.
5. Log in as the test user in a separate browser/incognito window.
6. Delete a part sale and reverse a part-sale invoice.",User can delete part sales and reverse part-sale invoices.,"Deleting a part sale / reversing a part-sale invoice requires a throwaway INVOICED part-sale, which could not be provisioned via API this run (the WO->line->invoice->part-sale flow needs the full UI-constructed payloads; work-orders/lines/create and customer-payment create returned 400/500 without them). Per safety, no pre-existing part sale was touched. Architecturally partSalesDelete is a front-end-only gate (backend authorizes at the partSales resource level, consistent with CUST/CAT/VEND deletes verified PASS this run).",could not provision a throwaway invoiced part-sale via API; pre-existing data not touched,Medium · BLOCKED,SV-7388,"SV-7388 · Part Sales → Delete (partSales) · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-SET-003,Settings parent DEPENDENCY — subs hidden via slide in editor when parent OFF,Single Permission > Settings,High,Admin can access the Create Custom Role editor.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. With Settings parent OFF, look for the sub-setting rows (App Settings, Service, Parts, Integrations, Finance, Data Import, View/Manage Wages).
3. Turn Settings parent ON.",Sub-settings are slide-hidden in the editor when the Settings parent is OFF and revealed when it is ON.,"Settings parent/child slide-panel dependency is a role-EDITOR UI behavior. Settings subs (settingsApp/Finance/Parts/Service/DataImport/Wages) store and hydrate independently via API, but the slide-panel hide/show is rendered-DOM only.",role-editor slide-panel behavior; not observable via API,High · BLOCKED,SV-7388,"SV-7388 · Settings (settings) [parent] · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-VM-003,Tech View restriction — No tech time field is shown,Single Permission > View Mode,Medium,A WO with lines exists (some approved where relevant).,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: View Mode = tech; WO View+Edit ON. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Inspect the WO line for a tech time input field.",Tech View enforces the restriction: no tech time field is shown.,"view_mode is a front-end-only display gate: the work-orders/view API returned IDENTICAL fields and values (labour costs, totals, balance) under view_mode=tech vs view_mode=full for Tech. Tech-view restrictions (labor rates, Send-to-Portal, tech-time field, line read-only/edit) are rendered-DOM concerns not observable via API. KEY FINDING this run: in this build the backend enforces only resource-level View/Edit permissions; granular sub-permissions and cross-toggles are FRONT-END-only display gates.",front-end-only display gate; tech-view restrictions not observable via API (need rendered WO DOM),Medium · BLOCKED,SV-7388,"SV-7388 · View Mode (viewMode) = tech · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-VM-005,Tech View restriction — Cannot Send to Portal,Single Permission > View Mode,High,A WO with lines exists (some approved where relevant).,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: View Mode = tech; WO View+Edit ON. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Look for the Send to Portal button on the WO.",Tech View enforces the restriction: cannot send to portal.,"view_mode is a front-end-only display gate: the work-orders/view API returned IDENTICAL fields and values (labour costs, totals, balance) under view_mode=tech vs view_mode=full for Tech. Tech-view restrictions (labor rates, Send-to-Portal, tech-time field, line read-only/edit) are rendered-DOM concerns not observable via API. KEY FINDING this run: in this build the backend enforces only resource-level View/Edit permissions; granular sub-permissions and cross-toggles are FRONT-END-only display gates.",front-end-only display gate; tech-view restrictions not observable via API (need rendered WO DOM),High · BLOCKED,SV-7388,"SV-7388 · View Mode (viewMode) = tech · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-VM-006,Tech View restriction — Cannot view labor rates,Single Permission > View Mode,High,A WO with lines exists (some approved where relevant).,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: View Mode = tech; WO View+Edit ON. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Look for labor rate values on the WO.",Tech View enforces the restriction: cannot view labor rates.,"view_mode is a front-end-only display gate: the work-orders/view API returned IDENTICAL fields and values (labour costs, totals, balance) under view_mode=tech vs view_mode=full for Tech. Tech-view restrictions (labor rates, Send-to-Portal, tech-time field, line read-only/edit) are rendered-DOM concerns not observable via API. KEY FINDING this run: in this build the backend enforces only resource-level View/Edit permissions; granular sub-permissions and cross-toggles are FRONT-END-only display gates.",front-end-only display gate; tech-view restrictions not observable via API (need rendered WO DOM),High · BLOCKED,SV-7388,"SV-7388 · View Mode (viewMode) = tech · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-VM-007,Tech View restriction — Limited parts request form,Single Permission > View Mode,Medium,A WO with lines exists (some approved where relevant).,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: View Mode = tech; WO View+Edit ON. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Open the parts request form from the WO.",Tech View enforces the restriction: limited parts request form.,"view_mode is a front-end-only display gate: the work-orders/view API returned IDENTICAL fields and values (labour costs, totals, balance) under view_mode=tech vs view_mode=full for Tech. Tech-view restrictions (labor rates, Send-to-Portal, tech-time field, line read-only/edit) are rendered-DOM concerns not observable via API. KEY FINDING this run: in this build the backend enforces only resource-level View/Edit permissions; granular sub-permissions and cross-toggles are FRONT-END-only display gates.",front-end-only display gate; tech-view restrictions not observable via API (need rendered WO DOM),Medium · BLOCKED,SV-7388,"SV-7388 · View Mode (viewMode) = tech · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-VM-008,Tech View restriction — Cannot edit existing WO lines (create-only),Single Permission > View Mode,Medium,A WO with lines exists (some approved where relevant).,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: View Mode = tech; WO View+Edit ON. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Attempt to edit an existing WO line, then attempt to create a new line.",Tech View enforces the restriction: cannot edit existing wo lines (create-only).,"view_mode is a front-end-only display gate: the work-orders/view API returned IDENTICAL fields and values (labour costs, totals, balance) under view_mode=tech vs view_mode=full for Tech. Tech-view restrictions (labor rates, Send-to-Portal, tech-time field, line read-only/edit) are rendered-DOM concerns not observable via API. KEY FINDING this run: in this build the backend enforces only resource-level View/Edit permissions; granular sub-permissions and cross-toggles are FRONT-END-only display gates.",front-end-only display gate; tech-view restrictions not observable via API (need rendered WO DOM),Medium · BLOCKED,SV-7388,"SV-7388 · View Mode (viewMode) = tech · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-VM-009,Tech View restriction — WO lines read-only after approval,Single Permission > View Mode,Medium,A WO with lines exists (some approved where relevant).,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: View Mode = tech; WO View+Edit ON. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Open a WO whose lines have been approved and attempt to modify an approved line.",Tech View enforces the restriction: wo lines read-only after approval.,"view_mode is a front-end-only display gate: the work-orders/view API returned IDENTICAL fields and values (labour costs, totals, balance) under view_mode=tech vs view_mode=full for Tech. Tech-view restrictions (labor rates, Send-to-Portal, tech-time field, line read-only/edit) are rendered-DOM concerns not observable via API. KEY FINDING this run: in this build the backend enforces only resource-level View/Edit permissions; granular sub-permissions and cross-toggles are FRONT-END-only display gates.",front-end-only display gate; tech-view restrictions not observable via API (need rendered WO DOM),Medium · BLOCKED,SV-7388,"SV-7388 · View Mode (viewMode) = tech · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-VM-010,Send to Portal appears only in Full View (not Tech) — comparison,Single Permission > View Mode,High,A WO exists that can be sent to the portal.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. Create role A: View Mode = full, WO View+Edit ON. Save. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Create role B: View Mode = tech, WO View+Edit ON. Save.
3. Assign role A to user A and role B to user B via Administration > Staff.
4. Log in as user A (Full) and open WO-VM-CMP-001; check for Send to Portal.
5. Log in as user B (Tech) and open WO-VM-CMP-001; check for Send to Portal.",Send to Portal is available only in Full View; it is not shown in Tech View.,"view_mode is a front-end-only display gate: the work-orders/view API returned IDENTICAL fields and values (labour costs, totals, balance) under view_mode=tech vs view_mode=full for Tech. Tech-view restrictions (labor rates, Send-to-Portal, tech-time field, line read-only/edit) are rendered-DOM concerns not observable via API. KEY FINDING this run: in this build the backend enforces only resource-level View/Edit permissions; granular sub-permissions and cross-toggles are FRONT-END-only display gates.",front-end-only display gate; tech-view restrictions not observable via API (need rendered WO DOM),High · BLOCKED,SV-7388,"SV-7388 · View Mode (viewMode) · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-WOSUB-001,Review Work Orders GRANT — Review option available with WO View + Review,Single Permission > WO Sub-Settings,High,A work order exists that is in a reviewable state.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: Work Orders View ON, Review Work Orders ON, WO Edit OFF. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Open Work Order WO-REV-001 and locate the Review action.
6. Use the Review option per spec workflow.","With WO View + Review Work Orders ON (Edit OFF), the user can see and use the Review option on work orders.","woReviewWorkOrders hydrates correctly for Tech. Verified the backend does NOT enforce it: relevant WO endpoints process with only workOrdersView (validation 400/UUID errors, never 403 on the sub-permission). The ""Review"" affordance is a front-end-only control; confirming its presence/absence needs rendered-DOM on a WO. KEY FINDING this run: in this build the backend enforces only resource-level View/Edit permissions; granular sub-permissions and cross-toggles are FRONT-END-only display gates.",front-end-only display gate; Review control presence needs rendered WO DOM,High · BLOCKED,SV-7388,"SV-7388 · Review Work Orders (woReviewWorkOrders) · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-WOSUB-002,Review Work Orders WITHHOLD — Review option absent when toggle OFF,Single Permission > WO Sub-Settings,High,A work order exists in a reviewable state.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: Work Orders View ON, Review Work Orders OFF. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Open Work Order WO-REV-002 and look for the Review action.","With Review Work Orders OFF, the Review option is not available even though WO View is ON.","woReviewWorkOrders hydrates correctly for Tech. Verified the backend does NOT enforce it: relevant WO endpoints process with only workOrdersView (validation 400/UUID errors, never 403 on the sub-permission). The ""Review"" affordance is a front-end-only control; confirming its presence/absence needs rendered-DOM on a WO. KEY FINDING this run: in this build the backend enforces only resource-level View/Edit permissions; granular sub-permissions and cross-toggles are FRONT-END-only display gates.",front-end-only display gate; Review control presence needs rendered WO DOM,High · BLOCKED,SV-7388,"SV-7388 · Review Work Orders (woReviewWorkOrders) · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-WOSUB-004,Pick Parts GRANT — can pick parts from inventory onto WO line,Single Permission > WO Sub-Settings,High,A WO with a parts line exists; matching inventory is on hand.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: Work Orders View ON, Pick Parts ON, WO Edit OFF. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Open Work Order WO-PICK-001 and use the pick-parts action to pick the part from inventory onto the WO line.","With WO View + Pick Parts ON (Edit OFF), the user can pick parts from inventory onto a WO line.","woPickParts hydrates for Tech. Backend does NOT enforce it: work-orders/part/perform-request-status-action (action=pick) returns 400 validation (not 403) with only workOrdersView, i.e. the pick gate is front-end only. Confirming the Pick control needs rendered-DOM on a WO with part requests. KEY FINDING this run: in this build the backend enforces only resource-level View/Edit permissions; granular sub-permissions and cross-toggles are FRONT-END-only display gates.",front-end-only display gate; Pick control presence needs rendered WO DOM,High · BLOCKED,SV-7388,"SV-7388 · Pick Parts (woPickParts) · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-WOSUB-005,Pick Parts WITHHOLD — pick action blocked/absent when toggle OFF,Single Permission > WO Sub-Settings,High,A WO with a parts line exists; inventory on hand.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: Work Orders View ON, Pick Parts OFF. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Open Work Order WO-PICK-002 and attempt to pick parts from inventory onto the WO line.","With Pick Parts OFF, the user cannot pick parts from inventory onto a WO line.","woPickParts hydrates for Tech. Backend does NOT enforce it: work-orders/part/perform-request-status-action (action=pick) returns 400 validation (not 403) with only workOrdersView, i.e. the pick gate is front-end only. Confirming the Pick control needs rendered-DOM on a WO with part requests. KEY FINDING this run: in this build the backend enforces only resource-level View/Edit permissions; granular sub-permissions and cross-toggles are FRONT-END-only display gates.",front-end-only display gate; Pick control presence needs rendered WO DOM,High · BLOCKED,SV-7388,"SV-7388 · Pick Parts (woPickParts) · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-WOSUB-007,Order Parts GRANT — place PO for parts on WO and receive deliveries,Single Permission > WO Sub-Settings,High,A WO with a parts line exists; a vendor is available for ordering.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: Work Orders View ON, Order Parts ON, WO Edit OFF. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Open Work Order WO-ORD-001 and place a PO for the part on the WO line.
6. Receive the parts delivery onto the WO.","With WO View + Order Parts ON (Edit OFF), the user can place a PO linked to the WO and receive parts deliveries onto the WO.","woOrderParts hydrates for Tech. Backend does NOT enforce it: the part status-action (action=order) endpoint returns 400 validation (not 403) with only workOrdersView, i.e. the order gate is front-end only. Confirming the Order/PO control needs rendered-DOM. KEY FINDING this run: in this build the backend enforces only resource-level View/Edit permissions; granular sub-permissions and cross-toggles are FRONT-END-only display gates.",front-end-only display gate; Order control presence needs rendered WO DOM,High · BLOCKED,SV-7388,"SV-7388 · Order Parts (woOrderParts) · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-WOSUB-008,Order Parts WITHHOLD — cannot place PO or receive parts when OFF,Single Permission > WO Sub-Settings,High,A WO with a parts line exists; vendor available.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: Work Orders View ON, Order Parts OFF. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Open Work Order WO-ORD-002 and attempt to place a PO for the part on the WO line.
6. Attempt to receive a parts delivery onto the WO.","With Order Parts OFF, the user cannot place a PO for parts on the WO nor receive parts deliveries onto the WO.","woOrderParts hydrates for Tech. Backend does NOT enforce it: the part status-action (action=order) endpoint returns 400 validation (not 403) with only workOrdersView, i.e. the order gate is front-end only. Confirming the Order/PO control needs rendered-DOM. KEY FINDING this run: in this build the backend enforces only resource-level View/Edit permissions; granular sub-permissions and cross-toggles are FRONT-END-only display gates.",front-end-only display gate; Order control presence needs rendered WO DOM,High · BLOCKED,SV-7388,"SV-7388 · Order Parts (woOrderParts) · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-WOSUB-010,WO sub-settings are INDEPENDENT — enabling one does not enable others,Single Permission > WO Sub-Settings,Medium,A WO exists with parts lines.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: Work Orders View ON, Pick Parts ON, Review OFF, Order Parts OFF. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Open WO-IND-001. Verify pick-parts is available.
6. Look for the Review option and the order-parts/create-PO action.","The three WO sub-settings are independent: enabling Pick Parts grants only pick-parts, not Review or Order Parts.","Independence of the WO sub-settings is only observable in the role editor UI. Via API each sub-permission (woPickParts/woOrderParts/woReviewWorkOrders) stores and hydrates independently, but the sub-settings are front-end-only display gates, so control-level independence needs rendered-DOM. KEY FINDING this run: in this build the backend enforces only resource-level View/Edit permissions; granular sub-permissions and cross-toggles are FRONT-END-only display gates.",front-end-only display gate; sub-setting independence needs rendered editor/WO DOM,Medium · BLOCKED,SV-7388,"SV-7388 · Review Work Orders / Pick Parts / Order Parts (woReviewWorkOrders, woPickParts, woOrderParts) · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-WOSUB-011,Return part from WO line requires NO permission (note case),Single Permission > WO Sub-Settings,Medium,A WO exists with a part that has been picked/added to a line and can be returned.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: Work Orders View ON, all WO sub-settings OFF. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Open WO-RET-001 and return the part from the WO line.",Returning a part from a WO line requires no specific WO sub-setting permission; it works with only WO View.,Return-part-from-WO-line requiring no permission is a front-end control behavior; the part-return endpoints are not gated by a WO sub-permission (front-end-only). Confirming the return control is present for a no-sub-permission Tech needs rendered-DOM on a WO with a pickable part. KEY FINDING this run: in this build the backend enforces only resource-level View/Edit permissions; granular sub-permissions and cross-toggles are FRONT-END-only display gates.,front-end-only display gate; return-part control needs rendered WO DOM,Medium · BLOCKED,SV-7388,"SV-7388 · (none) — returning a part from a WO line is not permission-gated · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
