report,spec_prefix,story,story_title,requirement_id,kind,assertion_index,assertion_count,requirement_text_verbatim,assertion_text_verbatim,surfaces,verdict,verdict_reason,evidence_basis,covering_internal_ids,covering_c_ids,covering_links,quote_from_c_id,quote_from_internal_id,covering_expected_quote_verbatim,overlap_score,anchor_mapping
Sales By Customer,SBC,17,Empty state,S17-R2,requirement,1,1,"S17-R2: The toolbar stays visible and interactive in the empty state (its filters — including the Customer filter — and the action controls), so the user can adjust filters without leaving the page.","The toolbar stays visible and interactive in the empty state (its filters — including the Customer filter — and the action controls), so the user can adjust filters without leaving the page.",Empty / zero state,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.875; not individually read,machine-substantiated,SBC-EMPTY-01,C30181,https://shopview.testrail.io/index.php?/cases/view/30181,C30181,SBC-EMPTY-01,"The toolbar stays visible and interactive (all filters including the Customer filter, and the action controls), so you can adjust filters without leaving the page.",0.875,DIRECT
Sales By Customer,SBC,17,Empty state,S17-R3,requirement,1,1,"S17-R3: The empty-state message appears in the table body where customer rows would appear — not in the toolbar, the totals row, or a modal.","The empty-state message appears in the table body where customer rows would appear — not in the toolbar, the totals row, or a modal.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.8; not individually read,machine-substantiated,SBC-EMPTY-01,C30181,https://shopview.testrail.io/index.php?/cases/view/30181,C30181,SBC-EMPTY-01,"The table body shows the message ""No sales data found for the selected filters."" where customer rows would appear — not in the toolbar, the totals row, or a modal.",0.8,DIRECT
Sales By Customer,SBC,17,Empty state,S17-N1,negative,1,1,S17-N1: The empty-state message does not appear while the table is loading — only after the table finishes its initial loading and shows zero customers.,The empty-state message does not appear while the table is loading — only after the table finishes its initial loading and shows zero customers.,,COVERED-HUMAN-READ,"flagged by the polarity sweep and read by hand; the covering case asserts the same thing, not its opposite",hand-read this run (polarity-flag set),SBC-EMPTY-02,C30182,https://shopview.testrail.io/index.php?/cases/view/30182,C30182,SBC-EMPTY-02,The message appears only after the table finishes its initial loading and shows zero customers.,0.8,DIRECT
Sales By Customer,SBC,17,Empty state,S17-E1,edge,1,3,"S17-E1: If the Customer filter is narrowed to specific customers and the date range, Product Type, or location is then changed so that none of the selected customers have data, the empty-state message is shown. The Customer filter selection is kept; those customers reappear when the filters change back to a range where they have data. Clearing the Customer filter to no customers (""Clear all,"" S18-R3) also produces the empty state (S18-N1).","If the Customer filter is narrowed to specific customers and the date range, Product Type, or location is then changed so that none of the selected customers have data, the empty-state message is shown.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.353; not individually read,machine-substantiated,SBC-CUST-03 SBC-EMPTY-01,C30114 C30181,https://shopview.testrail.io/index.php?/cases/view/30114 https://shopview.testrail.io/index.php?/cases/view/30181,C30181,SBC-EMPTY-01,"The same empty state appears whichever filter caused it (date range, Product Type, or location).",0.353,DIRECT
Sales By Customer,SBC,17,Empty state,S17-E1,edge,2,3,"S17-E1: If the Customer filter is narrowed to specific customers and the date range, Product Type, or location is then changed so that none of the selected customers have data, the empty-state message is shown. The Customer filter selection is kept; those customers reappear when the filters change back to a range where they have data. Clearing the Customer filter to no customers (""Clear all,"" S18-R3) also produces the empty state (S18-N1).",The Customer filter selection is kept; those customers reappear when the filters change back to a range where they have data.,,COVERED-HUMAN-READ,"flagged by the polarity sweep and read by hand; the covering case asserts the same thing, not its opposite",hand-read this run (polarity-flag set),SBC-CUST-03 SBC-EMPTY-01,C30114 C30181,https://shopview.testrail.io/index.php?/cases/view/30114 https://shopview.testrail.io/index.php?/cases/view/30181,C30181,SBC-EMPTY-01,"With a narrowed customer selection and no data, the empty state shows but the selection is KEPT (not cleared) — when the filters change back, the selected customers reappear.",0.583,DIRECT
Sales By Customer,SBC,17,Empty state,S17-E1,edge,3,3,"S17-E1: If the Customer filter is narrowed to specific customers and the date range, Product Type, or location is then changed so that none of the selected customers have data, the empty-state message is shown. The Customer filter selection is kept; those customers reappear when the filters change back to a range where they have data. Clearing the Customer filter to no customers (""Clear all,"" S18-R3) also produces the empty state (S18-N1).","Clearing the Customer filter to no customers (""Clear all,"" S18-R3) also produces the empty state (S18-N1).",Empty / zero state,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.444; not individually read,machine-substantiated,SBC-CUST-03 SBC-EMPTY-01,C30114 C30181,https://shopview.testrail.io/index.php?/cases/view/30114 https://shopview.testrail.io/index.php?/cases/view/30181,C30181,SBC-EMPTY-01,"With a narrowed customer selection and no data, the empty state shows but the selection is KEPT (not cleared) — when the filters change back, the selected customers reappear.",0.444,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R1,requirement,1,1,"S18-R1: The toolbar has a Customer filter, labeled ""Customer,"" positioned between the Product Type filter and the Location filter.","The toolbar has a Customer filter, labeled ""Customer,"" positioned between the Product Type filter and the Location filter.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.778; not individually read,machine-substantiated,SBC-CUST-01,C30112,https://shopview.testrail.io/index.php?/cases/view/30112,C30112,SBC-CUST-01,"A Customer filter labeled ""Customer"" sits between the Product Type filter and the Location filter.",0.778,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R2,requirement,1,5,"S18-R2: The filter is a multi-select with server-backed type-ahead. The control carries a search (magnifier) icon marking it as searchable. The dropdown does not load the full customer list into the browser; instead, as the user types, it fetches matching customers from the server — case-insensitive ""contains"" matching on the customer name, scoped to the active date range, Product Type, and location — and lists the returned customers, each shown with a checkmark when selected. A ""Search customers…"" hint is pinned to the top of the dropdown before any query is typed, and yields to the typed query while the user is searching. Before the user types, the dropdown shows the pinned all/clear control (S18-R3) and the hint; the user types to reveal individual customers to select or deselect.",The filter is a multi-select with server-backed type-ahead.,,COVERED-HUMAN-READ,read end to end this run against the current spec; the overlap score is low only because the assertion is short or cross-reference-heavy,hand-read this run (weak/unsubstantiated set),SBC-CUST-01 SBC-CUST-02 SBC-API-03,C30112 C30113 C30192,https://shopview.testrail.io/index.php?/cases/view/30112 https://shopview.testrail.io/index.php?/cases/view/30113 https://shopview.testrail.io/index.php?/cases/view/30192,C30112,SBC-CUST-01,"A Customer filter labeled ""Customer"" sits between the Product Type filter and the Location filter.",0.25,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R2,requirement,2,5,"S18-R2: The filter is a multi-select with server-backed type-ahead. The control carries a search (magnifier) icon marking it as searchable. The dropdown does not load the full customer list into the browser; instead, as the user types, it fetches matching customers from the server — case-insensitive ""contains"" matching on the customer name, scoped to the active date range, Product Type, and location — and lists the returned customers, each shown with a checkmark when selected. A ""Search customers…"" hint is pinned to the top of the dropdown before any query is typed, and yields to the typed query while the user is searching. Before the user types, the dropdown shows the pinned all/clear control (S18-R3) and the hint; the user types to reveal individual customers to select or deselect.",The control carries a search (magnifier) icon marking it as searchable.,,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 1.0; not individually read,machine-substantiated,SBC-CUST-01 SBC-CUST-02 SBC-API-03,C30112 C30113 C30192,https://shopview.testrail.io/index.php?/cases/view/30112 https://shopview.testrail.io/index.php?/cases/view/30113 https://shopview.testrail.io/index.php?/cases/view/30192,C30112,SBC-CUST-01,The control carries a search (magnifier) icon marking it as searchable.,1.0,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R2,requirement,3,5,"S18-R2: The filter is a multi-select with server-backed type-ahead. The control carries a search (magnifier) icon marking it as searchable. The dropdown does not load the full customer list into the browser; instead, as the user types, it fetches matching customers from the server — case-insensitive ""contains"" matching on the customer name, scoped to the active date range, Product Type, and location — and lists the returned customers, each shown with a checkmark when selected. A ""Search customers…"" hint is pinned to the top of the dropdown before any query is typed, and yields to the typed query while the user is searching. Before the user types, the dropdown shows the pinned all/clear control (S18-R3) and the hint; the user types to reveal individual customers to select or deselect.","The dropdown does not load the full customer list into the browser; instead, as the user types, it fetches matching customers from the server — case-insensitive ""contains"" matching on the customer name, scoped to the active date range, Product Type, and location — and lists the returned customers, each shown with a checkmark when selected.",,COVERED-HUMAN-READ,"flagged by the polarity sweep and read by hand; the covering case asserts the same thing, not its opposite",hand-read this run (polarity-flag set),SBC-CUST-01 SBC-CUST-02 SBC-API-03,C30112 C30113 C30192,https://shopview.testrail.io/index.php?/cases/view/30112 https://shopview.testrail.io/index.php?/cases/view/30113 https://shopview.testrail.io/index.php?/cases/view/30192,C30192,SBC-API-03,"As you type, the browser fetches matching customers from the server — case-insensitive ""contains"" matching on the name, scoped to the active date range, Product Type, and location — and lists the returned customers.",0.654,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R2,requirement,4,5,"S18-R2: The filter is a multi-select with server-backed type-ahead. The control carries a search (magnifier) icon marking it as searchable. The dropdown does not load the full customer list into the browser; instead, as the user types, it fetches matching customers from the server — case-insensitive ""contains"" matching on the customer name, scoped to the active date range, Product Type, and location — and lists the returned customers, each shown with a checkmark when selected. A ""Search customers…"" hint is pinned to the top of the dropdown before any query is typed, and yields to the typed query while the user is searching. Before the user types, the dropdown shows the pinned all/clear control (S18-R3) and the hint; the user types to reveal individual customers to select or deselect.","A ""Search customers…"" hint is pinned to the top of the dropdown before any query is typed, and yields to the typed query while the user is searching.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.636; not individually read,machine-substantiated,SBC-CUST-01 SBC-CUST-02 SBC-API-03,C30112 C30113 C30192,https://shopview.testrail.io/index.php?/cases/view/30112 https://shopview.testrail.io/index.php?/cases/view/30113 https://shopview.testrail.io/index.php?/cases/view/30192,C30112,SBC-CUST-01,"Before typing, the dropdown shows the pinned all/clear control at the top and a ""Search customers…"" hint;",0.636,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R2,requirement,5,5,"S18-R2: The filter is a multi-select with server-backed type-ahead. The control carries a search (magnifier) icon marking it as searchable. The dropdown does not load the full customer list into the browser; instead, as the user types, it fetches matching customers from the server — case-insensitive ""contains"" matching on the customer name, scoped to the active date range, Product Type, and location — and lists the returned customers, each shown with a checkmark when selected. A ""Search customers…"" hint is pinned to the top of the dropdown before any query is typed, and yields to the typed query while the user is searching. Before the user types, the dropdown shows the pinned all/clear control (S18-R3) and the hint; the user types to reveal individual customers to select or deselect.","Before the user types, the dropdown shows the pinned all/clear control (S18-R3) and the hint; the user types to reveal individual customers to select or deselect.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.667; not individually read,machine-substantiated,SBC-CUST-01 SBC-CUST-02 SBC-API-03,C30112 C30113 C30192,https://shopview.testrail.io/index.php?/cases/view/30112 https://shopview.testrail.io/index.php?/cases/view/30113 https://shopview.testrail.io/index.php?/cases/view/30192,C30112,SBC-CUST-01,"Before typing, the dropdown shows the pinned all/clear control at the top and a ""Search customers…"" hint; individual customers are revealed by typing.",0.667,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R3,requirement,1,2,"S18-R3: A control pinned to the top of the dropdown selects or clears every customer at once. It reads ""All customers"" when the filter is not in the all-customers state (activating it puts the filter in the all-customers state, S18-R4) and ""Clear all"" when the filter is in the all-customers state (activating it clears the selection to an empty set).",A control pinned to the top of the dropdown selects or clears every customer at once.,,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.5; not individually read,machine-substantiated,SBC-CUST-03,C30114,https://shopview.testrail.io/index.php?/cases/view/30114,C30114,SBC-CUST-03,The control is pinned to the top of the dropdown in both states.,0.5,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R3,requirement,2,2,"S18-R3: A control pinned to the top of the dropdown selects or clears every customer at once. It reads ""All customers"" when the filter is not in the all-customers state (activating it puts the filter in the all-customers state, S18-R4) and ""Clear all"" when the filter is in the all-customers state (activating it clears the selection to an empty set).","It reads ""All customers"" when the filter is not in the all-customers state (activating it puts the filter in the all-customers state, S18-R4) and ""Clear all"" when the filter is in the all-customers state (activating it clears the selection to an empty set).",,COVERED-HUMAN-READ,"flagged by the polarity sweep and read by hand; the covering case asserts the same thing, not its opposite",hand-read this run (polarity-flag set),SBC-CUST-03,C30114,https://shopview.testrail.io/index.php?/cases/view/30114,C30114,SBC-CUST-03,"In the all-customers state the pinned control reads ""Clear all""; activating it clears the selection to an empty set.",0.615,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R4,requirement,1,2,"S18-R4: On first load, with no saved selection, the filter is in the all-customers state — an explicit state meaning ""all customers,"" stored as a flag rather than an enumeration of the current customer ids — and the report shows every customer. While the filter is in the all-customers state, every customer matching the other active filters is included, including any customer that appears later (S18-R8, S18-R9).","On first load, with no saved selection, the filter is in the all-customers state — an explicit state meaning ""all customers,"" stored as a flag rather than an enumeration of the current customer ids — and the report shows every customer.",,COVERED-HUMAN-READ,read end to end this run against the current spec; the overlap score is low only because the assertion is short or cross-reference-heavy,hand-read this run (weak/unsubstantiated set),SBC-CUST-04 SBC-API-03,C30115 C30192,https://shopview.testrail.io/index.php?/cases/view/30115 https://shopview.testrail.io/index.php?/cases/view/30192,C30192,SBC-API-03,"The all-customers state is stored as an explicit state (a flag), not an enumeration of the fetched ids.",0.333,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R4,requirement,2,2,"S18-R4: On first load, with no saved selection, the filter is in the all-customers state — an explicit state meaning ""all customers,"" stored as a flag rather than an enumeration of the current customer ids — and the report shows every customer. While the filter is in the all-customers state, every customer matching the other active filters is included, including any customer that appears later (S18-R8, S18-R9).","While the filter is in the all-customers state, every customer matching the other active filters is included, including any customer that appears later (S18-R8, S18-R9).",,COVERED-HUMAN-READ,"flagged by the polarity sweep and read by hand; the covering case asserts the same thing, not its opposite",hand-read this run (polarity-flag set),SBC-CUST-04 SBC-API-03,C30115 C30192,https://shopview.testrail.io/index.php?/cases/view/30115 https://shopview.testrail.io/index.php?/cases/view/30192,C30115,SBC-CUST-04,"After the filter change the filter stays in the all-customers state (label still ""All customers"") and every customer matching the new filters is included — including the newly-appearing one, with no manual re-selection.",0.615,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R5,requirement,1,3,"S18-R5: The report shows only the customers currently selected in the filter. The collapsed filter label reads ""All customers"" when the filter is in the all-customers state (S18-R4), ""None"" when the selection is an empty set, the customer's name when exactly one customer is selected, and ""N selected"" when more than one customer is selected (N is the number of selected customers). While the user is typing a search query in the filter, the field shows the query text instead of the summary label; the summary label returns when the query is cleared or the field loses focus.",The report shows only the customers currently selected in the filter.,,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.5; not individually read,machine-substantiated,SBC-CUST-04 SBC-CUST-05 SBC-CUST-06,C30115 C30116 C30117,https://shopview.testrail.io/index.php?/cases/view/30115 https://shopview.testrail.io/index.php?/cases/view/30116 https://shopview.testrail.io/index.php?/cases/view/30117,C30116,SBC-CUST-05,"With more than one selected the label reads ""N selected"" where N is the number of selected customers (for example ""3 selected"").",0.5,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R5,requirement,2,3,"S18-R5: The report shows only the customers currently selected in the filter. The collapsed filter label reads ""All customers"" when the filter is in the all-customers state (S18-R4), ""None"" when the selection is an empty set, the customer's name when exactly one customer is selected, and ""N selected"" when more than one customer is selected (N is the number of selected customers). While the user is typing a search query in the filter, the field shows the query text instead of the summary label; the summary label returns when the query is cleared or the field loses focus.","The collapsed filter label reads ""All customers"" when the filter is in the all-customers state (S18-R4), ""None"" when the selection is an empty set, the customer's name when exactly one customer is selected, and ""N selected"" when more than one customer is selected (N is the number of selected customers).",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.375; not individually read,machine-substantiated,SBC-CUST-04 SBC-CUST-05 SBC-CUST-06,C30115 C30116 C30117,https://shopview.testrail.io/index.php?/cases/view/30115 https://shopview.testrail.io/index.php?/cases/view/30116 https://shopview.testrail.io/index.php?/cases/view/30117,C30115,SBC-CUST-04,"After the filter change the filter stays in the all-customers state (label still ""All customers"") and every customer matching the new filters is included — including the newly-appearing one, with no manual re-selection.",0.375,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R5,requirement,3,3,"S18-R5: The report shows only the customers currently selected in the filter. The collapsed filter label reads ""All customers"" when the filter is in the all-customers state (S18-R4), ""None"" when the selection is an empty set, the customer's name when exactly one customer is selected, and ""N selected"" when more than one customer is selected (N is the number of selected customers). While the user is typing a search query in the filter, the field shows the query text instead of the summary label; the summary label returns when the query is cleared or the field loses focus.","While the user is typing a search query in the filter, the field shows the query text instead of the summary label; the summary label returns when the query is cleared or the field loses focus.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.846; not individually read,machine-substantiated,SBC-CUST-04 SBC-CUST-05 SBC-CUST-06,C30115 C30116 C30117,https://shopview.testrail.io/index.php?/cases/view/30115 https://shopview.testrail.io/index.php?/cases/view/30116 https://shopview.testrail.io/index.php?/cases/view/30117,C30116,SBC-CUST-05,"While typing, the field shows the query text instead of the summary label; the summary label returns when the query is cleared or the field loses focus.",0.846,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R6,requirement,1,1,"S18-R6: The totals row is computed on the server over the full set of customers matching the active filters (date range, Product Type, location, and the Customer filter), not only the customers on the current page.","The totals row is computed on the server over the full set of customers matching the active filters (date range, Product Type, location, and the Customer filter), not only the customers on the current page.",,COVERED-HUMAN-READ,"flagged by the polarity sweep and read by hand; the covering case asserts the same thing, not its opposite",hand-read this run (polarity-flag set),SBC-CALC-07 SBC-API-04,C30155 C30193,https://shopview.testrail.io/index.php?/cases/view/30155 https://shopview.testrail.io/index.php?/cases/view/30193,C30155,SBC-CALC-07,"The totals row is computed over the full set of customers matching the active filters (date range, Product Type, location, Customer filter).",0.833,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R7,requirement,1,4,"S18-R7: Exports (CSV, PDF, Print) are generated on the server and contain exactly the customers matching the active filters — the customers selected in the Customer filter, within the active date range, Product Type, and location. When every customer is selected, the export contains the full set of customers under those filters.","Exports (CSV, PDF, Print) are generated on the server and contain exactly the customers matching the active filters — the customers selected in the Customer filter, within the active date range, Product Type, and location.",CSV export,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.524; not individually read,machine-substantiated,SBC-EXP-05,C30163,https://shopview.testrail.io/index.php?/cases/view/30163,C30163,SBC-EXP-05,"Each export contains exactly the customers matching the active filters — the selected customers, within the active date range, Product Type, and location — in the active sort order.",0.524,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R7,requirement,2,4,"S18-R7: Exports (CSV, PDF, Print) are generated on the server and contain exactly the customers matching the active filters — the customers selected in the Customer filter, within the active date range, Product Type, and location. When every customer is selected, the export contains the full set of customers under those filters.","Exports (CSV, PDF, Print) are generated on the server and contain exactly the customers matching the active filters — the customers selected in the Customer filter, within the active date range, Product Type, and location.",PDF export,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.524; not individually read,machine-substantiated,SBC-EXP-05,C30163,https://shopview.testrail.io/index.php?/cases/view/30163,C30163,SBC-EXP-05,"Each export contains exactly the customers matching the active filters — the selected customers, within the active date range, Product Type, and location — in the active sort order.",0.524,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R7,requirement,3,4,"S18-R7: Exports (CSV, PDF, Print) are generated on the server and contain exactly the customers matching the active filters — the customers selected in the Customer filter, within the active date range, Product Type, and location. When every customer is selected, the export contains the full set of customers under those filters.","Exports (CSV, PDF, Print) are generated on the server and contain exactly the customers matching the active filters — the customers selected in the Customer filter, within the active date range, Product Type, and location.",Print view,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.524; not individually read,machine-substantiated,SBC-EXP-05,C30163,https://shopview.testrail.io/index.php?/cases/view/30163,C30163,SBC-EXP-05,"Each export contains exactly the customers matching the active filters — the selected customers, within the active date range, Product Type, and location — in the active sort order.",0.524,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R7,requirement,4,4,"S18-R7: Exports (CSV, PDF, Print) are generated on the server and contain exactly the customers matching the active filters — the customers selected in the Customer filter, within the active date range, Product Type, and location. When every customer is selected, the export contains the full set of customers under those filters.","When every customer is selected, the export contains the full set of customers under those filters.",Export (unspecified format),COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 1.0; not individually read,machine-substantiated,SBC-EXP-05,C30163,https://shopview.testrail.io/index.php?/cases/view/30163,C30163,SBC-EXP-05,"When every customer is selected, the export contains the full set of customers under those filters.",1.0,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R8,requirement,1,3,"S18-R8: The Customer filter selection is remembered between visits (Story 6), saved as either the all-customers state (S18-R4) or an explicit set of selected customer ids. On restore: if the saved state is the all-customers state, the filter restores to the all-customers state and the report shows every customer present in the current results, including any customer that appeared since the selection was saved. If the saved state is an explicit set of ids, the saved ids are intersected with the customers present in the current results — still-present ids are re-selected, any saved id no longer present is dropped (a stale saved id never forces an empty view), and a customer that appeared since the set was saved is not auto-selected.","The Customer filter selection is remembered between visits (Story 6), saved as either the all-customers state (S18-R4) or an explicit set of selected customer ids.",,COVERED-HUMAN-READ,read end to end this run against the current spec; the overlap score is low only because the assertion is short or cross-reference-heavy,hand-read this run (weak/unsubstantiated set),SBC-PERS-07,C30180,https://shopview.testrail.io/index.php?/cases/view/30180,C30180,SBC-PERS-07,the filter restores to the all-customers state and the report shows every present customer — including the customer that appeared since the state was saved.,0.333,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R8,requirement,2,3,"S18-R8: The Customer filter selection is remembered between visits (Story 6), saved as either the all-customers state (S18-R4) or an explicit set of selected customer ids. On restore: if the saved state is the all-customers state, the filter restores to the all-customers state and the report shows every customer present in the current results, including any customer that appeared since the selection was saved. If the saved state is an explicit set of ids, the saved ids are intersected with the customers present in the current results — still-present ids are re-selected, any saved id no longer present is dropped (a stale saved id never forces an empty view), and a customer that appeared since the set was saved is not auto-selected.","On restore: if the saved state is the all-customers state, the filter restores to the all-customers state and the report shows every customer present in the current results, including any customer that appeared since the selection was saved.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.667; not individually read,machine-substantiated,SBC-PERS-07,C30180,https://shopview.testrail.io/index.php?/cases/view/30180,C30180,SBC-PERS-07,the filter restores to the all-customers state and the report shows every present customer — including the customer that appeared since the state was saved.,0.667,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R8,requirement,3,3,"S18-R8: The Customer filter selection is remembered between visits (Story 6), saved as either the all-customers state (S18-R4) or an explicit set of selected customer ids. On restore: if the saved state is the all-customers state, the filter restores to the all-customers state and the report shows every customer present in the current results, including any customer that appeared since the selection was saved. If the saved state is an explicit set of ids, the saved ids are intersected with the customers present in the current results — still-present ids are re-selected, any saved id no longer present is dropped (a stale saved id never forces an empty view), and a customer that appeared since the set was saved is not auto-selected.","If the saved state is an explicit set of ids, the saved ids are intersected with the customers present in the current results — still-present ids are re-selected, any saved id no longer present is dropped (a stale saved id never forces an empty view), and a customer that appeared since the set was saved is not auto-selected.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.625; not individually read,machine-substantiated,SBC-PERS-07,C30180,https://shopview.testrail.io/index.php?/cases/view/30180,C30180,SBC-PERS-07,a saved id no longer present is dropped (a stale saved id never forces an empty view); a customer that appeared since the set was saved is NOT auto-selected.,0.625,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R9,requirement,1,1,"S18-R9: When a date-range, Product Type, or location change re-loads the results, the selection reconciles against the new set of present customers: if the filter is in the all-customers state (S18-R4), it stays in the all-customers state — every present customer, including every newly-present customer, is included; otherwise the still-present selected ids are kept, ids no longer present are dropped, and newly-present customers are not added.","When a date-range, Product Type, or location change re-loads the results, the selection reconciles against the new set of present customers: if the filter is in the all-customers state (S18-R4), it stays in the all-customers state — every present customer, including every newly-present customer, is included; otherwise the still-present selected ids are kept, ids no longer present are dropped, and newly-present customers are not added.",,COVERED-HUMAN-READ,read end to end this run against the current spec; the overlap score is low only because the assertion is short or cross-reference-heavy,hand-read this run (weak/unsubstantiated set),SBC-CUST-04 SBC-CUST-09,C30115 C30120,https://shopview.testrail.io/index.php?/cases/view/30115 https://shopview.testrail.io/index.php?/cases/view/30120,C30115,SBC-CUST-04,"After the filter change the filter stays in the all-customers state (label still ""All customers"") and every customer matching the new filters is included — including the newly-appearing one, with no manual re-selection.",0.333,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R10,requirement,1,3,"S18-R10: If an export (CSV, PDF, or Print) is triggered while the active filters match no customers — for example, no customer is selected — the export still downloads, containing the column headers and a totals row of zeros, with no data rows and no warning.","If an export (CSV, PDF, or Print) is triggered while the active filters match no customers — for example, no customer is selected — the export still downloads, containing the column headers and a totals row of zeros, with no data rows and no warning.",CSV export | Empty / zero state,COVERED-HUMAN-READ,read end to end this run against the current spec; the overlap score is low only because the assertion is short or cross-reference-heavy,hand-read this run (weak/unsubstantiated set),SBC-EXP-15,C30173,https://shopview.testrail.io/index.php?/cases/view/30173,C30173,SBC-EXP-15,"The file contains the column headers and a totals row of zeros, with no data rows.",0.238,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R10,requirement,2,3,"S18-R10: If an export (CSV, PDF, or Print) is triggered while the active filters match no customers — for example, no customer is selected — the export still downloads, containing the column headers and a totals row of zeros, with no data rows and no warning.","If an export (CSV, PDF, or Print) is triggered while the active filters match no customers — for example, no customer is selected — the export still downloads, containing the column headers and a totals row of zeros, with no data rows and no warning.",PDF export | Empty / zero state,COVERED-HUMAN-READ,read end to end this run against the current spec; the overlap score is low only because the assertion is short or cross-reference-heavy,hand-read this run (weak/unsubstantiated set),SBC-EXP-15,C30173,https://shopview.testrail.io/index.php?/cases/view/30173,C30173,SBC-EXP-15,"The file contains the column headers and a totals row of zeros, with no data rows.",0.238,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R10,requirement,3,3,"S18-R10: If an export (CSV, PDF, or Print) is triggered while the active filters match no customers — for example, no customer is selected — the export still downloads, containing the column headers and a totals row of zeros, with no data rows and no warning.","If an export (CSV, PDF, or Print) is triggered while the active filters match no customers — for example, no customer is selected — the export still downloads, containing the column headers and a totals row of zeros, with no data rows and no warning.",Print view | Empty / zero state,COVERED-HUMAN-READ,read end to end this run against the current spec; the overlap score is low only because the assertion is short or cross-reference-heavy,hand-read this run (weak/unsubstantiated set),SBC-EXP-15,C30173,https://shopview.testrail.io/index.php?/cases/view/30173,C30173,SBC-EXP-15,"The file contains the column headers and a totals row of zeros, with no data rows.",0.238,DIRECT
Sales By Customer,SBC,18,Filter by customer,S18-R11,requirement,1,2,"S18-R11: The Customer filter is applied on the server. Changing the selection re-fetches the matching customers as a fresh first page (customer rows are server-paginated), and the server-computed totals (S18-R6) update to the new selection.",The Customer filter is applied on the server.,,COVERED-HUMAN-READ,read end to end this run against the current spec; the overlap score is low only because the assertion is short or cross-reference-heavy,hand-read this run (weak/unsubstantiated set),SBC-CUST-06 SBC-API-04,C30117 C30193,https://shopview.testrail.io/index.php?/cases/view/30117 https://shopview.testrail.io/index.php?/cases/view/30193,C30193,SBC-API-04,"Customer rows arrive page by page from the server (server-paginated), not as one full client-side list.",0.25,DIRECT
