ID,fd_id,title,section,refs,trace_note
28433,FD-WO-010,Verify a percentage discount over 100% is rejected while a percentage fee has no upper limit,Work Order — Whole-WO Fee/Discount,SV-8279 (§5-R2 / S3 §3 discounts),
28434,FD-WO-011,Verify a whole-work-order percentage method uses the correct base (% of Subtotal example),Work Order — Whole-WO Fee/Discount,SV-8278 (§5-R4 / §5-R10 / S2-R3),
28435,FD-WO-012,Verify Add Work Order Fee / Discount is hidden and blocked on an Invoiced or Paid work order,Work Order — Whole-WO Fee/Discount,"SV-8277,SV-8279 (S1-N1 / S3-R1b)",
28436,FD-WO-013,Verify the whole-work-order 'Add Work Order Fee / Discount' option is hidden without Work Orders: Create & Edit,Work Order — Whole-WO Fee/Discount,"SV-8277,SV-8289 (S1-N2 / S13-R3 / S13-N2)",
28437,FD-WO-014,Verify the preview shows the empty-amount prompt before an amount is entered,Work Order — Whole-WO Fee/Discount,SV-8278 (S2-R41),
28438,FD-WO-015,Verify the preview amount is signed for a fee (+) vs a discount (−),Work Order — Whole-WO Fee/Discount,"SV-8278,SV-8288 (S2-R33 / S12-R2)",
29441,FD-WO-016,Verify the Add/Edit fee-or-discount dialog shows the tax-jurisdiction note below the Taxable Yes/No dropdown,Work Order — Whole-WO Fee/Discount,"SV-8278 (S2-R26, S2-R26a, §5-R15)",
29917,FD-TMPL-018,Verify the admin Fee/Discount template dialog shows the tax-jurisdiction note below the Taxable Yes/No dropdown (for every kind),Template admin — jurisdiction note,SV-8283 (S7-R12f / §5-R15),
29918,FD-PSALE-001,Verify the Part Sale Add/Edit fee-or-discount dialog shows the tax-jurisdiction note below the Taxable Yes/No dropdown,Part Sale — Fee/Discount dialog,SV-8287 (S11-R3 / S11-R4a / S11-R4b / §5-R15),
29922,FD-PERM-012,Fees & Discounts settings page gated by settingsService (not settingsFinance),Permissions (Story 13),SV-8289 (SV-8456 Story 13),
29923,FD-PERM-013,Service admin can complete the Fees & Discounts template delete flow,Permissions (Story 13),SV-8289 (SV-8456 Story 13),
30618,FD-WO-017,Verify the labor fee/discount entry point is a three-dot menu to the LEFT of the first technician (or 'Unassigned') and reads 'Add Labor Fee / Discount',Work Order — Labor-line Fee/Discount,"SV-8479 (SV-8288 Story 12 — item 1: labor fee/discount entry-point placement, three-dot to the LEFT of Unassigned + 'Add Labor Fee / Discount' label)",
30619,FD-WO-018,Verify the work-order part row three-dot menu item reads 'Add Part Fee / Discount',Work Order / Parts — Part-line Fee/Discount,SV-8479 (SV-8288 Story 12 — item 2: WO part-row three-dot menu label 'Add Part Fee / Discount'),
30620,FD-WO-021,"Verify the Work Order Fees & Discounts card shows the disclaimer 'Applies to the whole work order, after all other fees & discounts.'",Work Order — Sidebar 'Work Order Fee / Discount' card,SV-8479 (SV-8288 Story 12 — item 6: WO Fees & Discounts card disclaimer copy),
30621,FD-WO-025,Verify the work order toolbar three-dot menu item reads 'Add Work Order Fee / Discount',Work Order — Whole-WO Fee/Discount,SV-8479 (SV-8288 Story 12 — item 10: WO toolbar three-dot menu label 'Add Work Order Fee / Discount'),
30622,FD-WO-028,Verify the tax-jurisdiction note and the 'Pass convenience fee to customer' banner still appear after the fee/discount UI updates,Work Order — Whole-WO Fee/Discount,SV-8479 (SV-8288 Story 12 — NOTES regression preserve: tax-jurisdiction note in dialogs + 'Pass convenience fee to customer' banner),
30623,FD-PSALE-002,"Verify the parts-sale Fees & Discounts column no longer shows the '+ Add' button, and the per-row and top-right three-dot entry points remain",Parts page — 'FEES & DISCOUNTS' column,SV-8479 (SV-8288 Story 12 — item 13: remove redundant '+ Add' button in the parts-sale Fees & Discounts column),
30624,FD-PSALE-003,Verify the parts-sale per-part three-dot menu item reads 'Add Part Fee / Discount',Parts page — 'FEES & DISCOUNTS' column,SV-8479 (SV-8288 Story 12 — item 14: parts-sale per-part three-dot menu label 'Add Part Fee / Discount'),
30625,FD-PSALE-004,Verify the Parts Sale Fees & Discounts card shows each adjustment as plain text with the percentage in brackets (no colored badge),Parts Sale — Fees & Discounts card,"SV-8479 (SV-8288 Story 12 — item 15: Parts Sale Fees & Discounts card plain-text, no badge, item-5 bracket/sign convention)",
30626,FD-PSALE-006,Verify the parts-sale Financial Info card shows a 'Fees & Discounts (N)' line directly above Subtotal and hides it when there are none,Parts Sale — Financial Info card,"SV-8479 (SV-8288 Story 12 — item 17: parts-sale Financial Info 'Fees & Discounts (N)' line above Subtotal, hidden when zero)",
30627,FD-PSALE-008,Verify the whole-parts-sale fee/discount dialog title reads 'New Parts Sale Fee / Discount' with subline 'Applying To: Entire Parts Sale',Part Sale — Fee/Discount dialog,SV-8479 (SV-8288 Story 12 — item 19: whole-parts-sale fee/discount modal title 'New Parts Sale Fee / Discount' + new subline 'Applying To: Entire Parts Sale'),
30628,FD-PSALE-009,Verify the Fees & Discounts section on the parts-sale Statistics tab shows the '%' and 'Amount' column headings,Parts Sale — Statistics tab,"SV-8479 (SV-8288 Story 12 — item 20: parts-sale Statistics Fees & Discounts section column headings '%' and 'Amount', mirrors item 12)",
30629,FD-CALC-018,Verify a work order line total adds the line's own fees to Labor and Parts (Labor $250 + fee +$50.00 + Part $20.00 + fee +$2.20 → line total $322.20),Calculation contract,SV-8480 (S3-R18),
30630,FD-CALC-019,"Verify a discount on a line subtracts from the line total while a fee adds (fees add, discounts subtract in the line total)",Calculation contract,SV-8480 (S3-R18),
30631,FD-CALC-020,Verify a line with no fees or discounts shows a line total of Labor + Parts only (unchanged by the fix),Calculation contract,SV-8480 (S3-R18),
30632,FD-CALC-021,"Verify the Estimate document is unchanged — labor prints gross, each fee prints its own row, and the grand total is not double-counted",Calculation contract,SV-8480 (S3-R18),
30633,FD-CALC-022,"Verify the Invoice document is unchanged — labor prints gross, each fee prints its own row, and the grand total is not double-counted",Calculation contract,SV-8480 (S3-R18),
30634,FD-CALC-023,"Verify that when the Fees & Discounts feature is turned off, the line total is Labor + Parts only (gross), with no fee/discount rolled in",Calculation contract,SV-8480 (S3-R18),
30635,FD-CALC-024,Verify the backend per-line total includes the line's signed fee/discount amounts (Labor $250 + $50.00 + Part $20.00 + $2.20 → total_cost 322.20),API — Calculation contract,SV-8480 (S3-R18),
