"Date Range: Aug 1, 2026 - Aug 31, 2026"
"As of: 2026-08-06"
"Locations: Staging Heavy Duty - 9919"
"Part #",Description,Category,Vendor,Qty,"Unit Cost","Unit Sell","Total Cost","Total Sell",Margin,"Margin %"
4324139292,"SS1200 Purge Valve Repair Kit","HD-Air Brakes & Air Suspension","Enson Forestry",1.00,$85.94,$138.61,$85.94,$138.61,$52.67,38.0%
55162,"4"" Round LED Stop Tail Turn Lights with Integrated Backup, 4-Pin Hard Shell Conn","HD-Lighting & Electrical",—,2.00,$42.95,$74.05,$85.90,$148.10,$62.20,42.0%
SQT2x4x3/16,"SQUARE/RECTANGLE TUBING 2""x4""x3/16""","HD-Fabrication & Building","Faburg Concrete",7.00,$12.19,$23.44,$85.33,$164.08,$78.75,48.0%
FYA00001490R,"CABIN AIR FILTER Hitachi & JD Excavators (WP10180, PA30174)",HD-Filters,"Botown Retail",1.00,$85.31,$130.24,$85.31,$130.24,$44.93,34.5%
TP-543-0,EQUALIZER,"HD-Steering & Suspension",—,8.00,$10.64,$22.17,$85.12,$177.36,$92.24,52.0%
S2340-11700,"Hino Fuel/Water Separator Filter (Racor Style) ",HD-Filters,"Rafalls Equipment",1.00,$85.07,$129.88,$85.07,$129.88,$44.81,34.5%
N63551-04-04,"#04 BW CRIMP COUPLING X #04 FEMALE ORFS SWIVEL 45","HD-Hose & Fittings","Humoor Energy",8.00,$10.62,$20.42,$84.96,$163.36,$78.40,48.0%
3685309,"V-Band Clamp",HD-Exhaust,"Keman Electrical",1.00,$84.78,$136.74,$84.78,$136.74,$51.96,38.0%
2--NL4875-075,"3/4"" SILICONE HEATER HOSE (1.08"" OD)","HD-Hose & Fittings","Humoor Energy",23.00,$3.68,$7.36,$84.64,$169.28,$84.64,50.0%
SR2000092,"Cabin Air FIlter, Paccar/Navistar",HD-Filters,"Keman Electrical",2.00,$42.29,$70.48,$84.58,$140.96,$56.38,40.0%
5-280X,"1710 FULL ROUND U-JOINT","HD-Drive Train",—,1.00,$84.44,$136.19,$84.44,$136.19,$51.75,38.0%
660001,"BETTS, ROUND 2"" RED MARKER LIGHT","HD-Lighting & Electrical","Noburg Oilfield Services",3.00,$28.14,$51.16,$84.42,$153.48,$69.06,45.0%
660002,"BETTS ROUND 2"" AMBER MARKER LIGHT","HD-Lighting & Electrical","Noburg Oilfield Services",3.00,$28.14,$51.16,$84.42,$153.48,$69.06,45.0%
N63534-08-08,"#08 BW CRIMP COUPLING X #08 FEMALE JIC SWIVEL 90 LONG","HD-Hose & Fittings","Humoor Energy",8.00,$10.55,$20.29,$84.40,$162.32,$77.92,48.0%
HLK2432,"TOOL BOX LATCH PETERBILT","HD-Body Exterior","Iview Commercial",2.00,$42.16,$75.29,$84.32,$150.58,$66.26,44.0%
46930,"Engine Air Filter, Ram HD, 6.7L Diesel, 07-24",HD-Filters,"Yahall Energy",2.00,$42.15,$70.25,$84.30,$140.50,$56.20,40.0%
NL329-12,"#12 SAE100R16 HYD HOSE 4000 PS","HD-Hose & Fittings","Humoor Energy",20.50,$4.11,$8.22,$84.26,$168.51,$84.25,50.0%
1848530C1,"GASKET VALVE COVER","HD-Engine Comp",—,1.00,$84.23,$125.71,$84.23,$125.71,$41.48,33.0%
FS19596,"Fuel/Water Separator",HD-Filters,"Enson Forestry",2.00,$42.03,$70.05,$84.06,$140.10,$56.04,40.0%
109995-G3,"MODEL SP PURGE VALVE KIT","HD-Air Brakes & Air Suspension","Toshore Electrical",2.00,$41.95,$74.91,$83.90,$149.82,$65.92,44.0%
179.3028.15,"ISO AUXILIARY CABLE 15FT (314623, 421160, BE27096)","HD-Trailer Comp","Iview Commercial",1.00,$83.86,$135.26,$83.86,$135.26,$51.40,38.0%
83221,"Shock Absorber, Front, Mack","HD-Steering & Suspension","Iview Commercial",2.00,$41.92,$74.86,$83.84,$149.72,$65.88,44.0%
564.55029,"HEADLAMP LH/RH IHC (2006091C91)","HD-Lighting & Electrical","Iview Commercial",2.00,$41.82,$72.10,$83.64,$144.20,$60.56,42.0%
RB-1,"BUSHING SILENT BLOCK MR4 5/8""x1-9/32""x2-5/16""","HD-Steering & Suspension","Wuboro Farms",12.00,$6.97,$15.15,$83.64,$181.80,$98.16,54.0%
KL-TF7480L,"TDTO-4 ARCTIC FULL SYNTHETIC",HD-Fluids,—,10.00,$8.36,$13.70,$83.60,$137.00,$53.40,39.0%
350-0163,"Engine Block Heater, 1250W","HD-Misc / Other",—,1.00,$83.38,$134.48,$83.38,$134.48,$51.10,38.0%
177.7382,"AIR BRAKE HOSE 1/2 X 3/8 SWIVEL 20""","HD-Air Brakes & Air Suspension","Iview Commercial",7.00,$11.91,$24.81,$83.37,$173.67,$90.30,52.0%
2--NL4905-275,"2-3/4"" BLUE SILICONE HOSE","HD-Cooling & HVAC","Humoor Energy",4.00,$20.82,$37.85,$83.28,$151.40,$68.12,45.0%
FS19683,"Fuel/Water Separator Filter, Caterpillar",HD-Filters,"Enson Forestry",4.00,$20.81,$36.51,$83.24,$146.04,$62.80,43.0%
3686944C1,"TERMINALS, FEMALE","HD-Lighting & Electrical","Xistone Consulting",19.00,$4.38,$8.76,$83.22,$166.44,$83.22,50.0%
2--110800,"SPRING BRAKE VALVE, CONTROL","HD-Air Brakes & Air Suspension","Zoburg Maintenance",1.00,$83.19,$134.18,$83.19,$134.18,$50.99,38.0%
3711430C92,"A/C LINE","HD-Cooling & HVAC",—,1.00,$83.15,$134.11,$83.15,$134.11,$50.96,38.0%
AF25414,"Engine Air Filter, Primary, Isuzu (Use With Secondary Filter AF25412)",HD-Filters,"Enson Forestry",1.00,$83.15,$127.93,$83.15,$127.93,$44.78,35.0%
90587K,"EXHAUST HEAT SHIELD",HD-Exhaust,"Aiboro Rentals",5.00,$16.62,$31.36,$83.10,$156.80,$73.70,47.0%
462.ES3034R,"TIE ROD END","HD-Steering & Suspension","Iview Commercial",2.00,$41.52,$74.14,$83.04,$148.28,$65.24,44.0%
CS8SC-075-650,"3/4""X6-1/2"" NC BOLT (GR8, HEX)",HD-Fasteners,"Aiboro Rentals",15.00,$5.53,$10.84,$82.95,$162.60,$79.65,49.0%
182.427,"WHEEL BEARING KIT, PRE ADJUST","HD-Wheel Comp","Iview Commercial",2.00,$41.46,$71.48,$82.92,$142.96,$60.04,42.0%
7250374,"SEAL VALVE CVR BOBCAT",Off-Road,—,1.00,$82.88,$103.60,$82.88,$103.60,$20.72,20.0%
ZCSM10BF-16-70,"16X70MM 10.9 BLK FINE BOLT",HD-Fasteners,"Aiboro Rentals",25.00,$3.31,$6.62,$82.75,$165.50,$82.75,50.0%
571.LD973WL4,"WORK LAMP LED 3"" SQUARE FLOOD 1080LM (36533)","HD-Lighting & Electrical","Iview Commercial",3.00,$27.58,$50.15,$82.74,$150.45,$67.71,45.0%
N63533-06-06,"#06 BW CRIMP COUPLING X #06 FEMALE JIC SWIVEL 90","HD-Hose & Fittings","Humoor Energy",9.00,$9.19,$18.02,$82.71,$162.18,$79.47,49.0%
2--B4157NA,"4157 AMBER LIGHT BULB","HD-Lighting & Electrical",—,10.00,$8.27,$16.22,$82.70,$162.20,$79.50,49.0%
N63530-12-12,"#12 BW CRIMP COUPLING X #12 MALE JIC RIGID STRAIGHT","HD-Hose & Fittings","Humoor Energy",10.00,$8.27,$16.22,$82.70,$162.20,$79.50,49.0%
564.75074,"8 LED, 3 WIRE LEADS W/ BULLET CONNECTORS","HD-Lighting & Electrical","Iview Commercial",5.00,$16.53,$31.19,$82.65,$155.95,$73.30,47.0%
DUT496,"INLINE FUEL/WATER ASSEMBLY",HD-Filters,—,1.00,$82.62,$127.11,$82.62,$127.11,$44.49,35.0%
PMH-10,"SS GEAR CLAMP (1/2"" - 1-1/16""), 5/16"" WIDE","HD-Hose & Fittings","Aiboro Rentals",51.00,$1.62,$3.45,$82.62,$175.95,$93.33,53.0%
37038X,"U JOINT STRAP KIT","HD-Drive Train",—,6.00,$13.75,$28.65,$82.50,$171.90,$89.40,52.0%
LF3654,"Engine Oil Filter, Mack/Volvo",HD-Filters,"Enson Forestry",3.00,$27.50,$47.01,$82.50,$141.03,$58.53,41.5%
CS8SC-075-700,"3/4""X7"" GR8 PL NC BOLT",HD-Fasteners,"Aiboro Rentals",14.00,$5.89,$11.55,$82.46,$161.70,$79.24,49.0%
CS8SF-062-350,"5/8""X3-1/2"" NF BOLT (GR8, HEX)",HD-Fasteners,"Aiboro Rentals",40.00,$2.06,$4.38,$82.40,$175.20,$92.80,53.0%
F6HZ-5C264-AB,"HEAT SHEILD MOUNTING CLAMPS",HD-Exhaust,"Ruridge Mining",2.00,$41.04,$73.29,$82.08,$146.58,$64.50,44.0%
MBA-6073382010,"R.H. TIE","HD-Steering & Suspension",—,1.00,$82.05,$132.34,$82.05,$132.34,$50.29,38.0%
AT365870,"FUEL/WATER SEPERATOR (FS20127, WF10110, BF46100-O)",HD-Filters,"Botown Retail",1.00,$82.02,$126.19,$82.02,$126.19,$44.17,35.0%
06-35209-000,"HIGH PRESSURE SWITCH, AC DUAL FUNCTION","HD-Cooling & HVAC",—,1.00,$82.01,$132.27,$82.01,$132.27,$50.26,38.0%
TLED-W24A26,"4 DIODE SURFACE MNT STROBE","HD-Lighting & Electrical","Aiboro Rentals",1.00,$81.86,$129.94,$81.86,$129.94,$48.08,37.0%
GSK1010,"Cummins 4.875"" ID X 5.75"" OD Pipe Flange Gasket",HD-Exhaust,"Eagate Mechanical",11.00,$7.44,$16.17,$81.84,$177.87,$96.03,54.0%
571.LD942WL9,"LED WORK LAMP 4"" ROUND FLOOD (81100, 921MV, BZ1015, TLL41FS, MWL46)","HD-Lighting & Electrical","Iview Commercial",4.00,$20.45,$37.87,$81.80,$151.48,$69.68,46.0%
59903,"ULTRA GREY 80ML",HD-Fluids,"Cuview Management",7.00,$11.65,$17.92,$81.55,$125.44,$43.89,35.0%
3957456,"V-Band Clamp",HD-Exhaust,"Enson Forestry",2.00,$40.77,$72.80,$81.54,$145.60,$64.06,44.0%
M20310UB,"MOTOR MOUNT BUSHING POLY PETERBILT (12369, CB220372, D83)","HD-Engine Comp","Iview Commercial",4.00,$20.38,$33.97,$81.52,$135.88,$54.36,40.0%
564.75076,"LED Turn Signal, Amber, Peterbilt 357/365/367/378/379","HD-Lighting & Electrical","Iview Commercial",2.00,$40.74,$70.24,$81.48,$140.48,$59.00,42.0%
FS43258,"Fuel/Water Separator Cartridge, Ram 6.7L ",HD-Filters,"Xistone Consulting",1.00,$81.43,$125.28,$81.43,$125.28,$43.85,35.0%
345-164E,"HUTCH TORQUE ROD ADJ","HD-Steering & Suspension","Wuboro Farms",2.00,$40.63,$72.55,$81.26,$145.10,$63.84,44.0%
KEG24725E,"KIT- BRAKE- OVERHAUL /MAJ","HD-Heavy Duty Shoes",—,1.00,$81.25,$135.42,$81.25,$135.42,$54.17,40.0%
BLD38564C,"PERFORMANCE FORMULA, DIESEL ADDITIVE",HD-Fluids,—,18.00,$4.51,$8.20,$81.18,$147.60,$66.42,45.0%
100.4709.11,"BRAKE KIT ","HD-Heavy Duty Brake Comp","Iview Commercial",12.00,$6.76,$14.70,$81.12,$176.40,$95.28,54.0%
E-B201,"2pc. Hinged Clutch Brake, 2""","HD-Drive Train","Weriver Electrical",2.00,$40.55,$72.41,$81.10,$144.82,$63.72,44.0%
NL1363-050,"1/2"" CONTITECH RED ORTAC GP HOSE (.89"" OD)","HD-Hose & Fittings","Humoor Energy",27.30,$2.97,$5.94,$81.08,$162.16,$81.08,50.0%
ZCSM10SC-20-40,"20X40MM CRS HEX BOLT, 10.9",HD-Fasteners,"Aiboro Rentals",23.00,$3.52,$7.04,$80.96,$161.92,$80.96,50.0%
AS2x2x1/4,"ANGLE STEEL 2""x2""x1/4""","HD-Fabrication & Building","Faburg Concrete",19.00,$4.25,$8.50,$80.75,$161.50,$80.75,50.0%
N63551-12-12,"#12 BW CRIMP COUPLING X #12 FEMALE ORFS SWIVEL 45","HD-Hose & Fittings","Humoor Energy",4.00,$20.16,$37.33,$80.64,$149.32,$68.68,46.0%
462.ES3033L,"TIE ROD END","HD-Engine Comp","Iview Commercial",2.00,$40.31,$62.02,$80.62,$124.04,$43.42,35.0%
ZCSM10SC-14-50,"14X50MM CRS HEX BOLT, 10.9",HD-Fasteners,"Aiboro Rentals",45.00,$1.79,$3.81,$80.55,$171.45,$90.90,53.0%
2122-A,"1/8"" MALE NPT X MALE NPT BRASS","HD-Hose & Fittings","Humoor Energy",6.00,$13.42,$25.81,$80.52,$154.86,$74.34,48.0%
PC1469S-6C,"3/8"" BRASS DOT TUBE PUSH-IN X 3/8"" SWIVEL MALE NPT 90 ELBOW","HD-Hose & Fittings","Humoor Energy",15.00,$5.36,$10.51,$80.40,$157.65,$77.25,49.0%
327-533,"Spring Pin Volvo","HD-Steering & Suspension","Wuboro Farms",4.00,$20.09,$36.53,$80.36,$146.12,$65.76,45.0%
8WS-056,"9/16"" FLAT WASHER",HD-Fasteners,"Aiboro Rentals",502.00,$0.16,$0.46,$80.32,$230.92,$150.60,65.2%
3067979,"V-Band Clamp, Intake Connection","HD-Engine Comp","Keman Electrical",1.00,$80.31,$119.86,$80.31,$119.86,$39.55,33.0%
WPT-1442,"WIRE ASSY","HD-Lighting & Electrical",—,2.00,$40.11,$69.15,$80.22,$138.30,$58.08,42.0%
201.6215,"WHEEL STUD (E-11719, 09002184)","HD-Wheel Comp","Iview Commercial",16.00,$5.01,$9.82,$80.16,$157.12,$76.96,49.0%
FUL-4308226,"HOUSING GASKET-AUX","HD-Drive Train",—,3.00,$26.67,$47.62,$80.01,$142.86,$62.85,44.0%
02-02737,"Shock Absorber, Front, Paccar","HD-Steering & Suspension",—,2.00,$40.00,$71.43,$80.00,$142.86,$62.86,44.0%
236984,"12V DC LED AMBER WARNING LIGHT BAR","HD-Lighting & Electrical","Xohall Towing",1.00,$79.98,$126.95,$79.98,$126.95,$46.97,37.0%
107794PGX,"AD9, MODEL 9 COALESCING DESICCANT CARTRIDGE","HD-Air Brakes & Air Suspension","Toshore Electrical",2.00,$39.95,$71.34,$79.90,$142.68,$62.78,44.0%
5009041-G3,"MODEL HF COALESCING DESICCANT CARTRIDGE (M41 X 1.5-6H) (5009041PGBXW)","HD-Air Brakes & Air Suspension","Toshore Electrical",2.00,$39.95,$71.34,$79.90,$142.68,$62.78,44.0%
800404-G3,"MODEL IP/IS PURGE VALVE (OLD STYLE)","HD-Air Brakes & Air Suspension","Toshore Electrical",2.00,$39.95,$71.34,$79.90,$142.68,$62.78,44.0%
CS8SC-050-500,"1/2""X5"" NC BOLT (GR8, HEX)",HD-Fasteners,"Aiboro Rentals",57.00,$1.40,$2.98,$79.80,$169.86,$90.06,53.0%
1875808C1,"GASKET EXHAUST SINGLE LAYER",HD-Exhaust,—,4.00,$19.89,$37.53,$79.56,$150.12,$70.56,47.0%
110.2005,"CAMSHAFT REPAIR KIT ","HD-Heavy Duty Brake Comp","Iview Commercial",6.00,$13.25,$27.60,$79.50,$165.60,$86.10,52.0%
3609781C1,"LIGHT DOME DRAWBRIDGE GRAY","HD-Lighting & Electrical",—,1.00,$79.47,$126.14,$79.47,$126.14,$46.67,37.0%
AT314583,"SECONDARY AIR FILTER (AF25963, 46923, RS5329, P613335)","HD-Equipment & Hydraulics","Botown Retail",1.00,$79.43,$132.39,$79.43,$132.39,$52.96,40.0%
3606847,"V-Band Clamp, Intake Connection",HD-Fasteners,"Keman Electrical",1.00,$79.42,$126.06,$79.42,$126.06,$46.64,37.0%
562.H16801AOE,"HADLEY ELECTRIC HORN, LOW TONE (H16801A)","HD-Lighting & Electrical","Iview Commercial",2.00,$39.67,$68.40,$79.34,$136.80,$57.46,42.0%
110.2304,"CAMSHAFT REPAIR KIT (E-2680, R615007, 43-7030, M10KY100)","HD-Heavy Duty Brake Comp","Iview Commercial",5.00,$15.86,$29.92,$79.30,$149.60,$70.30,47.0%
DDE-A0000160521,GASKET,"HD-Engine Comp",—,1.00,$79.12,$118.09,$79.12,$118.09,$38.97,33.0%
FF42102,"Spin-On Fuel Filter, Hino",HD-Filters,"Enson Forestry",2.00,$39.56,$65.93,$79.12,$131.86,$52.74,40.0%
FLTK3030LB24,"30/30 LONG STROKE PIGGY BACK KIT- BRAKE CHAMBER","HD-Air Brakes & Air Suspension","Xistone Consulting",2.00,$39.56,$70.64,$79.12,$141.28,$62.16,44.0%
561.29365-B,"V-Band Clamp, RG Ray (20755169, 90-0014)",HD-Exhaust,"Iview Commercial",3.00,$26.36,$47.07,$79.08,$141.21,$62.13,44.0%
CF19900,"FILTER ASSY.",HD-Filters,"Keman Electrical",3.00,$26.34,$45.03,$79.02,$135.09,$56.07,41.5%
MH55205,"Load Spring IHC","HD-Steering & Suspension",—,2.00,$39.47,$70.48,$78.94,$140.96,$62.02,44.0%
NL329-06,"#06 SAE100R16 HYD HOSE 5100 PS 3/8","HD-Hose & Fittings","Humoor Energy",35.00,$2.25,$4.79,$78.75,$167.65,$88.90,53.0%
DDE-A6805401717,"DPF OUTLET TEMP SENSOR",HD-Emissions,"Ruridge Mining",1.00,$78.69,$117.44,$78.69,$117.44,$38.75,33.0%
N63532-04-04,"#04 BW CRIMP COUPLING X #04 FEMALE JIC SWIVEL 45","HD-Hose & Fittings","Humoor Energy",9.00,$8.74,$17.14,$78.66,$154.26,$75.60,49.0%
PEN10-1300Z/P,"PENZ VENT DOOR LATCH ASSY","HD-Fabrication & Building",—,3.00,$26.21,$47.66,$78.63,$142.98,$64.35,45.0%
201.LWN33,"YELLOW TORQUE/WHEEL INDICATOR (33MM-36MM)","HD-Wheel Comp","Iview Commercial",97.00,$0.81,$1.80,$78.57,$174.60,$96.03,55.0%
327-508,"PIN ","HD-Steering & Suspension","Wuboro Farms",6.00,$13.09,$27.27,$78.54,$163.62,$85.08,52.0%
769865,"1/2' SPLIT LOOM","HD-Lighting & Electrical","Yahall Energy",88.00,$0.89,$1.98,$78.32,$174.24,$95.92,55.1%
AF821M,"Engine Air Filter, Secondary, Peterbilt (Use With Primary Filter AF421M)",HD-Filters,"Enson Forestry",2.00,$39.14,$65.23,$78.28,$130.46,$52.18,40.0%
ZCSM10BF-20-100,"20X100MM 10.9BLK FINE BOLT",HD-Fasteners,"Aiboro Rentals",9.00,$8.69,$17.04,$78.21,$153.36,$75.15,49.0%
NFE491-4," FLUSHFACE 3625-4785# ISO16028 1/2"" NIPPLE X 1/2"" FEMALE NPT","HD-Hose & Fittings","Humoor Energy",4.00,$19.55,$36.89,$78.20,$147.56,$69.36,47.0%
ZSLNM10SC-20,"20MM CRS STOVER LOCKNUT",HD-Fasteners,"Aiboro Rentals",34.00,$2.30,$4.89,$78.20,$166.26,$88.06,53.0%
1847710C1,"BELT FAN V-RIBBED 10PK 2070MM","HD-Belts, Pulleys & Tensioners",—,1.00,$78.16,$126.06,$78.16,$126.06,$47.90,38.0%
CS8SF-056-500,"9/16""X5"" NF BOLT (GR8, HEX)",HD-Fasteners,"Aiboro Rentals",28.00,$2.79,$5.58,$78.12,$156.24,$78.12,50.0%
178.2009RD,"CABLE BATT STACKABLE 2/0 7"" R 3/8IN EYELETS(01484, 058128)","HD-Lighting & Electrical","Iview Commercial",7.00,$11.13,$21.40,$77.91,$149.80,$71.89,48.0%
2--N65033-12-12,"#12 R5  FIELD ATTACHABLE","HD-Hose & Fittings","Humoor Energy",2.00,$38.90,$67.07,$77.80,$134.14,$56.34,42.0%
N63533-10-10,"#10 BW CRIMP COUPLING X #10 FEMALE JIC SWIVEL 90","HD-Hose & Fittings","Humoor Energy",4.00,$19.45,$36.70,$77.80,$146.80,$69.00,47.0%
K38-1069-003,"FUEL RETURN FITTING, STRAIGHT, VOSS","HD-Hose & Fittings","Keman Electrical",2.00,$38.84,$66.96,$77.68,$133.92,$56.24,42.0%
WWS-RD-3-9158-2,"KIT-FILTER FOAM",HD-Filters,"Ruridge Mining",1.00,$77.64,$119.45,$77.64,$119.45,$41.81,35.0%
571.LD27A4M1,"M1 Series LED Clearance Marker Light, Amber, Bullet Conn., With Bezel","HD-Lighting & Electrical","Iview Commercial",5.00,$15.50,$29.25,$77.50,$146.25,$68.75,47.0%
172.2011,"AIR TANK 1225 CUBIC IN VOL 9.5","HD-Air Brakes & Air Suspension","Iview Commercial",1.00,$77.42,$124.87,$77.42,$124.87,$47.45,38.0%
FS1287,"Fuel/Water Separator",HD-Filters,"Enson Forestry",2.00,$38.71,$64.52,$77.42,$129.04,$51.62,40.0%
CS8SF-062-500,"5/8""X5"" NF BOLT (GR8, HEX)",HD-Fasteners,"Aiboro Rentals",24.00,$3.22,$6.44,$77.28,$154.56,$77.28,50.0%
CS8SC-075-150,"3/4""X1-1/2"" NC BOLT (GR8, HEX)",HD-Fasteners,"Aiboro Rentals",54.00,$1.43,$3.04,$77.22,$164.16,$86.94,53.0%
FB6x1/8,"FLAT BAR STEEL 6""x1/8""","HD-Fabrication & Building","Faburg Concrete",23.00,$3.35,$6.70,$77.05,$154.10,$77.05,50.0%
N60010-16,"BLACK HD SPIRAL WRAP (1.00"" ID)","HD-Hose & Fittings","Humoor Energy",51.00,$1.51,$3.21,$77.01,$163.71,$86.70,53.0%
CS8SC-050-250,"1/2""X2-1/2"" NC BOLT (GR8, HEX)",HD-Fasteners,"Aiboro Rentals",100.00,$0.77,$1.93,$77.00,$193.00,$116.00,60.1%
N63533-04-04,"#04 BW CRIMP COUPLING X #04 FEMALE JIC SWIVEL 90","HD-Hose & Fittings","Humoor Energy",10.00,$7.70,$15.10,$77.00,$151.00,$74.00,49.0%
CS8SF-075-300,"3/4""X3"" NF BOLT (GR8, HEX)",HD-Fasteners,"Aiboro Rentals",27.00,$2.85,$5.70,$76.95,$153.90,$76.95,50.0%
M203028,"MOTOR MOUNT BUSHING FORD (F6HZ6068B)","HD-Engine Comp","Iview Commercial",2.00,$38.47,$62.05,$76.94,$124.10,$47.16,38.0%
178.2020RD,"RED CABLE OVERMOLDED HARNESS 2/0 7"" (04362, BC207M2RWS)","HD-Lighting & Electrical","Iview Commercial",4.00,$19.23,$36.28,$76.92,$145.12,$68.20,47.0%
571.PT137,"Sentry Light Pigtail, 3-Wire","HD-Lighting & Electrical","Iview Commercial",10.00,$7.68,$15.06,$76.80,$150.60,$73.80,49.0%
CR34994,"SCOT PLUS XL SEAL","HD-Shop Supply",—,2.00,$38.40,$96.00,$76.80,$192.00,$115.20,60.0%
"D786 7655CE THICK","Brake Pad Set, Thick","HD-Heavy Duty Brake Comp","Enson Forestry",1.00,$76.80,$123.87,$76.80,$123.87,$47.07,38.0%
C-AGN1252670,SEAL,Uncategorized,—,3.00,$25.57,$63.93,$76.71,$191.79,$115.08,60.0%
SQT4x4x1/4,"SQUARE TUBING 4""x4""x1/4""","HD-Fabrication & Building","Faburg Concrete",4.00,$19.17,$36.17,$76.68,$144.68,$68.00,47.0%
3500022,"HD ENGINE BLOCK HEATER 750W 120V","HD-Engine Comp","Zoburg Maintenance",1.00,$76.45,$114.10,$76.45,$114.10,$37.65,33.0%
179.3028.12,"ISO AUXILIARY CABLE 12FT ","HD-Trailer Comp","Iview Commercial",1.00,$76.40,$123.23,$76.40,$123.23,$46.83,38.0%
3963983,"Dowty Sealing Washer, M12","HD-Engine Comp",—,20.00,$3.82,$7.07,$76.40,$141.40,$65.00,46.0%
N63532-06-06,"#06 BW CRIMP COUPLING X #06 FEMALE JIC SWIVEL 45","HD-Hose & Fittings","Humoor Energy",8.00,$9.55,$18.73,$76.40,$149.84,$73.44,49.0%
CV52001,"Crankcase Breather Filter, Cummins ISB",HD-Filters,"Enson Forestry",1.00,$76.37,$117.50,$76.37,$117.50,$41.13,35.0%
3--N66-GC1700,"STAINLESS STEEL GEAR CLAMP KIT","HD-Hose & Fittings","Humoor Energy",92.00,$0.83,$1.84,$76.36,$169.28,$92.92,54.9%
05-562,"SLACK ADJUSTER 28SPL 5-6"" CENTERS (AS1139)","HD-Heavy Duty Brake Comp","Wuboro Farms",1.00,$76.20,$122.90,$76.20,$122.90,$46.70,38.0%
CL1120,"Volvo/Mack 4.76"" V-Band Clamp",HD-Exhaust,"Eagate Mechanical",1.00,$76.20,$122.90,$76.20,$122.90,$46.70,38.0%
FLTBT815K8,"BELT (8PK2070)","HD-Belts, Pulleys & Tensioners","Xistone Consulting",1.00,$76.18,$122.87,$76.18,$122.87,$46.69,38.0%
AS4x4x1/2,"ANGLE STEEL 4""x4""x1/2""","HD-Fabrication & Building",—,12.00,$6.34,$12.43,$76.08,$149.16,$73.08,49.0%
CS8SF-056-550,"9/16""X5-1/2"" NF BOLT (GR8, HEX)",HD-Fasteners,"Aiboro Rentals",25.00,$3.04,$6.08,$76.00,$152.00,$76.00,50.0%
XA-V-90-4,"TRAILER LEG CRANK HANDLE","HD-Trailer Comp",—,2.00,$37.97,$67.80,$75.94,$135.60,$59.66,44.0%
562.6013,"WHEEL CHOCK CONTOUR (GT-2049)","HD-Truck Accessories","Iview Commercial",4.00,$18.98,$35.81,$75.92,$143.24,$67.32,47.0%
HIB-9858962,"EMERGENCY STOP BUTTON","HD-Equipment & Hydraulics","Iuboro Transport",1.00,$75.83,$126.39,$75.83,$126.39,$50.56,40.0%
3328637,"Cap Screw, Hex Flange Head","HD-Engine Comp","Xistone Consulting",5.00,$15.14,$26.10,$75.70,$130.50,$54.80,42.0%
750.KT2636,"PINION NUT KIT (40X1025, KIT2636)","HD-Drive Train","Iview Commercial",4.00,$18.91,$35.68,$75.64,$142.72,$67.08,47.0%
IOL122887,"15W40 OIL",HD-Fluids,—,27.00,$2.80,$5.96,$75.60,$160.92,$85.32,53.0%
562.U65092,"5"" MUFFLER INLET/OUTLET 9"" B",HD-Exhaust,"Iview Commercial",1.00,$75.59,$121.92,$75.59,$121.92,$46.33,38.0%
CC2638X,"Restore Plus Cooling System Cleaner","HD-Shop Supply","Enson Forestry",2.50,$30.21,$75.53,$75.53,$188.83,$113.30,60.0%
FF5825NN,"Fuel Filter, Short, Cummins ISX15/X12/X15",HD-Filters,"Enson Forestry",1.00,$75.52,$116.19,$75.52,$116.19,$40.67,35.0%
562.U4590S20A,"5"" PD ECHAUST ELBOW, 90 DEGREE (EP50EL90220A)",HD-Exhaust,"Iview Commercial",1.00,$75.47,$121.73,$75.47,$121.73,$46.26,38.0%
FS1994290,"Spin-On Fuel/Water Separator, Hino",HD-Filters,"Rafalls Equipment",2.00,$37.69,$62.82,$75.38,$125.64,$50.26,40.0%
54172,"Grote Select™ Oval LED Stop Tail Turn Light, Red, PL-3","HD-Lighting & Electrical",—,4.00,$18.84,$35.55,$75.36,$142.20,$66.84,47.0%
N63533-08-08,"#08 BW CRIMP COUPLING X #08 FEMALE JIC SWIVEL 90","HD-Hose & Fittings","Humoor Energy",7.00,$10.76,$20.69,$75.32,$144.83,$69.51,48.0%
CS8SC-062-300,"5/8""X3"" NC BOLT (GR8, HEX)",HD-Fasteners,"Aiboro Rentals",66.00,$1.14,$2.43,$75.24,$160.38,$85.14,53.1%
NL4860-075,"3/4"" BLACK HEATER HOSE (1.03"" OD)","HD-Hose & Fittings","Humoor Energy",44.00,$1.71,$3.64,$75.24,$160.16,$84.92,53.0%
2--110500,"SPRING BRAKE VALVE","HD-Heavy Duty Brake Comp","Zoburg Maintenance",1.00,$75.20,$121.29,$75.20,$121.29,$46.09,38.0%
564.46057,"HEADLAMP LH FREIGHTLINER (A06-51907-006)","HD-Lighting & Electrical","Iview Commercial",1.00,$75.20,$119.36,$75.20,$119.36,$44.16,37.0%
564.46058,"HEADLAMP RH FREIGHTLINER (A06-51907-007)","HD-Lighting & Electrical","Iview Commercial",1.00,$75.20,$119.36,$75.20,$119.36,$44.16,37.0%
