C-ID,Link,Project,How it entered scope,Title,D1 USEFUL,D2 MAKES SENSE,D3 GENUINE+LAYMAN,Automation marker,Reason (blank = no exception found)
C30281,https://shopview.testrail.io/index.php?/cases/view/30281,ReportSuite,CHANGED today,"PDF footer on every page, default-logo fallback, and deterministic PDF filenames",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8982),
C30285,https://shopview.testrail.io/index.php?/cases/view/30285,ReportSuite,CHANGED today,"Summary CSV: file name, UTF-8 BOM, verbatim headers, one row per rep",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8880),
C30286,https://shopview.testrail.io/index.php?/cases/view/30286,ReportSuite,CHANGED today,"Expanded CSV: file name, verbatim headers, one row per invoice",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8972),
C30287,https://shopview.testrail.io/index.php?/cases/view/30287,ReportSuite,CHANGED today,"CSV cells: plain numbers, signed Inv. Hrs, empty Margin %, (Inactive)",KEEP,FIX-WORDING,PASS,READY - EXPECT FAIL (SV-8823),REPAIRED THIS PASS. Same wrong-report block on a Sales By Representative case.
C30288,https://shopview.testrail.io/index.php?/cases/view/30288,ReportSuite,CHANGED today,The Unassigned row appears in both CSV downloads only when the toggle is on,KEEP,SENSIBLE,PASS,READY,
C30290,https://shopview.testrail.io/index.php?/cases/view/30290,ReportSuite,CHANGED today,Over-cap Expanded View PDF is refused with the too-large message,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8818),
C30293,https://shopview.testrail.io/index.php?/cases/view/30293,ReportSuite,CHANGED today,"Sales Representative Assignments CSV: file name, headers, success toast",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8983),
C30298,https://shopview.testrail.io/index.php?/cases/view/30298,ReportSuite,CHANGED today,"Empty state: verbatim message, no grand Totals, toolbar stays interactive",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8973),
C30304,https://shopview.testrail.io/index.php?/cases/view/30304,ReportSuite,CHANGED today,Touch targets are at least 44×44 px and touch users get no hover-only tooltips,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8979),
C30305,https://shopview.testrail.io/index.php?/cases/view/30305,ReportSuite,CHANGED today,Layout: white toolbar; blue-grey page; separator; edge-to-edge white table,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8980),
C30307,https://shopview.testrail.io/index.php?/cases/view/30307,ReportSuite,CHANGED today,Every icon-only control carries its specified accessible name,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8975),
C30320,https://shopview.testrail.io/index.php?/cases/view/30320,ReportSuite,CHANGED today,"The Expanded View PDF's 10,000-row cap is enforced server-side BEFORE generation",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8818),
C30337,https://shopview.testrail.io/index.php?/cases/view/30337,ReportSuite,CHANGED today,"Location filter is rightmost, defaults to the active location, accessible-only",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8939),
C30347,https://shopview.testrail.io/index.php?/cases/view/30347,ReportSuite,CHANGED today,Description; Category and Vendor truncate on hover; Part # never does,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8940),
C30352,https://shopview.testrail.io/index.php?/cases/view/30352,ReportSuite,CHANGED today,First visit shows exactly the 14 default columns in the specified order,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8938),
C30379,https://shopview.testrail.io/index.php?/cases/view/30379,ReportSuite,CHANGED today,"PDF: filename, A3 landscape, title, text truncation, and the shop logo",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8934),
C30380,https://shopview.testrail.io/index.php?/cases/view/30380,ReportSuite,CHANGED today,CSV is named velocity-report.csv and holds full untruncated text values,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8935),
C30384,https://shopview.testrail.io/index.php?/cases/view/30384,ReportSuite,CHANGED today,Export toasts: exact success texts; server or fallback error text on failure,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8936),
C30394,https://shopview.testrail.io/index.php?/cases/view/30394,ReportSuite,CHANGED today,First visit defaults to the This Month preset and the user's active location,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8943),
C30418,https://shopview.testrail.io/index.php?/cases/view/30418,ReportSuite,CHANGED today,Each technician row has an accessible expand/collapse control,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8953),
C30421,https://shopview.testrail.io/index.php?/cases/view/30421,ReportSuite,CHANGED today,One control in the table header expands or collapses all technician rows,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8953),
C30423,https://shopview.testrail.io/index.php?/cases/view/30423,ReportSuite,CHANGED today,Filter by Technician starts with every technician selected on a first visit,KEEP,SENSIBLE,PASS,READY,
C30424,https://shopview.testrail.io/index.php?/cases/view/30424,ReportSuite,CHANGED today,Deselecting a technician hides the row and recalculates the Summary,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8946),
C30425,https://shopview.testrail.io/index.php?/cases/view/30425,ReportSuite,CHANGED today,All technicians and Clear all controls set every technician on or off,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8947),
C30430,https://shopview.testrail.io/index.php?/cases/view/30430,ReportSuite,CHANGED today,"Same range, single location, closed records: Total Hours matches Timesheet",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8944),
C30434,https://shopview.testrail.io/index.php?/cases/view/30434,ReportSuite,CHANGED today,"Three-dot menu is leftmost, then Column Selection; four download options",KEEP,SENSIBLE,PASS,READY,
C30435,https://shopview.testrail.io/index.php?/cases/view/30435,ReportSuite,CHANGED today,The Summary PDF holds the technician rows plus the Summary,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8950),
C30436,https://shopview.testrail.io/index.php?/cases/view/30436,ReportSuite,CHANGED today,"The CSV is always summary-level, quotes comma-containing values",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8951),
C30437,https://shopview.testrail.io/index.php?/cases/view/30437,ReportSuite,CHANGED today,"Downloads cover only selected technicians, locations, and date range",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8948),
C30438,https://shopview.testrail.io/index.php?/cases/view/30438,ReportSuite,CHANGED today,Downloads always order rows Technician A to Z; the on-screen sort is ignored,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8949),
C30440,https://shopview.testrail.io/index.php?/cases/view/30440,ReportSuite,CHANGED today,Choosing a download with no technician selected is a silent no-op,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8948),
C30441,https://shopview.testrail.io/index.php?/cases/view/30441,ReportSuite,CHANGED today,A starting download notifies; a failed one shows the failure message,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8952),
C30450,https://shopview.testrail.io/index.php?/cases/view/30450,ReportSuite,CHANGED today,Date-range and location changes trigger a fresh server load,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8945),
C30452,https://shopview.testrail.io/index.php?/cases/view/30452,ReportSuite,CHANGED today,Four tabs in a fixed order with the partially-completed tab selected,KEEP,SENSIBLE,PASS,READY,
C30458,https://shopview.testrail.io/index.php?/cases/view/30458,ReportSuite,CHANGED today,Each qualifying work order appears exactly once in exactly one tab,KEEP,SENSIBLE,PASS,"HOLD - the specification states two different tab-placement rules (whole work order by status, or per line state) and the product owner has been asked which governs",
C30462,https://shopview.testrail.io/index.php?/cases/view/30462,ReportSuite,CHANGED today,"Status-to-tab mapping: Estimate, Complete, In Progress and Review work orders",KEEP,SENSIBLE,PASS,"HOLD - the specification states two different tab-placement rules (whole work order by status, or per line state) and the product owner has been asked which governs",
C30464,https://shopview.testrail.io/index.php?/cases/view/30464,ReportSuite,CHANGED today,Approved started-boundary: time or part received vs neither decides the tab,KEEP,SENSIBLE,PASS,"HOLD - the specification states two different tab-placement rules (whole work order by status, or per line state) and the product owner has been asked which governs",
C30466,https://shopview.testrail.io/index.php?/cases/view/30466,ReportSuite,CHANGED today,"With all toggleable columns on, the fixed column order and alignment hold",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8987),
C30467,https://shopview.testrail.io/index.php?/cases/view/30467,ReportSuite,CHANGED today,First visit shows the default columns; the rest are in the column selector,KEEP,SENSIBLE,PASS,HOLD - the build does not follow the ratified Location rule; the defect is written up in DEFECTS-FOR-PERMISSION.md and needs the QA lead's permission before a ticket exists to point at,
C30468,https://shopview.testrail.io/index.php?/cases/view/30468,ReportSuite,CHANGED today,The WO # is a link that opens the WO in the same browser tab,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8967),
C30481,https://shopview.testrail.io/index.php?/cases/view/30481,ReportSuite,CHANGED today,Inv. Hrs shows quoted minus worked hours; signed to one decimal,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8989),
C30488,https://shopview.testrail.io/index.php?/cases/view/30488,ReportSuite,CHANGED today,Total Earned is the hero figure and equals the started-stage figures summed,KEEP,SENSIBLE,PASS,READY,
C30489,https://shopview.testrail.io/index.php?/cases/view/30489,ReportSuite,CHANGED today,Total Remaining equals Not Started plus Started — Remaining,KEEP,SENSIBLE,PASS,READY,
C30490,https://shopview.testrail.io/index.php?/cases/view/30490,ReportSuite,CHANGED today,Each per-stage figure equals the matching tab's money total,KEEP,SENSIBLE,PASS,READY,
C30491,https://shopview.testrail.io/index.php?/cases/view/30491,ReportSuite,CHANGED today,"The Estimates figure is the Estimates tab's total quoted value, shown muted",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8988),
C30498,https://shopview.testrail.io/index.php?/cases/view/30498,ReportSuite,CHANGED today,The Advisor filter lists the advisors in the loaded jobs; screen only,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8968),
C30499,https://shopview.testrail.io/index.php?/cases/view/30499,ReportSuite,CHANGED today,"Customer filter is a type-ahead multi-select reading ""All customers""",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8969),
C30500,https://shopview.testrail.io/index.php?/cases/view/30500,ReportSuite,CHANGED today,Asset filter shows Unit # and VIN and matches text against either one,KEEP,SENSIBLE,PASS,"READY - EXPECT FAIL (SV-8908, SV-8968)",
C30505,https://shopview.testrail.io/index.php?/cases/view/30505,ReportSuite,CHANGED today,"Advisor, customer and asset filters AND together and recompute strip and Totals",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8968),
C30510,https://shopview.testrail.io/index.php?/cases/view/30510,ReportSuite,CHANGED today,Work In Progress: a three-dot menu holds Download (PDF) and Download (CSV),KEEP,CONTRADICTION,PASS,READY,WIP download family split. Says each menu option downloads a file (marker READY); C30512/13/14/18 say nothing downloads on any non-empty tab (EXPECT FAIL SV-8907). Both cannot be true. Flipped to READY today with NO build session.
C30511,https://shopview.testrail.io/index.php?/cases/view/30511,ReportSuite,CHANGED today,"Downloads keep shown columns, honor filters, include the tab's Totals row",KEEP,CONTRADICTION,PASS,READY - EXPECT FAIL (SV-8907),"Same group, moved the OTHER way today (HOLD -> EXPECT FAIL SV-8907)."
C30512,https://shopview.testrail.io/index.php?/cases/view/30512,ReportSuite,CHANGED today,Downloaded money and Inv. Hrs values keep the on-screen formats,KEEP,CONTRADICTION,PASS,READY - EXPECT FAIL (SV-8907),Same group: asserts total download failure.
C30513,https://shopview.testrail.io/index.php?/cases/view/30513,ReportSuite,CHANGED today,Inv. Hrs green/red coloring appears on screen and in the PDF; not the CSV,KEEP,CONTRADICTION,PASS,READY - EXPECT FAIL (SV-8907),Same group: asserts total download failure.
C30514,https://shopview.testrail.io/index.php?/cases/view/30514,ReportSuite,CHANGED today,Days Open in a download is frozen at the moment the file is generated,KEEP,CONTRADICTION,PASS,READY - EXPECT FAIL (SV-8907),Same group: asserts total download failure.
C30515,https://shopview.testrail.io/index.php?/cases/view/30515,ReportSuite,CHANGED today,"The downloaded files are named ""wip-2-report.pdf"" and ""wip-2-report.csv""",KEEP,CONTRADICTION,PASS,READY,"Same group as C30510. Asserts the downloaded file names, i.e. that a file is produced; flipped EXPECT FAIL -> READY today with no build observation."
C30516,https://shopview.testrail.io/index.php?/cases/view/30516,ReportSuite,CHANGED today,"Export headers read ""Unit"" and ""Branch"" — documented limitation, do not file",KEEP,CONTRADICTION,PASS,READY,Same group. Asserts export header labels - contents of a downloaded file - while four siblings say no file is produced. Flipped today with no build observation.
C30517,https://shopview.testrail.io/index.php?/cases/view/30517,ReportSuite,CHANGED today,The PDF shows the shop logo at the top when one is set,KEEP,CONTRADICTION,PASS,READY,"Same group. Asserts the PDF shows the logo, i.e. a PDF exists. Flipped today with no build observation."
C30518,https://shopview.testrail.io/index.php?/cases/view/30518,ReportSuite,CHANGED today,"Export notifications: success caption, ""Empty export"" warning",KEEP,CONTRADICTION,PASS,READY - EXPECT FAIL (SV-8907),Same group: asserts total download failure.
C30519,https://shopview.testrail.io/index.php?/cases/view/30519,ReportSuite,CHANGED today,Each tab uses an all-white table with no alternating row shading,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8970),
C30523,https://shopview.testrail.io/index.php?/cases/view/30523,ReportSuite,CHANGED today,The WO # link is keyboard-focusable and opens the work order,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8967),
C30528,https://shopview.testrail.io/index.php?/cases/view/30528,ReportSuite,CHANGED today,Nightly snapshot records one row per then-open job per calendar date,KEEP,SENSIBLE,PASS,HOLD - the nightly capture is written by a background process and nothing in the product reads it back in this version,
C30536,https://shopview.testrail.io/index.php?/cases/view/30536,ReportSuite,CHANGED today,First visit defaults to the current calendar month and the active location,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8931),
C30539,https://shopview.testrail.io/index.php?/cases/view/30539,ReportSuite,CHANGED today,"No qualifying parts, day or location: the no-data message shows and no totals",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8930),
C30551,https://shopview.testrail.io/index.php?/cases/view/30551,ReportSuite,CHANGED today,With every column on they appear in the fixed order with the set alignment,KEEP,FIX-WORDING,FIX-WORDING,READY,"""...non-identity columns.The question is in the round-3 question sheet:"" - no space, and the sentence introducing the question is missing, so ""the question"" has no antecedent. C30511/C30156 carry the complete three-sentence pattern."
C30554,https://shopview.testrail.io/index.php?/cases/view/30554,ReportSuite,CHANGED today,On a first visit the default columns show and the rest stay available,KEEP,FIX-WORDING,FIX-WORDING,READY,"Same orphaned fragment as C30551, AND its body says ""Known issue: the product does not currently do this ... SV-8927"" while the marker is plain READY."
C30556,https://shopview.testrail.io/index.php?/cases/view/30556,ReportSuite,CHANGED today,"Totals row: Total label, blank identity/per-unit cells, pinned bold Total Cost",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8926),
C30562,https://shopview.testrail.io/index.php?/cases/view/30562,ReportSuite,CHANGED today,The report values inventory as of the END of the selected range,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8820),
C30564,https://shopview.testrail.io/index.php?/cases/view/30564,ReportSuite,CHANGED today,For a past date the report replays the closest recorded day on or before it,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8820),
C30565,https://shopview.testrail.io/index.php?/cases/view/30565,ReportSuite,CHANGED today,"""As of"" indicator names the day shown; hidden when it matches the ask",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8820),
C30566,https://shopview.testrail.io/index.php?/cases/view/30566,ReportSuite,CHANGED today,A Custom range values stock as of the picked end date; capped at today,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8820),
C30574,https://shopview.testrail.io/index.php?/cases/view/30574,ReportSuite,CHANGED today,The Location filter is a rightmost multi-select with an All locations toggle,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8931),
C30581,https://shopview.testrail.io/index.php?/cases/view/30581,ReportSuite,CHANGED today,The report remembers all filters; columns and sort per browser,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8928),
C30582,https://shopview.testrail.io/index.php?/cases/view/30582,ReportSuite,CHANGED today,Defensive restore: a stale saved category or vendor is dropped on load,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8929),
C30587,https://shopview.testrail.io/index.php?/cases/view/30587,ReportSuite,CHANGED today,Inventory Value: a three-dot menu holds Download (PDF) and Download (CSV),KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8818),
C30588,https://shopview.testrail.io/index.php?/cases/view/30588,ReportSuite,CHANGED today,"Downloads keep shown columns and order, honor filters, and include Totals",KEEP,FIX-WORDING,PASS,READY,"Body says ""Known issue: the product does not currently do this ... SV-8823"" while the marker is plain READY, with no Rule-61 three outcomes."
C30589,https://shopview.testrail.io/index.php?/cases/view/30589,ReportSuite,CHANGED today,Export number formats: money to 2 decimals; Margin % to 1 with em-dash,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8823),
C30590,https://shopview.testrail.io/index.php?/cases/view/30590,ReportSuite,CHANGED today,PDF header shows report name; org; period and an as-of line; logo if set,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8818),
C30591,https://shopview.testrail.io/index.php?/cases/view/30591,ReportSuite,CHANGED today,Downloaded files are named inventory-value-report.pdf and .csv,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8818),
C30593,https://shopview.testrail.io/index.php?/cases/view/30593,ReportSuite,CHANGED today,An over-cap set produces no file and shows the too-large-to-export message,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8818),
C30595,https://shopview.testrail.io/index.php?/cases/view/30595,ReportSuite,CHANGED today,Download notifications: verbatim success and failure texts per format,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8818),
C30599,https://shopview.testrail.io/index.php?/cases/view/30599,ReportSuite,CHANGED today,Long Description; Category and Vendor truncate on hover; Part # never does,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8932),
C30601,https://shopview.testrail.io/index.php?/cases/view/30601,ReportSuite,CHANGED today,Each sortable header exposes its sort state and shows the direction,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8932),
C38856,https://shopview.testrail.io/index.php?/cases/view/38856,ReportSuite,CHANGED today,Summary and Expanded View downloads exist for both PDF and CSV,KEEP,SENSIBLE,PASS,READY,
C38859,https://shopview.testrail.io/index.php?/cases/view/38859,ReportSuite,CHANGED today,"Column Selection: Technician always on, the other five toggleable, remembered",KEEP,SENSIBLE,PASS,READY,
C38885,https://shopview.testrail.io/index.php?/cases/view/38885,ReportSuite,CHANGED today,An over-cap Parts Velocity export is refused with the too-large message,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8818),
C38887,https://shopview.testrail.io/index.php?/cases/view/38887,ReportSuite,CHANGED today,An over-cap Technician Utilization export is refused with the too-large message,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8818),
C38894,https://shopview.testrail.io/index.php?/cases/view/38894,ReportSuite,CHANGED today,A clock-record edit after invoicing updates Inv. Hrs; billed money stays put,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8999),
C38912,https://shopview.testrail.io/index.php?/cases/view/38912,ReportSuite,CHANGED today,"Location column: shown to any multi-location user, Multiple on aggregating rows",KEEP,SENSIBLE,PASS,HOLD - the build does not follow the ratified Location rule; the defect is written up in DEFECTS-FOR-PERMISSION.md and needs the QA lead's permission before a ticket exists to point at,
C38913,https://shopview.testrail.io/index.php?/cases/view/38913,ReportSuite,CHANGED today,Location column: shown to any multi-location user; toggleable; rep rows Multiple,KEEP,SENSIBLE,PASS,READY,
C38914,https://shopview.testrail.io/index.php?/cases/view/38914,ReportSuite,CHANGED today,Location column: leftmost before Type; own location per row; Multiple on merged,KEEP,FIX-WORDING,PASS,READY - EXPECT FAIL (SV-8938),REPAIRED THIS PASS. Only EXPECT-FAIL case of 107 with no Rule-61 symptom and no three outcomes.
C38915,https://shopview.testrail.io/index.php?/cases/view/38915,ReportSuite,CHANGED today,Location column: leftmost for a multi-location user; Summary row blank,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8954),
C38916,https://shopview.testrail.io/index.php?/cases/view/38916,ReportSuite,CHANGED today,Location column names each work order's location and never reads Multiple,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8954),
C38917,https://shopview.testrail.io/index.php?/cases/view/38917,ReportSuite,CHANGED today,Location column: shown to any multi-location user; toggleable; never Multiple,KEEP,SENSIBLE,PASS,READY,
C38918,https://shopview.testrail.io/index.php?/cases/view/38918,ReportSuite,CHANGED today,An over-cap Work In Progress download is refused with the too-large message,KEEP,SENSIBLE,PASS,HOLD - the over-size refusal cannot be produced on this environment; no tab comes near the size limit,
C43547,https://shopview.testrail.io/index.php?/cases/view/43547,ReportSuite,CHANGED today,A large PDF download fails outright while the CSV of the same view works,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8818),
C43548,https://shopview.testrail.io/index.php?/cases/view/43548,ReportSuite,CHANGED today,A large Inventory Value PDF fails instead of being refused politely,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8818),
C43551,https://shopview.testrail.io/index.php?/cases/view/43551,ReportSuite,CHANGED today,A hand-made Location column choice is remembered like any other column,KEEP,SENSIBLE,PASS,HOLD - the build does not follow the ratified Location rule; the defect is written up in DEFECTS-FOR-PERMISSION.md and needs the QA lead's permission before a ticket exists to point at,
C43552,https://shopview.testrail.io/index.php?/cases/view/43552,ReportSuite,CHANGED today,Both spreadsheet downloads hold the summary rows and no per-day rows,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8951),
C43557,https://shopview.testrail.io/index.php?/cases/view/43557,ReportSuite,CHANGED today,"The WO # is plain text, not a link, without Work Order permission",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8967),
C43591,https://shopview.testrail.io/index.php?/cases/view/43591,ReportSuite,CREATED today,Clear all leaves neither Product Type toggle on and shows the empty state,KEEP,SENSIBLE,PASS,READY,
C43592,https://shopview.testrail.io/index.php?/cases/view/43592,ReportSuite,CREATED today,"A fixed-price line is valued at its fixed amount, not at picked parts or hours",KEEP,SENSIBLE,PASS,READY,
C43593,https://shopview.testrail.io/index.php?/cases/view/43593,ReportSuite,CREATED today,A fixed-price line with no invoiced hours earns all at once when it is completed,KEEP,SENSIBLE,PASS,READY,
C43594,https://shopview.testrail.io/index.php?/cases/view/43594,ReportSuite,CREATED today,Core charges count in parts value and a core decision never moves the figures,KEEP,SENSIBLE,PASS,READY,
