"Section","Title","Priority","Type","Preconditions","Steps","Expected Result","References"
"Technician","Verify all pricing and financial data is hidden from Technician on a work order","Critical","Regression","Log in to ShopView as a user assigned the Technician role. (this role has See Financial Data OFF).
At least one work order exists that contains labor and part lines with prices entered.","1. Click Work Orders and open a work order.
2. Look at each line's price fields.
3. Look at the Total, Labor, and Parts columns.
4. Look for the Finance card.
5. Look for the Stats tab.","1. The work order opens.
2. Line prices are hidden or blank - no dollar amounts are shown.
3. The Total, Labor, and Parts columns show no money values.
4. The Finance card shows no financial amounts (or is not shown).
5. The Stats tab shows no financial figures (or is not shown). No money value is visible anywhere.","SV-5319"
"Technician","Verify the Estimate column shows Tech Time and labor rates are hidden for Technician","Critical","Regression","Log in to ShopView as a user assigned the Technician role. (this role uses Tech View).
At least one work order exists that contains labor and part lines with prices entered.","1. Open a work order and open a line.
2. Look at the Estimate column.
3. Look for labor rate columns and fields.","1. The line opens in Tech View.
2. The Estimate column shows Tech Time, NOT the estimate money value.
3. Labor rate columns/fields are hidden.","SV-5319"
"Technician","Verify Technician cannot approve or authorize a work order line","Critical","Regression","Log in to ShopView as a user assigned the Technician role. (Tech View users cannot approve work order lines).
At least one work order exists that contains labor and part lines with prices entered.
The work order has a line awaiting approval.","1. Open the work order and locate the line awaiting approval.
2. Look for an Approve/Authorize action on the line.","The Approve/Authorize action is hidden - the Technician has no way to approve or authorize the line.","SV-5319"
"Technician","Verify Technician cannot change a work order line status","Critical","Regression","Log in to ShopView as a user assigned the Technician role. (Tech View blocks line status changes).
At least one work order exists that contains labor and part lines with prices entered.","1. Open the work order and locate a line.
2. Try to change the line's status.","Changing the line status is BLOCKED: the status control is hidden, disabled, or returns a permission error.","SV-5319"
"Technician","Verify Technician cannot edit an existing work order line","High","Regression","Log in to ShopView as a user assigned the Technician role. (Tech View users can only create new lines, not edit existing ones).
At least one work order exists that contains labor and part lines with prices entered.","1. Open the work order and open an existing line.
2. Try to edit any field on the line.","The existing line is read-only: edits are blocked or the fields are not editable.","SV-5319"
"Technician","Verify Technician can create a new work order line","High","Regression","Log in to ShopView as a user assigned the Technician role. (Tech View users can create new lines).
At least one work order exists.","1. Open the work order.
2. Click the option to add a new line.
3. Enter a line description and save.","The new line is created successfully and appears on the work order.","SV-5319"
"Technician","Verify Technician cannot edit work order header fields","High","Regression","Log in to ShopView as a user assigned the Technician role. (this role has Work Orders = View only - no Create and Edit).
At least one work order exists.","1. Open a work order.
2. Try to change the Lead Technician in the header.
3. Try to change the Service Advisor.
4. Try to change the Customer.
5. Try to change the Asset.","All header edits are BLOCKED: the fields are read-only/disabled or attempting a change returns a permission error.","SV-5319"
"Technician","Verify the Send to Portal button is not visible for Technician","High","Regression","Log in to ShopView as a user assigned the Technician role. (Send to Portal requires Full View; Technician has Tech View).
At least one work order exists.","1. Open a work order.
2. Look for the Send to Portal button.","The Send to Portal button is NOT visible anywhere on the work order.","SV-5319"
"Technician","Verify Technician can pick a part on a work order line","Medium","Smoke","Log in to ShopView as a user assigned the Technician role. (this role has Pick Parts ON - the only parts action allowed).
At least one work order exists that contains labor and part lines with prices entered.
A part is available in inventory to pick. Note: an OVER LIMIT badge on the customer does not block picking parts.","1. Open a work order line and open the parts actions.
2. Click Pick, select the part and quantity, and confirm.","The part is picked onto the line successfully.","SV-5319"
"Technician","Verify Technician cannot order a part on a work order line","Medium","Smoke","Log in to ShopView as a user assigned the Technician role. (this role has Order Parts OFF).
At least one work order exists that contains labor and part lines with prices entered.","1. Open a work order line and open the parts actions.
2. Look for an Order option; if present, click it.","Ordering a part is BLOCKED: the Order action is hidden/disabled or returns a permission error.","SV-5319"
"Technician","Verify global search still returns results for Technician after the empty-results change","High","Regression","Log in to ShopView as a user assigned the Technician role.
Customers and work orders exist that match the search term.
Context: a build change makes global search return EMPTY results for the Time Clock role - confirm Technician is not also affected.","1. Click the top search bar.
2. Type the name of an existing customer and press Enter.
3. Type the number of an existing work order and press Enter.","Global search returns the matching customer and work order for Technician (results are NOT empty). Only the Time Clock role should return empty search results.","SV-5319"
"Technician","Verify Technician can enter mileage and engine hours on a new work order line","High","Regression","Log in to ShopView as a user assigned the Technician role. (mileage/engine hours are gated by Work Order Lines: Create and Edit per spec v33, which Technician has; Tech View makes EXISTING lines read-only, so test on a NEW line).
At least one work order exists.","1. Open a work order and add a NEW line.
2. Enter a Mileage value on the new line and save.
3. Enter an Engine Hours value and save.
4. Open an EXISTING (previously saved/approved) line and try the same edits.","1. A new line is created.
2. Mileage saves successfully on the new line.
3. Engine Hours saves successfully on the new line.
4. On the existing line the fields are read-only (Tech View caveat) - record the actual behavior for confirmation.","SV-5319"
"Technician","Verify Technician can return a part from a work order line","Medium","Smoke","Log in to ShopView as a user assigned the Technician role.
A work order line has a part that has been picked/received onto the line.
Note: per spec v33, returning a part from a work order requires NO permission. (Distinct from the SV-7838 403 bug on completing returns.)","1. Open the work order line that has the part.
2. Open the part's action menu, click Return, and confirm.","The part return completes successfully with no 403/permission error.","SV-5319, SV-7838"
"Technician","Verify Technician can create and edit their own work order note","High","Regression","Log in to ShopView as a user assigned the Technician role. (own-note create/edit is gated by Work Orders: View, which this role has).
At least one work order exists.","1. Open a work order and go to the Notes tab.
2. Add a note with the text ""Tech test note"" and save.
3. Edit the note to ""Tech test note - edited"" and save.","The note is created and the edit saves; existing notes are viewable.","SV-5319"
"Technician","Verify Technician cannot edit or delete another user's work order note","High","Regression","Log in to ShopView as a user assigned the Technician role. (edit/delete ALL notes requires Work Orders: Delete, which this role lacks).
A work order exists with a note created by a DIFFERENT user.","1. Open the work order's Notes tab and locate another user's note.
2. Try to edit the note.
3. Try to delete the note.","Both actions are BLOCKED: hidden/disabled controls or a permission error.","SV-5319"
"Parts Manager","Verify Parts Manager can see all pricing and financial data on work orders and parts","Critical","Regression","Log in to ShopView as a user assigned the Parts Manager role. (this role has See Financial Data ON).
At least one work order exists that contains labor and part lines with prices entered.
Parts with prices exist in the catalog.","1. Click Work Orders, open a work order, and check line prices and totals.
2. Click Parts, open the Catalog, and check part prices.","All prices are visible with actual amounts on both work orders and parts.","SV-5319"
"Parts Manager","Verify Parts Manager can create and edit a part","High","Regression","Log in to ShopView as a user assigned the Parts Manager role. (this role has Catalog: View/Create and Edit/Delete).","1. Click Parts and open the Catalog.
2. Click to add a new part, fill in the part name and part number, and save.
3. Open the part you created, change its description, and save.","The part is created and the edit saves successfully.","SV-5319"
"Parts Manager","Verify Parts Manager can delete a part","High","Regression","Log in to ShopView as a user assigned the Parts Manager role. (this role has Catalog: Delete).
A deletable part exists in the catalog (not in use on open documents).","1. Click Parts and open the Catalog.
2. Open the part, click Delete, and confirm.","The part is deleted and removed from the catalog.","SV-5319"
"Parts Manager","Verify Parts Manager can create, edit, and delete a vendor","High","Regression","Log in to ShopView as a user assigned the Parts Manager role. (this role has Vendor and Order Management: View/Create and Edit/Delete).","1. Click Vendors in the main navigation.
2. Click to add a new vendor, fill in the vendor name, and save.
3. Open the vendor, change a field, and save.
4. Delete the vendor and confirm.","The vendor can be created, edited, and deleted with no permission errors.","SV-5319"
"Parts Manager","Verify Parts Manager can delete a part sale","High","Regression","Log in to ShopView as a user assigned the Parts Manager role. (this role has Part Sales: Delete).
At least one part sale record exists.","1. Click Part Sales in the main navigation.
2. Open a part sale, click Delete, and confirm.","The part sale is deleted successfully.","SV-5319"
"Parts Manager","Verify Parts Manager cannot delete a work order","High","Regression","Log in to ShopView as a user assigned the Parts Manager role. (this role has Work Orders = View/Create and Edit, NO Delete).
The work order is in Uncomplete status (a work order must be Uncomplete before it can be deleted).","1. Open the Uncomplete work order.
2. Open the work order action menu and look for a Delete option; if present, click it.","Deleting the work order is BLOCKED: the action is hidden/disabled or returns a permission error.","SV-5319"
"Parts Manager","Verify Parts Manager sees only Parts, Finance, and Data Import in Settings","Medium","Smoke","Log in to ShopView as a user assigned the Parts Manager role. (per this role's Settings sub-toggles).","1. Click the Settings (cog) icon.
2. Note which sub-sections are listed.
3. Open Parts, Finance, and Data Import.
4. Look for App Settings and Wages.","1. Settings opens.
2. Parts, Finance, and Data Import are available.
3. Each of the three opens successfully.
4. App Settings and Wages are NOT available.","SV-5319"
"Parts Manager","Verify Parts Manager can delete a parts return","High","Regression","Log in to ShopView as a user assigned the Parts Manager role. (deleting a return requires Invoicing & Payments: Delete per spec v33 / SV-7911; this role has it).
At least one parts return record exists under Parts > Returns.","1. Click Parts, open Returns, and open a return record.
2. Click Delete and confirm.","The return is deleted and removed from the Returns list.","SV-5319, SV-7911"
"Parts Manager","Verify Parts Manager cannot reverse a work order invoice","High","Regression","Log in to ShopView as a user assigned the Parts Manager role. (reversing a work order invoice requires Work Orders: Delete per spec v33; this role has NO Work Orders Delete).
The work order already has an invoice created on its Finance tab.","1. Open the work order's Finance tab.
2. Look for a Reverse option on the invoice; if present, click it.","Reversing the work order invoice is BLOCKED: the action is hidden/disabled or returns a permission error.","SV-5319"
"Parts Manager","Verify Parts Manager can reverse a Part Sales invoice","High","Regression","Log in to ShopView as a user assigned the Parts Manager role. (reversing a Part Sales invoice requires Part Sales: Delete per spec v33; this role has it).
At least one Part Sales invoice exists under Part Sales.","1. Click Part Sales and open an existing invoice.
2. Click Reverse and confirm.","The Part Sales invoice is reversed successfully.","SV-5319"
"Parts Technician","Verify Parts Technician can see pricing on parts and work orders","Medium","Smoke","Log in to ShopView as a user assigned the Parts Technician role. (this role has See Financial Data ON).
At least one work order exists that contains labor and part lines with prices entered.
Parts with prices exist.","1. Click Parts, open the Catalog, and check part prices.
2. Click Work Orders, open a work order, and check line prices.","Prices are visible with actual amounts in both places.","SV-5319"
"Parts Technician","Verify Parts Technician can create and edit a part","High","Regression","Log in to ShopView as a user assigned the Parts Technician role. (this role has Catalog: View/Create and Edit - no Delete).","1. Click Parts and open the Catalog.
2. Click to add a new part, fill in the part name and part number, and save.
3. Open the part, change its description, and save.","The part is created and the edit saves successfully.","SV-5319"
"Parts Technician","Verify Parts Technician cannot delete a part","High","Regression","Log in to ShopView as a user assigned the Parts Technician role. (this role has NO Catalog: Delete).
A part exists in the catalog.","1. Click Parts and open the Catalog.
2. Open a part and look for a Delete option; if present, click it.","Deleting the part is BLOCKED: the Delete action is hidden/disabled or returns a permission error.","SV-5319"
"Parts Technician","Verify Parts Technician can pick a part on a work order line","Medium","Smoke","Log in to ShopView as a user assigned the Parts Technician role. (this role has Pick Parts ON).
At least one work order exists that contains labor and part lines with prices entered.
A part is available in inventory to pick. Note: an OVER LIMIT badge on the customer does not block picking parts.","1. Open a work order line and open the parts actions.
2. Click Pick, select the part and quantity, and confirm.","The part is picked onto the line successfully.","SV-5319"
"Parts Technician","Verify Parts Technician can order a part on a work order line","Medium","Smoke","Log in to ShopView as a user assigned the Parts Technician role. (this role has Order Parts ON).
At least one work order exists that contains labor and part lines with prices entered.","1. Open a work order line and open the parts actions.
2. Click Order, select part/vendor/quantity, and confirm.","The part order is created successfully.","SV-5319"
"Parts Technician","Verify Parts Technician cannot delete a parts return","High","Regression","Log in to ShopView as a user assigned the Parts Technician role. (deleting a return requires Invoicing & Payments: Delete per spec v33 / SV-7911; this role has Invoicing = View/Create and Edit, NO Delete - this REVERSES the pre-v33 expectation).
At least one parts return record exists under Parts > Returns.","1. Click Parts, open Returns, and open a return record.
2. Look for a Delete option; if present, click it.","Deleting the return is BLOCKED: the Delete control is absent/disabled or returns a permission error. (Known failure SV-7911 was raised when this was allowed - retest.)","SV-5319, SV-7911"
"Parts Technician","Verify Parts Technician can return a part from a work order line","Medium","Smoke","Log in to ShopView as a user assigned the Parts Technician role.
A work order line has a part that has been picked/received onto the line.
Note: per spec v33, returning a part from a work order requires NO permission. (Distinct from SV-7838 and from deleting a Parts > Returns record, which needs Invoicing Delete.)","1. Open the work order line that has the part.
2. Open the part's action menu, click Return, and confirm.","The part return completes successfully.","SV-5319"
"Parts Technician","Verify Parts Technician can create a Part Sales invoice","Medium","Smoke","Log in to ShopView as a user assigned the Parts Technician role. (this role's Invoicing: Create and Edit is scoped to the Part Sales invoice path per SV-7903 - works as designed; work order invoices are the Service Advisor's job).
A customer and a RECEIVED part with a part number exist (parts must be received with a part number before invoicing).","1. Click Part Sales in the main navigation.
2. Click to create a new Part Sales invoice.
3. Add the part and customer and save the invoice.","The Part Sales invoice is created successfully.","SV-5319, SV-7903"
"Office","Verify Office sees Settings, Staff, and Roles & Permissions in the Settings menu","High","Regression","Log in to ShopView as a user assigned the Office role. (this role has App Settings ON; Service/Parts items follow its sub-toggles). Note: Departments/Locations grouping is under review (SV-7781).","1. Click the Settings (cog) icon.
2. Note which items appear in the menu.
3. Open Staff and Roles & Permissions.","Settings, Staff, and Roles & Permissions are visible and open successfully. Service/Parts items appear only per the role's sub-toggles.","SV-5319, SV-7781, SV-7809"
"Office","Verify Office can create and edit a customer","High","Regression","Log in to ShopView as a user assigned the Office role. (this role has Customers: View/Create and Edit/Delete).","1. Click Customers in the main navigation.
2. Click to add a new customer, fill in the customer name, and save.
3. Open the customer, change a field, and save.","The customer is created and the edit saves successfully.","SV-5319"
"Office","Verify Office can delete a customer","High","Regression","Log in to ShopView as a user assigned the Office role. (this role has Customers: Delete).
A deletable customer exists (no blocking open documents).","1. Click Customers and open the customer.
2. Click Delete and confirm.","The customer is deleted and removed from the Customers list.","SV-5319"
"Office","Verify the Send to Portal button is not available for Office","High","Regression","Log in to ShopView as a user assigned the Office role. (Office has Full View but cannot approve a work order line - Review WOs is OFF and Work Order Lines is View only - so Send to Portal must not be available).
At least one work order exists.","1. Open a work order.
2. Look for the Send to Portal button.","The Send to Portal button is NOT available for the Office role.","SV-5319"
"Office","Verify Office cannot edit a part (catalog is view-only)","Medium","Smoke","Log in to ShopView as a user assigned the Office role. (this role has Catalog and Inventory = View only).
A part exists in the catalog.","1. Click Parts and open the Catalog.
2. Open a part and try to edit any field.","Editing is BLOCKED: fields are read-only/disabled or saving returns a permission error. The part details remain viewable.","SV-5319"
"Office","Verify Office can open AP/AR reports and customer AP/AR tabs","Medium","Smoke","Log in to ShopView as a user assigned the Office role. (this role has Manage Accounts Payable and Receivable ON).
Invoice/payment data exists.","1. Click Reports and open the AR Aging and AP Aging reports.
2. Click Customers, open a customer, and open the Unpaid Invoices / Payments / Credits tabs.","The AP/AR reports open with data, and the customer AP/AR tabs are visible and open successfully.","SV-5319"
"Office","Verify Office can create and edit their own work order note","Medium","Smoke","Log in to ShopView as a user assigned the Office role. (own-note create/edit is gated by Work Orders: View, which this role has).
At least one work order exists.","1. Open a work order and go to the Notes tab.
2. Add a note with the text ""Office test note"" and save.
3. Edit the note to ""Office test note - edited"" and save.","The note is created and the edit saves successfully. (Known failure SV-8018 was raised in this area - retest.)","SV-5319, SV-8018"
"Office","Verify Office cannot edit or delete another user's work order note","Medium","Smoke","Log in to ShopView as a user assigned the Office role. (edit/delete ALL notes requires Work Orders: Delete; Office has Work Orders View only).
A work order exists with a note created by a DIFFERENT user.","1. Open the work order's Notes tab and locate another user's note.
2. Try to edit the note.
3. Try to delete the note.","Both actions are BLOCKED: hidden/disabled controls or a permission error. (Known failure SV-8018 was raised when this was allowed - retest.)","SV-5319, SV-8018"
"Office","Verify Office can see sensitive vendor fields (Credit Terms, Credit Limit, Taxes)","Medium","Smoke","Log in to ShopView as a user assigned the Office role. (sensitive vendor fields are gated by Manage AP/AR per spec v33; Office has Manage AP/AR ON).
At least one vendor exists with credit terms/limit and tax values set.","1. Click Vendors and open a vendor.
2. Look at the vendor's Overview card.
3. Open the vendor's Edit view and look for Credit Terms, Credit Limit, and Taxes.","Credit Terms, Credit Limit, and Taxes are VISIBLE to Office in both the Overview card and the Edit view. (Known failure SV-8133 was raised when they were hidden - retest.)","SV-5319, SV-8133"
"Sales Representative","Verify Work Orders is not shown in navigation for Sales Representative","High","Regression","Log in to ShopView as a user assigned the Sales Representative role. (this role has Work Orders = Off).","1. Look at the main navigation.
2. Search the navigation for a Work Orders entry.","Work Orders does NOT appear anywhere in the navigation, and work orders cannot be opened by this role.","SV-5319, SV-8114"
"Sales Representative","Verify Sales Representative can open reports including financial data","High","Regression","Log in to ShopView as a user assigned the Sales Representative role. (this role has Reports ON and See Financial Data ON).
Report data exists.","1. Click Reports in the main navigation.
2. Open several reports, including the AR Aging report.","Reports are accessible and open with financial data visible. No report returns a 403 error. (Known failure SV-7996: AR Aging report threw a 403 - retest.)","SV-5319, SV-7996"
"Sales Representative","Verify Sales Representative can open AP/AR reports","Medium","Smoke","Log in to ShopView as a user assigned the Sales Representative role. (this role has Manage Accounts Payable and Receivable ON).","1. Click Reports.
2. Open the AP Aging and AR Aging reports.","Both AP/AR reports open successfully with no permission error. (Known failure SV-8011 was raised here - retest.)","SV-5319, SV-8011"
"Sales Representative","Verify Parts and Customers sections are hidden from Sales Representative","Medium","Smoke","Log in to ShopView as a user assigned the Sales Representative role. (this role has Customers = Off and Part Sales = Off).","1. Look at the main navigation for Customers.
2. Look at the main navigation for Parts / Part Sales.","Customers and Parts/Part Sales do NOT appear in the navigation (or are not editable if reachable) - the role's scope is limited to reports.","SV-5319"
"Sales Representative","Verify Sales Representative cannot access Vendors or vendor sensitive fields","Medium","Smoke","Log in to ShopView as a user assigned the Sales Representative role. (this role has Vendor & Order Management = Off, so vendor sensitive fields are unreachable regardless of the Manage AP/AR gate introduced in spec v33).","1. Look at the main navigation for a Vendors entry.
2. If a Vendors entry exists, try to open it.","Vendors is not reachable for Sales Representative, so vendor sensitive fields (Credit Terms, Credit Limit, Taxes) can never be displayed to this role.","SV-5319"
"Time Clock","Verify Time Clock user can clock in and clock out","High","Regression","Log in to ShopView as a user assigned the Time Clock role. (this role is limited to clock in/out).","1. Locate the clock control in the top bar.
2. Click Clock In.
3. Click Clock Out.","Both actions succeed: the user clocks in, the status shows as clocked in, and then clocks out successfully.","SV-5319"
"Time Clock","Verify global search returns empty results for Time Clock user","High","Regression","Log in to ShopView as a user assigned the Time Clock role.
Customers and work orders exist in the system that would normally match the search.
Context: a build change makes the Time Clock role return empty search data (FetchData controller).","1. Click the top search bar.
2. Type the name of an existing customer and press Enter.
3. Type an existing work order number and press Enter.","Global search returns EMPTY results for both searches - no customers, work orders, or other records are returned to the Time Clock user.","SV-5319"
"Time Clock","Verify Time Clock navigation shows only Work Orders and Schedule as view-only","High","Regression","Log in to ShopView as a user assigned the Time Clock role. (per spec v39 amendment: Time Clock has Work Orders = View and Schedule = View; everything else is Off).","1. Look at the main navigation and note every visible entry.
2. Open Work Orders (if visible) and confirm it is view-only.
3. Open Schedule (if visible) and confirm it is view-only.
4. Look for Customers, Parts, Reports, and Settings.","1. Only Work Orders and Schedule appear (per spec v39).
2. Work Orders opens in view-only mode - no create/edit/delete actions available.
3. Schedule opens in view-only mode.
4. Customers, Parts, Reports, and Settings are all hidden.","SV-5319"
"Time Clock","Verify no financial data is shown to Time Clock user","Medium","Smoke","Log in to ShopView as a user assigned the Time Clock role. (this role has See Financial Data OFF and View Mode Empty).","1. Open every screen reachable by the Time Clock user (clock control, and Work Orders/Schedule if visible per spec v39).
2. Look for any price, total, or other money value.","No pricing or financial data is displayed on any screen reachable by the Time Clock user.","SV-5319"
"Time Clock","Verify Time Clock user cannot reach work order notes, returns, or inspections","Medium","Smoke","Log in to ShopView as a user assigned the Time Clock role. (Time Clock has Work Orders = View with View Mode empty and everything else Off, so the v33 work-order features are not reachable in practice).","1. Check whether any work order detail content (Notes tab, part returns, digital inspections) can be opened.
2. Check the navigation for Parts > Returns.","None of the v33 work-order features (notes, part returns, inspections) are reachable: the screens are hidden or empty for the Time Clock user.","SV-5319"
