Section,Title,Type,Priority,Preconditions,Steps,Expected Result,References,Internal ID,TestRail Case ID,TestRail Link
Hover Quick-Actions,Hovering a Work Order result shows an 'Add new line' action,Functional,Medium,"1. The palette is open showing at least one Work Order row (in results or in recent activity).
2. A pointer (mouse) is available.","1. Move the pointer over a Work Order row (for example 'S1-644 Fisquare Farms').
2. Look at the right side of the row.","1. A right-aligned 'Add new line' button appears on hover.
2. The action is non-destructive.","requirements.md 5.4 (Work Order -> 'Add new line', only when currently editing a WO elsewhere)",GS-HOVER-01,pending push,
Hover Quick-Actions,Hovering an Asset result shows 'New work order' plus history and checklist icons,Functional,Medium,"1. The palette is open showing at least one Asset row.
2. A pointer is available.","1. Move the pointer over an Asset row (for example '2025 Freightliner M2 - Fisquare Farms').
2. Look at the right side of the row.","1. A 'New work order' button appears on hover.
2. Two secondary icon buttons appear: a clock/history icon and a checklist/tasks icon.
3. The actions are non-destructive.",requirements.md 5.4 (Asset -> 'New work order' + clock (history) and Invoice icons),GS-HOVER-02,pending push,
Hover Quick-Actions,Hovering a Customer result shows 'New work order' (and 'New contact'),Functional,Medium,"1. The palette is open showing at least one Customer row.
2. A pointer is available.","1. Move the pointer over a Customer row (for example 'Adale Transport').
2. Look at the right side of the row.","1. A 'New work order' button appears on hover.
2. A 'New contact' action is available for the customer (per spec).
3. The actions are non-destructive.","requirements.md 5.4 (Customer -> 'New work order', 'New contact')",GS-HOVER-03,pending push,
Hover Quick-Actions,Hovering a catalog part result shows 'Add part',Functional,Medium,"1. The palette is open showing a catalog part-style row.
2. You are NOT currently editing a work order.
3. A pointer is available.","1. Move the pointer over a catalog part row (for example 'P2-58 Toboro Industries').
2. Look at the right side of the row.","1. An 'Add part' button appears on hover.
2. The action is non-destructive.",requirements.md 5.4 (Part -> 'Add part' when not currently editing a WO),GS-HOVER-04,pending push,
Hover Quick-Actions,Hovering a Vendor result shows 'Add contact',Functional,Medium,"1. The palette is open showing at least one Vendor row.
2. A pointer is available.","1. Move the pointer over a Vendor row (for example 'Report Beverages').
2. Look at the right side of the row.","1. An 'Add contact' button appears on hover.
2. The action is non-destructive.",requirements.md 5.4 (Vendor -> 'Add contact'),GS-HOVER-05,pending push,
Hover Quick-Actions,Hovering an inventory part while editing a work order shows 'Add to work order',Functional,Medium,"1. You are currently editing a work order.
2. The palette is open showing an inventory part row (for example 'Rear Shock 65547' with a '72' quantity chip).
3. A pointer is available.","1. Move the pointer over an inventory part row.
2. Look at the right side of the row.","1. An 'Add to work order' button appears on hover.
2. Using it adds the part to the work order you are editing (an inline add, non-destructive).",requirements.md 5.4 (Part -> 'Add to work order' only when currently editing a WO),GS-HOVER-06,pending push,
Hover Quick-Actions,Hover quick-actions never trigger a destructive operation,Functional,Medium,1. The palette is open with rows across several entity types.,"1. Hover each entity row type and review the available quick-action buttons.
2. Note that every quick action is an add/create-style action.","1. No quick action deletes, voids, or otherwise destroys data.
2. Every action offered by a quick action is also reachable from the entity's full record (hover is non-essential).",requirements.md 5.4 (Quick actions never trigger destructive operations; hover state non-essential),GS-HOVER-07,pending push,
In-Page Work Orders List Search,Searching the in-page Work Orders list filters the list and shows a matching banner,Functional,Medium,"1. You are on the Work Orders list page (not the global search palette).
2. Work Orders exist whose text contains 'Fib'.","1. Type 'Fib' into the in-page Work Orders list search field.
2. Read the list and the banner above it.","1. The Work Orders list filters to only rows matching 'Fib'.
2. A blue banner reads 'Showing 12 work orders matching \'Fib\'' (the count reflects the number of matches).
3. A 'Clear search' link appears on the right of the banner.
4. The list columns remain: On Site, Status, Number, Customer, Asset, Unit, VIN/Serial #, Progress, Service Advisor, Lead Technician, Clocked In, Lines, Total Price.",design-notes screenshot 1 (in-page Work Orders list search banner),GS-LIST-01,pending push,
In-Page Work Orders List Search,'Clear search' restores the full in-page Work Orders list,Functional,Low,1. The Work Orders list is filtered by an in-page search (banner 'Showing N work orders matching <q>' is visible).,"1. Click the 'Clear search' link in the banner.
2. Read the list and the banner.","1. The filter is removed and the full Work Orders list is shown again.
2. The 'Showing N work orders matching <q>' banner is removed.",design-notes screenshot 1,GS-LIST-02,pending push,
Error State,"A search failure shows the 'Search unavailable, retry' banner",Negative,Medium,"1. The palette is open.
2. A network/backend failure of the search request can be simulated (for example offline the network or block the search endpoint).","1. With the search backend unreachable, type a query.
2. Read the message shown in the palette.
3. Restore connectivity and use the retry affordance.","1. An inline banner reads 'Search unavailable, retry'.
2. The palette degrades gracefully - it does not crash or show a blank screen.
3. Retrying after connectivity is restored re-runs the search and shows results.","requirements.md 8 (tolerate offline/network failures with an inline 'Search unavailable, retry' banner)",GS-ERR-01,pending push,
Permissions and Role-Based Scoping,A user WITH Parts access sees Parts results in the palette,Functional,High,"1. You are signed in as a user whose role includes Parts access.
2. Parts exist that match the query.","1. Open the palette and type a query that matches parts.
2. Read the results (on the 'All' tab and the 'Parts' tab).","1. A 'Parts' group appears with matching part rows.
2. The 'Parts' scope tab shows the part results.",requirements.md 9 (all result fields respect role-based-access checks),GS-PERM-01,pending push,
Permissions and Role-Based Scoping,A technician WITHOUT Parts access does NOT see Parts results,Negative,Critical,"1. You are signed in as a user whose role does NOT include Parts access.
2. Parts exist that would match the query (verified visible to a Parts-enabled user).","1. Open the palette and type a query that matches parts.
2. Read the results (on the 'All' tab and check the 'Parts' tab).","1. No 'Parts' group appears and no part rows are shown.
2. The user cannot see part results they are not permitted to access, even though those parts exist.
3. Results for entity types the user CAN access still appear normally.",requirements.md 9 (a technician without Parts access does not see Parts results),GS-PERM-02,pending push,
Permissions and Role-Based Scoping,A user WITHOUT Work Orders access does NOT see Work Order results,Negative,High,"1. You are signed in as a user whose role does NOT include Work Orders access.
2. Work Orders exist that would match the query.","1. Open the palette and type a query that matches Work Orders.
2. Read the results (the 'All' tab and the 'Work Orders' tab).","1. No 'Work orders' group appears and no Work Order rows are shown.
2. Results for entity types the user CAN access still appear normally.",requirements.md 9 (all result fields respect role-based-access checks),GS-PERM-03,pending push,
Permissions and Role-Based Scoping,Results are limited to the signed-in user's own tenant,Functional,High,"1. You are signed in to one tenant/organization.
2. Records with the same searchable text exist under a different tenant.","1. Open the palette and type a query.
2. Read the results.","1. Only records belonging to your own tenant/organization are returned.
2. No records from any other tenant are shown (tenant isolation is respected).",requirements.md 9 (all result fields respect existing tenant-isolation checks),GS-PERM-04,pending push,
Permissions and Role-Based Scoping,An entity type with no accessible records shows no group (and its scope tab shows the empty state),Functional,Medium,"1. You are signed in as a user who has zero accessible records of one entity type (for example the tenant has no Part Sales yet, or the user's role scopes an entity type down to no records).
2. Other entity types do have matching records for the query.","1. Open the palette and type a query on the 'All' tab.
2. Read the grouped results and confirm the empty entity type has no group.
3. Open the scope tab for the empty entity type (for example the 'Part Sales' tab).","1. On the 'All' tab, no group appears for the entity type that has zero accessible results (the empty group is simply not shown).
2. Groups for the entity types that do have matches still appear normally.
3. The empty entity type's scope tab shows its empty / no-results treatment rather than an error.","requirements.md 9 (must work for a single-tenant dataset where any entity type is empty, e.g. no part sales yet)",GS-PERM-05,pending push,
API - Global Search Endpoint,GET /api/search returns grouped results for scope=all,Functional,Critical,"1. You can call the backend search endpoint with a valid session.
2. Test data exists so a query matches multiple entity types.","1. Send GET /api/search with q set to the query and scope set to 'all'.
2. Inspect the HTTP status and the response body.","1. The response returns HTTP 200.
2. The body is a grouped, ranked, scored payload containing groups for the matching entity types.
3. Each group includes the per-item metadata needed to render rows without extra fetches.",requirements.md 10 Phase 1 (GET /api/search; scope=all),GS-API-01,pending push,
API - Global Search Endpoint,The scope parameter restricts GET /api/search to a single entity type,Functional,High,"1. You can call the backend search endpoint.
2. A query matches multiple entity types.","1. Send GET /api/search with q set and scope set to 'work_orders'.
2. Inspect the response.
3. Repeat with scope set to each of 'customers', 'assets', 'parts', 'vendors', 'part_sales'.","1. Each call returns HTTP 200.
2. Each response contains results only for the requested scope's entity type.
3. The accepted scope values are all, work_orders, customers, assets, parts, vendors, part_sales.",requirements.md 10 Phase 1 (scope parameter),GS-API-02,pending push,
API - Global Search Endpoint,GET /api/search caps each group at the limit (default 5) and returns per-group totals,Functional,High,"1. You can call the backend search endpoint.
2. A query matches more than five records of one entity type (for example twelve Work Orders).","1. Send GET /api/search with q set and no limit parameter.
2. Inspect the number of rows returned for the over-full group and the total field.
3. Repeat with limit set to a smaller value (for example 3).","1. With no limit, each group returns at most 5 rows (the default per-group cap).
2. Each group reports its full total count (for example total 12) even though only 5 rows are returned.
3. Setting limit changes the per-group cap accordingly.",requirements.md 10 Phase 1 (limit default 5; response includes per-group totals),GS-API-03,pending push,
API - Global Search Endpoint,GET /api/search matches identifier fields exactly after normalization,Functional,High,"1. You can call the backend search endpoint.
2. A Work Order 'S2-15276' exists.","1. Send GET /api/search with q set to 'S2-15276'.
2. Send GET /api/search with q set to 's215276' (no dash).
3. Send GET /api/search with q set to 'S2 15276' (with a space).
4. Compare the matched Work Order in each response.","1. All three requests return HTTP 200 and match the same Work Order 'S2-15276'.
2. The identifier is normalized (case, diacritics, non-alphanumerics stripped) before matching.
3. The exact-match result scores high enough to be flagged as the pinned top match (score above 0.95).",requirements.md 7 (identifier normalization); 6.2 (ID match pinned),GS-API-04,pending push,
API - Global Search Endpoint,GET /api/search does NOT apply fuzzy matching to identifier fields,Negative,High,"1. You can call the backend search endpoint.
2. A Work Order 'S2-15276' exists and 'S2-15286' does not.","1. Send GET /api/search with q set to 'S2-15286' (one digit off a real WO number).
2. Inspect the response for a Work Order match.","1. The real Work Order 'S2-15276' is NOT returned as a fuzzy identifier match.
2. Identifier fields (VIN, WO number, P-number, part number) require exact match after normalization; fuzzy logic is bypassed for them.",requirements.md 7 (What is NOT fuzzy),GS-API-05,pending push,
API - Global Search Endpoint,GET /api/search enforces role-based access on the server (no forbidden entity results),Negative,Critical,"1. You can call the backend search endpoint as a user whose role does NOT include Parts access.
2. Parts exist that match the query.","1. Send GET /api/search with q set to a query that matches parts, and scope set to 'all'.
2. Inspect the response for a parts group.
3. Send GET /api/search with scope set to 'parts' as the same restricted user.","1. The response contains no parts results for the restricted user (permission filtering is enforced server-side, not just hidden in the UI).
2. Scoping directly to 'parts' still returns no forbidden parts (empty or a permission-appropriate response).
3. Entity types the user is allowed to access are still returned.",requirements.md 9 (results respect role-based-access checks - enforced server-side),GS-API-06,pending push,
API - Global Search Endpoint,GET /api/search returns an error response the UI can degrade on,Negative,Medium,"1. You can call the backend search endpoint.
2. You can force an error condition (for example an invalid scope value, or a backend/search-infra failure).","1. Send GET /api/search with an invalid parameter (for example an unknown scope value).
2. Inspect the HTTP status and error body.
3. Separately, simulate a backend/search failure and observe the response.","1. An invalid request returns an appropriate 4xx status with an error body.
2. A backend failure returns a 5xx or error payload that the frontend maps to the inline 'Search unavailable, retry' banner (see GS-ERR-01).
3. The endpoint fails gracefully rather than returning malformed data.",requirements.md 8 (offline/network failure handling),GS-API-07,pending push,
API - Global Search Endpoint,GET /api/search groups results in the fixed group order with ranking metadata,Functional,Medium,"1. You can call the backend search endpoint.
2. A query matches all six entity types.","1. Send GET /api/search with q set and scope set to 'all'.
2. Inspect the order of the groups and the per-item score/rank fields in the response.","1. Groups are returned in the order Work Orders, Customers, Assets, Parts, Vendors, Part Sales.
2. Within each group items are ordered by score descending.
3. Each item carries the metadata needed to render its row (entity type, primary/secondary fields, status/quantity, score) without extra fetches.",requirements.md 6.2 (group order); 10 Phase 1 (per-item metadata),GS-API-08,pending push,
API - Global Search Endpoint,GET /api/search supports cursor pagination for a scoped tab,Functional,Medium,"1. You can call the backend search endpoint.
2. A query matches many records of one entity type (more than one page).","1. Send GET /api/search with q set, scope set to a single entity type, and a limit.
2. Take the cursor from the response and send GET /api/search again with that cursor.
3. Compare the two pages of results.","1. The first response returns the first page plus a cursor.
2. Passing the cursor returns the next page of scoped results (no duplicates, no gaps).
3. Pagination applies to the scoped-tab view.",requirements.md 10 Phase 1 (cursor parameter),GS-API-09,pending push,
API - Global Search Endpoint,The context parameter biases GET /api/search ranking to the current page,Functional,Medium,"1. You can call the backend search endpoint.
2. A specific customer owns some assets/work orders; other customers have similar matches.","1. Send GET /api/search with q set and no context, and note the ranking of assets/work orders.
2. Send GET /api/search with q set and context set to {type: customer, id: <that customer>}.
3. Compare the rankings.","1. With the customer context, assets and work orders owned by that customer are boosted in the ranking versus the no-context call.
2. The context parameter takes an optional {type, id} for page-context bias.",requirements.md 6.3 (contextual bias); 10 Phase 1 (context parameter),GS-API-10,pending push,
API - Global Search Endpoint,Recent-entities endpoints record and return recent activity,Functional,Medium,1. You can call the recent-entities endpoints with a valid session.,"1. Send POST /user/recent-entities/touch for a record (for example a work order you opened).
2. Send GET /user/recent-entities.
3. Inspect the returned list and its time bucketing.","1. POST /user/recent-entities/touch records the touch (HTTP 2xx).
2. GET /user/recent-entities returns the recently touched records, retained for 30 days.
3. The results support bucketing into Today / Yesterday / Past week / Past 30 days at render time.",requirements.md 8 (persist recent-entity-views 30 days); 10 Phase 4,GS-API-11,pending push,
API - Global Search Endpoint,Search input is debounced before the backend is queried,Functional,Low,"1. The palette is open.
2. You can observe outgoing search requests (for example via browser network tools).","1. Type a multi-character query quickly without pausing.
2. Observe how many GET /api/search calls are sent while typing.
3. Pause typing and observe.","1. The backend is not queried on every keystroke; input is debounced (about 150ms) so a request fires after a short pause.
2. Grouped results render quickly once the response arrives (target within about 200ms at p95).",requirements.md 8 (debounce input at 150ms; render within 200ms p95),GS-API-12,pending push,
