Title,Section,Type,Priority,Preconditions,Steps,Expected Result,References
Parts Manager - A. View inspections on a work order line,Custom Roles and Permissions > Digital Inspections > Parts Manager,Functional,Medium,Logged in as Parts Manager. A work order line has at least one inspection.,"1. Log in.
2. Open a work order that has an inspection on a line.
3. Locate the inspection on the line.","Step 1: Login succeeds.
Step 2: Work order opens.
Step 3: Existing inspections on the line are visible. Edit controls (Add/bin/Open) appear only if the role has the relevant Work Order Lines rights; otherwise the inspection is read-only.",SV-7509
Parts Manager - B. Add inspection to a work order line,Custom Roles and Permissions > Digital Inspections > Parts Manager,Functional,High,Logged in as Parts Manager. A work order with at least one line exists.,"1. Log in.
2. Open a work order and locate a line.
3. Open the three-dot menu on the line.
4. Select Add Inspection and choose a template.","Step 3: The three-dot menu shows Add Inspection.
Step 4: The inspection template is added and ""Inspection added to line."" is shown.",SV-7509
Parts Manager - C. Add multiple inspection templates to one line,Custom Roles and Permissions > Digital Inspections > Parts Manager,Functional,Medium,Logged in as Parts Manager. A work order line exists.,"1. Log in.
2. Add an inspection template to a line.
3. Add a second and third template to the same line.
4. Attempt to add a fourth.","Step 2: First inspection added (""Inspection added to line."").
Step 3: Second and third inspections added to the same line.
Step 4: VIU - spec does not state a maximum; build observed up to 3 per line. Confirm whether a 4th is prevented.",SV-7509
Parts Manager - D. Open and fill an in-progress inspection,Custom Roles and Permissions > Digital Inspections > Parts Manager,Functional,High,Logged in as Parts Manager. A line has an in-progress inspection.,"1. Log in.
2. Open an in-progress inspection on a line (click Open).
3. Attempt to fill/edit the inspection items.","Step 2: The inspection opens.
Step 3: Inspection items can be filled/edited (provided the line is not marked complete).",SV-7509
Parts Manager - E. Complete an inspection (Submit and Generate Report),Custom Roles and Permissions > Digital Inspections > Parts Manager,Functional,Medium,Logged in as Parts Manager. An inspection is in progress with required fields fillable.,"1. Log in.
2. Open an in-progress inspection.
3. Fill all required fields.
4. Click Submit and Generate Report.","Step 3: With no required field outstanding, the Submit and Generate Report button is visible and clickable.
Step 4: The inspection is submitted, a report is generated, and status becomes ""Completed"".",SV-7509
Parts Manager - F. Inspection at 100 percent but not submitted shows Open,Custom Roles and Permissions > Digital Inspections > Parts Manager,UI,Medium,Logged in as Parts Manager. An inspection can be filled to 100 percent without submitting.,"1. Log in.
2. Fill all inspection items to 100 percent but do NOT click Submit and Generate Report.
3. Observe the inspection status on the line.","Step 2: All items show filled (100 percent).
Step 3: The inspection still shows ""Open"" (not ""Completed"") because Submit and Generate Report has not been clicked.",SV-7509
Parts Manager - G. Inspection status labels display correctly,Custom Roles and Permissions > Digital Inspections > Parts Manager,UI,Medium,Logged in as Parts Manager. A line has inspections in different states.,"1. Open a work order line with inspections in different states.
2. Observe the status labels.","Step 2: A completed inspection shows ""Completed""; an in-progress inspection shows ""In Progress"" with a percentage of completion.",SV-7509
Parts Manager - H. Remove an in-progress inspection,Custom Roles and Permissions > Digital Inspections > Parts Manager,Functional,High,Logged in as Parts Manager. A line has an in-progress / not-started inspection.,"1. Log in.
2. Open the line with an in-progress inspection.
3. Look for / click the bin (remove) icon.
4. Confirm removal if prompted.",Step 3: The remove (bin) control is NOT available - removing an inspection requires Work Order Lines: Delete.,SV-7509
Parts Manager - I. Remove a completed inspection,Custom Roles and Permissions > Digital Inspections > Parts Manager,Functional,High,Logged in as Parts Manager. A line has a completed inspection with a generated PDF report.,"1. Log in.
2. Open the line with a completed inspection.
3. Look for / click the bin (remove) icon.
4. Confirm removal if prompted.",Step 3: The remove (bin) control is NOT available - removing a completed inspection requires Work Order Lines: Delete.,SV-7509
Parts Manager - J. Reopen a completed inspection,Custom Roles and Permissions > Digital Inspections > Parts Manager,Functional,High,Logged in as Parts Manager. A line has a completed inspection.,"1. Log in.
2. Open the line with a completed inspection.
3. Click Open against the inspection.",Step 3: Reopen is NOT available - reopening a completed inspection requires Work Order Lines: Delete.,SV-7509
Parts Manager - K. Configure Inspection Templates (Settings > Service),Custom Roles and Permissions > Digital Inspections > Parts Manager,Functional,Medium,Logged in as Parts Manager.,"1. Log in.
2. Go to Settings > Service.
3. Open Inspection Templates.
4. Create a new template with fields.",Step 2: Inspection Templates configuration is NOT accessible - it requires Settings plus the Service sub-setting.,SV-7521
Parts Technician - A. View inspections on a work order line,Custom Roles and Permissions > Digital Inspections > Parts Technician,Functional,Medium,Logged in as Parts Technician. Work Order Lines = View only. A work order line has at least one inspection.,"1. Log in.
2. Open a work order that has an inspection on a line.
3. Locate the inspection on the line.","Step 1: Login succeeds.
Step 2: Work order opens.
Step 3: Existing inspections on the line are visible. Edit controls (Add/bin/Open) appear only if the role has the relevant Work Order Lines rights; otherwise the inspection is read-only.",SV-7509
Parts Technician - B. Add inspection to a work order line,Custom Roles and Permissions > Digital Inspections > Parts Technician,Functional,High,Logged in as Parts Technician. Work Order Lines = View only. A work order with at least one line exists.,"1. Log in.
2. Open a work order and locate a line.
3. Open the three-dot menu on the line.
4. Select Add Inspection and choose a template.",Step 3: Add Inspection is NOT available - role lacks Work Order Lines: Create and Edit.,SV-7509
Parts Technician - C. Add multiple inspection templates to one line,Custom Roles and Permissions > Digital Inspections > Parts Technician,Functional,Medium,Logged in as Parts Technician. Work Order Lines = View only. A work order line exists.,"1. Log in.
2. Add an inspection template to a line.
3. Add a second and third template to the same line.
4. Attempt to add a fourth.",Step 2: Not applicable - role cannot add inspections (no Work Order Lines: Create and Edit).,SV-7509
Parts Technician - D. Open and fill an in-progress inspection,Custom Roles and Permissions > Digital Inspections > Parts Technician,Functional,High,Logged in as Parts Technician. Work Order Lines = View only. A line has an in-progress inspection.,"1. Log in.
2. Open an in-progress inspection on a line (click Open).
3. Attempt to fill/edit the inspection items.","Step 2: The inspection can be opened to VIEW only.
Step 3: Items cannot be filled or edited - role lacks Work Order Lines: Create and Edit (read-only).",SV-7509
Parts Technician - E. Complete an inspection (Submit and Generate Report),Custom Roles and Permissions > Digital Inspections > Parts Technician,Functional,Medium,Logged in as Parts Technician. Work Order Lines = View only. An inspection is in progress with required fields fillable.,"1. Log in.
2. Open an in-progress inspection.
3. Fill all required fields.
4. Click Submit and Generate Report.",Step 2: Not applicable - role cannot fill/submit an inspection (no Work Order Lines: Create and Edit).,SV-7509
Parts Technician - F. Inspection at 100 percent but not submitted shows Open,Custom Roles and Permissions > Digital Inspections > Parts Technician,UI,Medium,Logged in as Parts Technician. Work Order Lines = View only. An inspection can be filled to 100 percent without submitting.,"1. Log in.
2. Fill all inspection items to 100 percent but do NOT click Submit and Generate Report.
3. Observe the inspection status on the line.","Step 2: Not applicable - role cannot fill an inspection. If such a state exists (set by another role), this role would only observe it as ""Open"".",SV-7509
Parts Technician - G. Inspection status labels display correctly,Custom Roles and Permissions > Digital Inspections > Parts Technician,UI,Medium,Logged in as Parts Technician. Work Order Lines = View only. A line has inspections in different states.,"1. Open a work order line with inspections in different states.
2. Observe the status labels.","Step 2: A completed inspection shows ""Completed""; an in-progress inspection shows ""In Progress"" with a percentage of completion.",SV-7509
Parts Technician - H. Remove an in-progress inspection,Custom Roles and Permissions > Digital Inspections > Parts Technician,Functional,High,Logged in as Parts Technician. Work Order Lines = View only. A line has an in-progress / not-started inspection.,"1. Log in.
2. Open the line with an in-progress inspection.
3. Look for / click the bin (remove) icon.
4. Confirm removal if prompted.",Step 3: The remove (bin) control is NOT available - removing an inspection requires Work Order Lines: Delete.,SV-7509
Parts Technician - I. Remove a completed inspection,Custom Roles and Permissions > Digital Inspections > Parts Technician,Functional,High,Logged in as Parts Technician. Work Order Lines = View only. A line has a completed inspection with a generated PDF report.,"1. Log in.
2. Open the line with a completed inspection.
3. Look for / click the bin (remove) icon.
4. Confirm removal if prompted.",Step 3: The remove (bin) control is NOT available - removing a completed inspection requires Work Order Lines: Delete.,SV-7509
Parts Technician - J. Reopen a completed inspection,Custom Roles and Permissions > Digital Inspections > Parts Technician,Functional,High,Logged in as Parts Technician. Work Order Lines = View only. A line has a completed inspection.,"1. Log in.
2. Open the line with a completed inspection.
3. Click Open against the inspection.",Step 3: Reopen is NOT available - reopening a completed inspection requires Work Order Lines: Delete.,SV-7509
Parts Technician - K. Configure Inspection Templates (Settings > Service),Custom Roles and Permissions > Digital Inspections > Parts Technician,Functional,Medium,Logged in as Parts Technician. Work Order Lines = View only.,"1. Log in.
2. Go to Settings > Service.
3. Open Inspection Templates.
4. Create a new template with fields.",Step 2: Inspection Templates configuration is NOT accessible - it requires Settings plus the Service sub-setting.,SV-7521
Office - A. View inspections on a work order line,Custom Roles and Permissions > Digital Inspections > Office,Functional,Medium,"Logged in as Office. Work Order Lines = View only, but Settings + Service ON. A work order line has at least one inspection.","1. Log in.
2. Open a work order that has an inspection on a line.
3. Locate the inspection on the line.","Step 1: Login succeeds.
Step 2: Work order opens.
Step 3: Existing inspections on the line are visible. Edit controls (Add/bin/Open) appear only if the role has the relevant Work Order Lines rights; otherwise the inspection is read-only.",SV-7509
Office - B. Add inspection to a work order line,Custom Roles and Permissions > Digital Inspections > Office,Functional,High,"Logged in as Office. Work Order Lines = View only, but Settings + Service ON. A work order with at least one line exists.","1. Log in.
2. Open a work order and locate a line.
3. Open the three-dot menu on the line.
4. Select Add Inspection and choose a template.",Step 3: Add Inspection is NOT available - role lacks Work Order Lines: Create and Edit.,SV-7509
Office - C. Add multiple inspection templates to one line,Custom Roles and Permissions > Digital Inspections > Office,Functional,Medium,"Logged in as Office. Work Order Lines = View only, but Settings + Service ON. A work order line exists.","1. Log in.
2. Add an inspection template to a line.
3. Add a second and third template to the same line.
4. Attempt to add a fourth.",Step 2: Not applicable - role cannot add inspections (no Work Order Lines: Create and Edit).,SV-7509
Office - D. Open and fill an in-progress inspection,Custom Roles and Permissions > Digital Inspections > Office,Functional,High,"Logged in as Office. Work Order Lines = View only, but Settings + Service ON. A line has an in-progress inspection.","1. Log in.
2. Open an in-progress inspection on a line (click Open).
3. Attempt to fill/edit the inspection items.","Step 2: The inspection can be opened to VIEW only.
Step 3: Items cannot be filled or edited - role lacks Work Order Lines: Create and Edit (read-only).",SV-7509
Office - E. Complete an inspection (Submit and Generate Report),Custom Roles and Permissions > Digital Inspections > Office,Functional,Medium,"Logged in as Office. Work Order Lines = View only, but Settings + Service ON. An inspection is in progress with required fields fillable.","1. Log in.
2. Open an in-progress inspection.
3. Fill all required fields.
4. Click Submit and Generate Report.",Step 2: Not applicable - role cannot fill/submit an inspection (no Work Order Lines: Create and Edit).,SV-7509
Office - F. Inspection at 100 percent but not submitted shows Open,Custom Roles and Permissions > Digital Inspections > Office,UI,Medium,"Logged in as Office. Work Order Lines = View only, but Settings + Service ON. An inspection can be filled to 100 percent without submitting.","1. Log in.
2. Fill all inspection items to 100 percent but do NOT click Submit and Generate Report.
3. Observe the inspection status on the line.","Step 2: Not applicable - role cannot fill an inspection. If such a state exists (set by another role), this role would only observe it as ""Open"".",SV-7509
Office - G. Inspection status labels display correctly,Custom Roles and Permissions > Digital Inspections > Office,UI,Medium,"Logged in as Office. Work Order Lines = View only, but Settings + Service ON. A line has inspections in different states.","1. Open a work order line with inspections in different states.
2. Observe the status labels.","Step 2: A completed inspection shows ""Completed""; an in-progress inspection shows ""In Progress"" with a percentage of completion.",SV-7509
Office - H. Remove an in-progress inspection,Custom Roles and Permissions > Digital Inspections > Office,Functional,High,"Logged in as Office. Work Order Lines = View only, but Settings + Service ON. A line has an in-progress / not-started inspection.","1. Log in.
2. Open the line with an in-progress inspection.
3. Look for / click the bin (remove) icon.
4. Confirm removal if prompted.",Step 3: The remove (bin) control is NOT available - removing an inspection requires Work Order Lines: Delete.,SV-7509
Office - I. Remove a completed inspection,Custom Roles and Permissions > Digital Inspections > Office,Functional,High,"Logged in as Office. Work Order Lines = View only, but Settings + Service ON. A line has a completed inspection with a generated PDF report.","1. Log in.
2. Open the line with a completed inspection.
3. Look for / click the bin (remove) icon.
4. Confirm removal if prompted.",Step 3: The remove (bin) control is NOT available - removing a completed inspection requires Work Order Lines: Delete.,SV-7509
Office - J. Reopen a completed inspection,Custom Roles and Permissions > Digital Inspections > Office,Functional,High,"Logged in as Office. Work Order Lines = View only, but Settings + Service ON. A line has a completed inspection.","1. Log in.
2. Open the line with a completed inspection.
3. Click Open against the inspection.",Step 3: Reopen is NOT available - reopening a completed inspection requires Work Order Lines: Delete.,SV-7509
Office - K. Configure Inspection Templates (Settings > Service),Custom Roles and Permissions > Digital Inspections > Office,Functional,Medium,"Logged in as Office. Work Order Lines = View only, but Settings + Service ON.","1. Log in.
2. Go to Settings > Service.
3. Open Inspection Templates.
4. Create a new template with fields.","Step 2: Settings > Service is accessible.
Step 3: The Inspection Templates section is available.
Step 4: A new template can be created with fields: Checklist, Short Text, Long Text, Measurements, Photo, Instructions.",SV-7521
Sales Representative - A. View inspections on a work order line,Custom Roles and Permissions > Digital Inspections > Sales Representative,Functional,Medium,Logged in as Sales Representative. No Work Orders access. A work order line has at least one inspection.,"1. Log in.
2. Open a work order that has an inspection on a line.
3. Locate the inspection on the line.","Step 1: Login succeeds.
Step 2: Work Orders are not accessible to this role.
Step 3: Inspections cannot be reached - no Work Orders access.",SV-7506
Sales Representative - B. Add inspection to a work order line,Custom Roles and Permissions > Digital Inspections > Sales Representative,Functional,High,Logged in as Sales Representative. No Work Orders access. A work order with at least one line exists.,"1. Log in.
2. Open a work order and locate a line.
3. Open the three-dot menu on the line.
4. Select Add Inspection and choose a template.","Step 3: Not applicable - no Work Orders access, the line cannot be reached.",SV-7509
Sales Representative - C. Add multiple inspection templates to one line,Custom Roles and Permissions > Digital Inspections > Sales Representative,Functional,Medium,Logged in as Sales Representative. No Work Orders access. A work order line exists.,"1. Log in.
2. Add an inspection template to a line.
3. Add a second and third template to the same line.
4. Attempt to add a fourth.",Step 2: Not applicable - no Work Orders access.,SV-7509
Sales Representative - D. Open and fill an in-progress inspection,Custom Roles and Permissions > Digital Inspections > Sales Representative,Functional,High,Logged in as Sales Representative. No Work Orders access. A line has an in-progress inspection.,"1. Log in.
2. Open an in-progress inspection on a line (click Open).
3. Attempt to fill/edit the inspection items.",Step 2: Not applicable - no Work Orders access.,SV-7509
Sales Representative - E. Complete an inspection (Submit and Generate Report),Custom Roles and Permissions > Digital Inspections > Sales Representative,Functional,Medium,Logged in as Sales Representative. No Work Orders access. An inspection is in progress with required fields fillable.,"1. Log in.
2. Open an in-progress inspection.
3. Fill all required fields.
4. Click Submit and Generate Report.",Step 2: Not applicable - no Work Orders access.,SV-7509
Sales Representative - F. Inspection at 100 percent but not submitted shows Open,Custom Roles and Permissions > Digital Inspections > Sales Representative,UI,Medium,Logged in as Sales Representative. No Work Orders access. An inspection can be filled to 100 percent without submitting.,"1. Log in.
2. Fill all inspection items to 100 percent but do NOT click Submit and Generate Report.
3. Observe the inspection status on the line.",Step 2: Not applicable - no Work Orders access.,SV-7509
Sales Representative - G. Inspection status labels display correctly,Custom Roles and Permissions > Digital Inspections > Sales Representative,UI,Medium,Logged in as Sales Representative. No Work Orders access. A line has inspections in different states.,"1. Open a work order line with inspections in different states.
2. Observe the status labels.","Step 2: Not applicable - no Work Orders access, statuses cannot be seen.",SV-7506
Sales Representative - H. Remove an in-progress inspection,Custom Roles and Permissions > Digital Inspections > Sales Representative,Functional,High,Logged in as Sales Representative. No Work Orders access. A line has an in-progress / not-started inspection.,"1. Log in.
2. Open the line with an in-progress inspection.
3. Look for / click the bin (remove) icon.
4. Confirm removal if prompted.",Step 3: Not applicable - no Work Orders access.,SV-7509
Sales Representative - I. Remove a completed inspection,Custom Roles and Permissions > Digital Inspections > Sales Representative,Functional,High,Logged in as Sales Representative. No Work Orders access. A line has a completed inspection with a generated PDF report.,"1. Log in.
2. Open the line with a completed inspection.
3. Look for / click the bin (remove) icon.
4. Confirm removal if prompted.",Step 3: Not applicable - no Work Orders access.,SV-7509
Sales Representative - J. Reopen a completed inspection,Custom Roles and Permissions > Digital Inspections > Sales Representative,Functional,High,Logged in as Sales Representative. No Work Orders access. A line has a completed inspection.,"1. Log in.
2. Open the line with a completed inspection.
3. Click Open against the inspection.",Step 3: Not applicable - no Work Orders access.,SV-7509
Sales Representative - K. Configure Inspection Templates (Settings > Service),Custom Roles and Permissions > Digital Inspections > Sales Representative,Functional,Medium,Logged in as Sales Representative. No Work Orders access.,"1. Log in.
2. Go to Settings > Service.
3. Open Inspection Templates.
4. Create a new template with fields.",Step 2: Inspection Templates configuration is NOT accessible - it requires Settings plus the Service sub-setting.,SV-7521
Time Clock - A. View inspections on a work order line,Custom Roles and Permissions > Digital Inspections > Time Clock,Functional,Medium,Logged in as Time Clock. No Work Orders access. A work order line has at least one inspection.,"1. Log in.
2. Open a work order that has an inspection on a line.
3. Locate the inspection on the line.","Step 1: Login succeeds.
Step 2: Work Orders are not accessible to this role.
Step 3: Inspections cannot be reached - no Work Orders access.",SV-7506
Time Clock - B. Add inspection to a work order line,Custom Roles and Permissions > Digital Inspections > Time Clock,Functional,High,Logged in as Time Clock. No Work Orders access. A work order with at least one line exists.,"1. Log in.
2. Open a work order and locate a line.
3. Open the three-dot menu on the line.
4. Select Add Inspection and choose a template.","Step 3: Not applicable - no Work Orders access, the line cannot be reached.",SV-7509
Time Clock - C. Add multiple inspection templates to one line,Custom Roles and Permissions > Digital Inspections > Time Clock,Functional,Medium,Logged in as Time Clock. No Work Orders access. A work order line exists.,"1. Log in.
2. Add an inspection template to a line.
3. Add a second and third template to the same line.
4. Attempt to add a fourth.",Step 2: Not applicable - no Work Orders access.,SV-7509
Time Clock - D. Open and fill an in-progress inspection,Custom Roles and Permissions > Digital Inspections > Time Clock,Functional,High,Logged in as Time Clock. No Work Orders access. A line has an in-progress inspection.,"1. Log in.
2. Open an in-progress inspection on a line (click Open).
3. Attempt to fill/edit the inspection items.",Step 2: Not applicable - no Work Orders access.,SV-7509
Time Clock - E. Complete an inspection (Submit and Generate Report),Custom Roles and Permissions > Digital Inspections > Time Clock,Functional,Medium,Logged in as Time Clock. No Work Orders access. An inspection is in progress with required fields fillable.,"1. Log in.
2. Open an in-progress inspection.
3. Fill all required fields.
4. Click Submit and Generate Report.",Step 2: Not applicable - no Work Orders access.,SV-7509
Time Clock - F. Inspection at 100 percent but not submitted shows Open,Custom Roles and Permissions > Digital Inspections > Time Clock,UI,Medium,Logged in as Time Clock. No Work Orders access. An inspection can be filled to 100 percent without submitting.,"1. Log in.
2. Fill all inspection items to 100 percent but do NOT click Submit and Generate Report.
3. Observe the inspection status on the line.",Step 2: Not applicable - no Work Orders access.,SV-7509
Time Clock - G. Inspection status labels display correctly,Custom Roles and Permissions > Digital Inspections > Time Clock,UI,Medium,Logged in as Time Clock. No Work Orders access. A line has inspections in different states.,"1. Open a work order line with inspections in different states.
2. Observe the status labels.","Step 2: Not applicable - no Work Orders access, statuses cannot be seen.",SV-7506
Time Clock - H. Remove an in-progress inspection,Custom Roles and Permissions > Digital Inspections > Time Clock,Functional,High,Logged in as Time Clock. No Work Orders access. A line has an in-progress / not-started inspection.,"1. Log in.
2. Open the line with an in-progress inspection.
3. Look for / click the bin (remove) icon.
4. Confirm removal if prompted.",Step 3: Not applicable - no Work Orders access.,SV-7509
Time Clock - I. Remove a completed inspection,Custom Roles and Permissions > Digital Inspections > Time Clock,Functional,High,Logged in as Time Clock. No Work Orders access. A line has a completed inspection with a generated PDF report.,"1. Log in.
2. Open the line with a completed inspection.
3. Look for / click the bin (remove) icon.
4. Confirm removal if prompted.",Step 3: Not applicable - no Work Orders access.,SV-7509
Time Clock - J. Reopen a completed inspection,Custom Roles and Permissions > Digital Inspections > Time Clock,Functional,High,Logged in as Time Clock. No Work Orders access. A line has a completed inspection.,"1. Log in.
2. Open the line with a completed inspection.
3. Click Open against the inspection.",Step 3: Not applicable - no Work Orders access.,SV-7509
Time Clock - K. Configure Inspection Templates (Settings > Service),Custom Roles and Permissions > Digital Inspections > Time Clock,Functional,Medium,Logged in as Time Clock. No Work Orders access.,"1. Log in.
2. Go to Settings > Service.
3. Open Inspection Templates.
4. Create a new template with fields.",Step 2: Inspection Templates configuration is NOT accessible - it requires Settings plus the Service sub-setting.,SV-7521
